country,countryISO,techSector,topic,indicator,category,unit,year,observations,value
Russian Federation,RUS,Bioenergy,Patents,Detail,Clean Energy,Number,2000,0,2.6700000762939453
Switzerland,CHE,Other renewables,Patents,Detail,Clean Energy,Number,2000,0,1
Denmark,DNK,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2000,0,1
Germany,DEU,Bioenergy,Patents,Detail,Clean Energy,Number,2000,0,38.5
Netherlands,NLD,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2000,0,8
Germany,DEU,Wind,Patents,Detail,Clean Energy,Number,2000,0,57
Italy,ITA,Stationary tank storage for gases,Patents,Detail,Transmission distribution,Number,2000,0,1
Israel,ISR,Solar,Patents,Detail,Clean Energy,Number,2000,0,6
Netherlands,NLD,Upstream,Patents,Total,Total,Number,2000,0,9
Czech Republic,CZE,Bioenergy,Patents,Detail,Clean Energy,Number,2000,0,1
Netherlands,NLD,Building energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,12.430000305175781
Italy,ITA,Grid,Patents,Detail,Clean Energy,Number,2000,0,4.829999923706055
Sweden,SWE,Building energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,10.800000190734863
United States,USA,Air - rail - marine,Patents,Detail,Clean Energy,Number,2000,0,171.5
Ireland,IRL,Other renewables,Patents,Detail,Clean Energy,Number,2000,0,1
France,FRA,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2000,0,25
Great Britain,GBN,Coal and solid fuels exploration and mining,Patents,Detail,Upstream,Number,2000,0,1
Germany,DEU,Transmission and distribution,Patents,Total,Total,Number,2000,0,9.130000114440918
Finland,FIN,Bioenergy,Patents,Detail,Clean Energy,Number,2000,0,5
Belgium,BEL,Clean energy patents,Patents,Total,Total,Number,2000,0,25.5
France,FRA,Unconventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2000,0,6
Russian Federation,RUS,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2000,0,6.46999979019165
Ireland,IRL,Solar,Patents,Detail,Clean Energy,Number,2000,0,0.5
Spain,ESP,Building energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,1
People's Republic of China,CHN,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2000,0,2
Israel,ISR,Building energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,2
Finland,FIN,Oil refining,Patents,Detail,Processing downstream,Number,2000,0,4
Korea,KOR,Grid,Patents,Detail,Clean Energy,Number,2000,0,1
Sweden,SWE,Nuclear,Patents,Detail,Clean Energy,Number,2000,0,5
,WORLD,Wind,Patents,Detail,Clean Energy,Number,2000,0,154
,WORLD,Gaseous fuel distribution,Patents,Detail,Transmission distribution,Number,2000,0,5.5
,WORLD,Oil refining,Patents,Detail,Processing downstream,Number,2000,0,473.5400085449219
India,IND,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2000,0,1.1699999570846558
Germany,DEU,Energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,4
Italy,ITA,Carbon capture and storage,Patents,Detail,Clean Energy,Number,2000,0,1
Canada,CAN,Unconventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2000,0,4.25
Netherlands,NLD,Transmission and distribution,Patents,Total,Total,Number,2000,0,3
Netherlands,NLD,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2000,0,6
Sweden,SWE,Solar,Patents,Detail,Clean Energy,Number,2000,0,6
Italy,ITA,Nuclear,Patents,Detail,Clean Energy,Number,2000,0,0.5799999833106995
United States,USA,Liquified gaseous fuel shipping,Patents,Detail,Transmission distribution,Number,2000,0,9.25
Singapore,SGP,Clean energy patents,Patents,Total,Total,Number,2000,0,14
United Kingdom,GBR,Liquified gaseous fuel shipping,Patents,Detail,Transmission distribution,Number,2000,0,0.75
Spain,ESP,e-Mobility,Patents,Detail,Clean Energy,Number,2000,0,2
Norway,NOR,Renewables,Patents,Detail,Clean Energy,Number,2000,0,3
Netherlands,NLD,Air - rail - marine,Patents,Detail,Clean Energy,Number,2000,0,0.25
Russian Federation,RUS,Nuclear,Patents,Detail,Clean Energy,Number,2000,0,9.670000076293945
Czech Republic,CZE,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2000,0,0.8500000238418579
Canada,CAN,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2000,0,6.829999923706055
Austria,AUT,Fossil fuel patents,Patents,Total,Total,Number,2000,0,5.199999809265137
Canada,CAN,Solar,Patents,Detail,Clean Energy,Number,2000,0,1
Singapore,SGP,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2000,0,1.5
,WORLD,Upstream,Patents,Total,Total,Number,2000,0,534.6099853515625
Norway,NOR,Coal-to-liquids and gas-to-liquids,Patents,Detail,Processing downstream,Number,2000,0,1
Spain,ESP,Solar,Patents,Detail,Clean Energy,Number,2000,0,4.199999809265137
Switzerland,CHE,Solar,Patents,Detail,Clean Energy,Number,2000,0,7.329999923706055
France,FRA,Carbon capture and storage,Patents,Detail,Clean Energy,Number,2000,0,12
France,FRA,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2000,0,9.3100004196167
Netherlands,NLD,Clean energy patents,Patents,Total,Total,Number,2000,0,70.62000274658203
Germany,DEU,Building energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,140.67999267578125
United Kingdom,GBR,Transmission and distribution,Patents,Total,Total,Number,2000,0,4.75
Brazil,BRA,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2000,0,2.3299999237060547
Finland,FIN,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2000,0,1.5
United Kingdom,GBR,Coal-to-gas,Patents,Detail,Processing downstream,Number,2000,0,1
People's Republic of China,CHN,Clean energy patents,Patents,Total,Total,Number,2000,0,45.5
Canada,CAN,Upstream,Patents,Total,Total,Number,2000,0,28.25
Switzerland,CHE,Fossil fuel patents,Patents,Total,Total,Number,2000,0,7.690000057220459
Netherlands,NLD,Processing and downstream,Patents,Total,Total,Number,2000,0,8.5
Canada,CAN,Compressed gaseous fuel shipping,Patents,Detail,Transmission distribution,Number,2000,0,1
Hong Kong,HKG,Fossil fuel patents,Patents,Total,Total,Number,2000,0,0.25
Germany,DEU,Air - rail - marine,Patents,Detail,Clean Energy,Number,2000,0,41.91999816894531
Switzerland,CHE,e-Mobility,Patents,Detail,Clean Energy,Number,2000,0,3.75
Germany,DEU,Grid,Patents,Detail,Clean Energy,Number,2000,0,9.069999694824219
Australia,AUS,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2000,0,5
Finland,FIN,Coal and solid fuels exploration and mining,Patents,Detail,Upstream,Number,2000,0,0.5
India,IND,Agriculture energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,3
India,IND,Total - all technologies,Patents,,,Number,2000,0,457.30999755859375
Japan,JPN,Total - all technologies,Patents,,,Number,2000,0,37613.078125
India,IND,Solar,Patents,Detail,Clean Energy,Number,2000,0,0.5
Australia,AUS,Total - all technologies,Patents,,,Number,2000,0,5246.7001953125
Netherlands,NLD,Total - all technologies,Patents,,,Number,2000,0,2003.0400390625
People's Republic of China,CHN,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2000,0,1
Hong Kong,HKG,Air - rail - marine,Patents,Detail,Clean Energy,Number,2000,0,1
Sweden,SWE,Total - all technologies,Patents,,,Number,2000,0,2882.31005859375
Russian Federation,RUS,Grid,Patents,Detail,Clean Energy,Number,2000,0,0.6000000238418579
United States,USA,Total - all technologies,Patents,,,Number,2000,0,52350.48046875
Singapore,SGP,Nuclear,Patents,Detail,Clean Energy,Number,2000,0,2
Chinese Taipei,TWN,Total - all technologies,Patents,,,Number,2000,0,4511.41015625
Poland,POL,Building energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,1
Brazil,BRA,Carbon capture and storage,Patents,Detail,Clean Energy,Number,2000,0,1
Australia,AUS,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2000,0,4
India,IND,Air - rail - marine,Patents,Detail,Clean Energy,Number,2000,0,0.33000001311302185
Korea,KOR,Fossil fuel patents,Patents,Total,Total,Number,2000,0,16
Singapore,SGP,Total - all technologies,Patents,,,Number,2000,0,651.0399780273438
Chinese Taipei,TWN,Other renewables,Patents,Detail,Clean Energy,Number,2000,0,1
United Kingdom,GBR,Total - all technologies,Patents,,,Number,2000,0,8314.9296875
Finland,FIN,Total - all technologies,Patents,,,Number,2000,0,2125.739990234375
United States,USA,Bioenergy,Patents,Detail,Clean Energy,Number,2000,0,56.95000076293945
Austria,AUT,Gas conditioning,Patents,Detail,Processing downstream,Number,2000,0,1
Israel,ISR,Total - all technologies,Patents,,,Number,2000,0,1441.3699951171875
Turkiye,TUR,Total - all technologies,Patents,,,Number,2000,0,87.27999877929688
Singapore,SGP,Solar,Patents,Detail,Clean Energy,Number,2000,0,1
Australia,AUS,Wind,Patents,Detail,Clean Energy,Number,2000,0,5
Korea,KOR,e-Mobility,Patents,Detail,Clean Energy,Number,2000,0,8
Russian Federation,RUS,Clean energy patents,Patents,Total,Total,Number,2000,0,42.5
Japan,JPN,Vehicle fuel efficiency,Patents,Detail,Clean Energy,Number,2000,0,17.5
Canada,CAN,Wind,Patents,Detail,Clean Energy,Number,2000,0,1
Spain,ESP,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2000,0,1
Germany,DEU,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2000,0,55.5
Japan,JPN,Oil refining,Patents,Detail,Processing downstream,Number,2000,0,33.380001068115234
United Kingdom,GBR,Building energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,29
,WORLD,Carbon capture and storage,Patents,Detail,Clean Energy,Number,2000,0,72
Germany,DEU,Agriculture energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,2.6700000762939453
Belgium,BEL,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2000,0,1.3300000429153442
France,FRA,Fossil fuel patents,Patents,Total,Total,Number,2000,0,88.12000274658203
Great Britain,GBN,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2000,0,7.130000114440918
Great Britain,GBN,Fossil fuel patents,Patents,Total,Total,Number,2000,0,70.43000030517578
Denmark,DNK,Processing and downstream,Patents,Total,Total,Number,2000,0,2
Korea,KOR,Nuclear,Patents,Detail,Clean Energy,Number,2000,0,6
Great Britain,GBN,Liquified gaseous fuel shipping,Patents,Detail,Transmission distribution,Number,2000,0,0.75
Austria,AUT,Air - rail - marine,Patents,Detail,Clean Energy,Number,2000,0,2.1700000762939453
United Kingdom,GBR,Processing and downstream,Patents,Total,Total,Number,2000,0,26.65999984741211
Canada,CAN,Agriculture energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,2
India,IND,Clean energy patents,Patents,Total,Total,Number,2000,0,8.649999618530273
Canada,CAN,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2000,0,42.31999969482422
India,IND,Carbon capture and storage,Patents,Detail,Clean Energy,Number,2000,0,0.4000000059604645
Poland,POL,Transmission and distribution,Patents,Total,Total,Number,2000,0,1
Japan,JPN,Other renewables,Patents,Detail,Clean Energy,Number,2000,0,3
Canada,CAN,Coal-to-gas,Patents,Detail,Processing downstream,Number,2000,0,2.3299999237060547
Austria,AUT,Wind,Patents,Detail,Clean Energy,Number,2000,0,2
Italy,ITA,Air - rail - marine,Patents,Detail,Clean Energy,Number,2000,0,4.5
Hong Kong,HKG,Clean energy patents,Patents,Total,Total,Number,2000,0,6.5
,WORLD,Building energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,792.6599731445312
Great Britain,GBN,Transmission and distribution,Patents,Total,Total,Number,2000,0,4.75
United States,USA,Fossil fuel patents,Patents,Total,Total,Number,2000,0,662.27001953125
Great Britain,GBN,Wind,Patents,Detail,Clean Energy,Number,2000,0,6
Israel,ISR,e-Mobility,Patents,Detail,Clean Energy,Number,2000,0,1
Germany,DEU,e-Mobility,Patents,Detail,Clean Energy,Number,2000,0,59.5
Great Britain,GBN,Clean energy patents,Patents,Total,Total,Number,2000,0,174.3800048828125
France,FRA,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2000,0,4
Japan,JPN,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2000,0,234.75
United Kingdom,GBR,Bioenergy,Patents,Detail,Clean Energy,Number,2000,0,9.5
France,FRA,Wind,Patents,Detail,Clean Energy,Number,2000,0,5
Italy,ITA,Gas conditioning,Patents,Detail,Processing downstream,Number,2000,0,1.5
Russian Federation,RUS,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2000,0,1
,WORLD,Air - rail - marine,Patents,Detail,Clean Energy,Number,2000,0,323.17999267578125
Canada,CAN,Bioenergy,Patents,Detail,Clean Energy,Number,2000,0,4.599999904632568
Japan,JPN,Agriculture energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,11
Great Britain,GBN,Grid,Patents,Detail,Clean Energy,Number,2000,0,6.78000020980835
Korea,KOR,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2000,0,29
Spain,ESP,Stationary tank storage for gases,Patents,Detail,Transmission distribution,Number,2000,0,2
Norway,NOR,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2000,0,1.5
Austria,AUT,e-Mobility,Patents,Detail,Clean Energy,Number,2000,0,1
Japan,JPN,Gaseous fuel distribution,Patents,Detail,Transmission distribution,Number,2000,0,3
Ireland,IRL,Agriculture energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,1
Australia,AUS,Vehicle fuel efficiency,Patents,Detail,Clean Energy,Number,2000,0,2
Spain,ESP,Bioenergy,Patents,Detail,Clean Energy,Number,2000,0,3
Switzerland,CHE,Nuclear,Patents,Detail,Clean Energy,Number,2000,0,1
Mexico,MEX,Fossil fuel patents,Patents,Total,Total,Number,2000,0,1
Canada,CAN,Renewables,Patents,Detail,Clean Energy,Number,2000,0,1
Belgium,BEL,Bioenergy,Patents,Detail,Clean Energy,Number,2000,0,9
Japan,JPN,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2000,0,2.1500000953674316
Korea,KOR,Energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,2
Germany,DEU,Gas conditioning,Patents,Detail,Processing downstream,Number,2000,0,10
Japan,JPN,Transmission and distribution,Patents,Total,Total,Number,2000,0,20
Norway,NOR,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2000,0,14.5
Switzerland,CHE,Grid,Patents,Detail,Clean Energy,Number,2000,0,4.170000076293945
Austria,AUT,Processing and downstream,Patents,Total,Total,Number,2000,0,2.200000047683716
,WORLD,Fossil fuel patents,Patents,Total,Total,Number,2000,0,1352.050048828125
Israel,ISR,Vehicle fuel efficiency,Patents,Detail,Clean Energy,Number,2000,0,0.75
France,FRA,Agriculture energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,2.5
Brazil,BRA,Upstream,Patents,Total,Total,Number,2000,0,2.3299999237060547
India,IND,Processing and downstream,Patents,Total,Total,Number,2000,0,4
Denmark,DNK,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2000,0,7
Japan,JPN,Unconventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2000,0,2
France,FRA,Building energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,31.079999923706055
United States,USA,Solid fuel conditioning,Patents,Detail,Processing downstream,Number,2000,0,1
People's Republic of China,CHN,Wind,Patents,Detail,Clean Energy,Number,2000,0,3
Japan,JPN,Energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,2
Denmark,DNK,Clean energy patents,Patents,Total,Total,Number,2000,0,27.899999618530273
Spain,ESP,Fossil fuel patents,Patents,Total,Total,Number,2000,0,12.670000076293945
United Kingdom,GBR,Carbon capture and storage,Patents,Detail,Clean Energy,Number,2000,0,2
United States,USA,Energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,2
United Kingdom,GBR,Solar,Patents,Detail,Clean Energy,Number,2000,0,11.449999809265137
Germany,DEU,Fossil fuel patents,Patents,Total,Total,Number,2000,0,121.56999969482422
Canada,CAN,Oil refining,Patents,Detail,Processing downstream,Number,2000,0,12.670000076293945
United States,USA,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2000,0,277.1000061035156
Norway,NOR,Building energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,3
Austria,AUT,Energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,1
Canada,CAN,Gas conditioning,Patents,Detail,Processing downstream,Number,2000,0,1.5
Austria,AUT,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2000,0,8.399999618530273
Netherlands,NLD,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2000,0,20
Mexico,MEX,Oil refining,Patents,Detail,Processing downstream,Number,2000,0,1
Netherlands,NLD,Oil refining,Patents,Detail,Processing downstream,Number,2000,0,5.5
Great Britain,GBN,Vehicle fuel efficiency,Patents,Detail,Clean Energy,Number,2000,0,2
Belgium,BEL,Oil refining,Patents,Detail,Processing downstream,Number,2000,0,3.8299999237060547
Spain,ESP,Transmission and distribution,Patents,Total,Total,Number,2000,0,2
Spain,ESP,Agriculture energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,1
Netherlands,NLD,Carbon capture and storage,Patents,Detail,Clean Energy,Number,2000,0,1
Netherlands,NLD,Other renewables,Patents,Detail,Clean Energy,Number,2000,0,0.5
Korea,KOR,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2000,0,45.5
Norway,NOR,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2000,0,6
Switzerland,CHE,Coal-to-gas,Patents,Detail,Processing downstream,Number,2000,0,2
Sweden,SWE,e-Mobility,Patents,Detail,Clean Energy,Number,2000,0,6.75
Japan,JPN,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2000,0,30.8799991607666
Israel,ISR,Air - rail - marine,Patents,Detail,Clean Energy,Number,2000,0,1
Canada,CAN,Air - rail - marine,Patents,Detail,Clean Energy,Number,2000,0,8
Sweden,SWE,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2000,0,1
United Kingdom,GBR,Agriculture energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,10
Germany,DEU,Unconventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2000,0,2
Hungary,HUN,Building energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,2.6700000762939453
Brazil,BRA,Oil refining,Patents,Detail,Processing downstream,Number,2000,0,3
Ireland,IRL,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2000,0,0.75
United States,USA,Clean energy patents,Patents,Total,Total,Number,2000,0,1528.0400390625
Germany,DEU,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2000,0,23.25
