STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,TECH,Technology domain,UNIT_MEASURE,Unit of measure,SIZE,Family size,SEX,Sex,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2003,,89.8357142856991,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2004,,117.62619047617,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2005,,162.14285714283,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2006,,202.342857142814,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2007,,212.717857142827,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2008,,292.640873015836,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2009,,363.97380952377,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2010,,462.369047618993,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2011,,515.123809523742,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2012,,486.32777777772,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2013,,497.818849206299,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2014,,458.070634920597,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2015,,537.635714285681,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2016,,526.102777777748,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2017,,544.544047618997,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2018,,541.261904761871,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2019,,555.801190476159,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2020,,757.660714285668,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2021,,509.761111111081,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2000,,8061.57976190474,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2001,,9463.8833333333,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2002,,11547.2928571428,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2003,,15721.0218253967,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2004,,19639.0015873015,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2005,,23015.9837301586,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2006,,23673.2119047617,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2007,,23794.3166666665,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2008,,22307.7730158729,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2009,,24242.886219336,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2010,,27109.6837301585,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2011,,27392.2043650792,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2012,,30089.0099206347,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2013,,33302.0605158729,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2014,,35033.8563492062,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2015,,35122.8142857141,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2016,,33421.7899923604,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2017,,32414.5078197944,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2018,,34188.0857142856,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2019,,37825.7249999998,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2020,,40007.7770562769,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,KOR,Korea,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2021,,42808.809126984,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2000,,3709.37619047612,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2001,,3329.45952380945,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2002,,3050.31904761897,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2003,,2933.33452380942,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2004,,2824.80476190467,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2005,,2953.71547619036,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2006,,3281.50119047609,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2007,,3448.95515873004,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2008,,3267.79285714275,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2009,,2961.50079365069,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2010,,3090.64801587293,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2011,,3052.13134920625,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2012,,3243.52420634911,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2013,,2980.95238095229,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2014,,2943.25476190467,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2015,,2980.8142857142,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2016,,3122.48474025965,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2017,,3194.43134920625,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2018,,3279.68253968246,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2019,,3310.86017126139,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2020,,3092.93809523799,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,SWE,Sweden,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2021,,3217.86904761896,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,GBR,United Kingdom,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2000,,582.409523809505,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,GBR,United Kingdom,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2001,,609.142857142831,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,GBR,United Kingdom,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2002,,587.542857142835,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,GBR,United Kingdom,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2003,,650.352380952354,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,GBR,United Kingdom,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2004,,685.233333333303,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,GBR,United Kingdom,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2005,,696.533333333312,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,GBR,United Kingdom,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2006,,814.309523809486,,A,Normal value,0,Units,2,Two
