Unnamed: 0,Country,Country Code,Source NC#,Year,Policy Name,Policy Description,Link,Year: implementation,Year: decision,Year: end,Indicator database source
47,Australia,AUS,NC5,2009.0,Clean Energy Initiative,"In May 2009, the Australian Government announced
the $4.5 billion Clean Energy Initiative. This
initiative is designed to support a series of measures
to encourage further innovation in clean energy
generation and low-emissions technologies, including
industrial-scale carbon capture and storage, solar
energy, and non-solar renewable technologies. The
Clean Energy Initiative complements the CPRS and
RET by supporting the research, development and
demonstration of low-emissions energy technologies.
The main components of the Clean Energy Initiative
are the Carbon Capture and Storage Flagships
Program, the Solar Flagships Program, and the
Australian Centre for Renewable Energy.",,,,,UNFCCC National Communications
52,Australia,AUS,NC5,2008.0,Geothermal Drilling Program,"The $50 million Geothermal Drilling Program
was launched in August 2008. Geothermal energy
holds the promise of being a renewable energy
source with zero greenhouse gas emissions that can
operate 24 hours a day to provide critical, large-scale,
baseload power for Australian homes and industries.
The program is designed to help companies with
the high cost of drilling geothermal wells for proofof-concept geothermal projects. It is a competitive,
merit-based grants program provided as dollar-fordollar matched funding and is capped at $7 million for
each project. The program will help to demonstrate proof-ofconcept in a variety of locations, and thereby
demonstrate the robustness of the technology to
private sector investors.",,,,,UNFCCC National Communications
54,Australia,AUS,NC5,,Advanced Electricity Storage Technologies Program,"The Australian Government has provided $20.4 million
for the Advanced Electricity Storage Technologies
Program, which supports the development and
demonstration of efficient electricity storage
technologies for use with variable renewable generation
sources such as wind and solar. The program aims to
identify and promote strategically important advanced
storage technologies, in order to increase the ability
of renewable energy–based electricity generation to
contribute to Australia’s electricity supply system.
Advanced storage technologies for electricity
applications include batteries and electro-mechanical,
chemical and thermal storage technologies in either ongrid or off-grid situations.",,,,,UNFCCC National Communications
54,Australia,AUS,NC5,,Advanced Electricity Storage Technologies Program,"The Australian Government has provided $20.4 million
for the Advanced Electricity Storage Technologies
Program, which supports the development and
demonstration of efficient electricity storage
technologies for use with variable renewable generation
sources such as wind and solar. The program aims to
identify and promote strategically important advanced
storage technologies, in order to increase the ability
of renewable energy–based electricity generation to
contribute to Australia’s electricity supply system.
Advanced storage technologies for electricity
applications include batteries and electro-mechanical,
chemical and thermal storage technologies in either ongrid or off-grid situations.",,,,,UNFCCC National Communications
56,Australia,AUS,NC7,2011.0,Emissions Reduction Fund,"The ERF purchases low cost abatement in the form of ACCU’s generated by eligible activities under a method which has met offset integrity standards. 
The ERF is made up of three interrelated elements:
• crediting emissions reductions
• purchasing emissions reductions
• safeguarding emissions reductions.",,,,,UNFCCC National Communications
58,Australia,AUS,NC6,,Clean Energy Future Plan,"Main Targets:
• Putting a price on carbon and returning every dollar to assist households,
support jobs and tackle climate change: The central element of the Clean Energy
Future Plan is the emissions trading scheme. The scheme operates in two stages.
During the fixed price period the Government directly sets the carbon price (beginning
at $23 a tonne for 2012-13). Then, beginning in 2014, the carbon price will be set by
the market. The carbon price reduces carbon emissions by encouraging individuals
and businesses to move their consumption and investment towards less emissionsintensive products. It covers more than 60 per cent of Australia’s total greenhouse
gas emissions across a range of sectors.
• Promoting innovation and investment in renewable energy: The 20 per cent by
2020 Renewable Energy Target (RET) continues to encourage the deployment of
large scale renewable energy projects such as wind farms, as well as the installation
of small-scale systems, including solar panels and solar water heaters. The RET is
expected to drive $20 billion of investment in large-scale renewable energy by 2020,
with much of this in regional and rural Australia. In addition, a new $10 billion
commercially oriented Clean Energy Finance Corporation has been created to further
invest in renewable energy, low pollution and energy efficiency technologies; and the
Australian Renewable Energy Agency (ARENA) is providing funding of over $3 billion
for research and development of renewable energy technologies.",,,,,UNFCCC National Communications
59,Australia,AUS,NC6,2011.0,Clean Energy Act,"The Clean Energy Act 2011 established the emissions trading scheme and contains
rules for who is covered, who can elect to be covered (the “Opt-in Scheme”) and what
sources of carbon pollution are included. It also covers the issuance, surrender and
legal status of emissions units (including the application of penalties following failure
to surrender); caps on the amount of carbon pollution in the flexible price period;
linking with other international emissions trading schemes; monitoring, compliance
and enforcement arrangements; and information disclosure. In addition, it provides an
assistance regime for emissions-intensive trade-exposed industries and the coal-fired
electricity generation sector.",,,,,UNFCCC National Communications
68,Australia,AUS,NC7,2013.0,Clean Energy Finance Corporation (CEFC),"CEFC is a statutory authority that uses debt and equity funding to promote investment in clean energy technologies, namely renewable energy technologies, energy efficiency technologies and low emissions technologies and their supply chains.
The Clean Energy Finance Corporation (CEFC) is a statutory authority established by the Clean Energy Finance
Corporation Act 2012, which commenced operations on 1 July 2013. The CEFC’s mission is to increase the flow
of finance into Australia’s clean energy sector. The CEFC uses debt and equity funding to promote investment in
clean energy technologies. The CEFC does this through direct investments which attract private sector finance,
as well as making indirect investments through its strategic co-financing partners. Projects near commercial
deployment can access debt and equity from the CEFC at close to market rates.
As at 30 September 2017, and since 2013, the CEFC has made cumulative investment commitments of $5 billion
to projects with a total value of $14 billion. These projects will reduce emissions from energy and industrial
processes, and include investments in solar energy and energy storage. The CEFC invests commercially to increase
the flow of funds into renewable energy, energy efficiency and low emissions technologies.
Each dollar of CEFC investment commitments in 2016–2017 was matched by more than $2 from the private
sector. The CEFC’s investment portfolio is expected to generate a return above the Government's costs of funds.
In 2016, the Australian Government agreed to create three new funds within the CEFC:
• The Clean Energy Innovation Fund (see below).
• The Sustainable Cities Investment Program: The Program supports the national Smart Cities Agenda by
investing in energy efficiency, renewable energy and low emissions technology projects that improve
Australian cities.
• Reef Funding Program: The Program provides up to $1 billion over 10 years for clean energy projects
benefiting the health of the Great Barrier Reef. The Reef Funding Program will contribute to the
implementation of the Reef 2050 Plan, the overarching framework for protecting and managing the Great
Barrier Reef.
The CEFC also works through banks and other financial institutions to offer financial products to encourage
businesses to make sustainable purchasing choices for energy efficient equipment, fuel efficient, electric and
hybrid vehicles, and to implement small scale behind-the-meter renewable energy projects.",,,,,UNFCCC National Communications
69,Australia,AUS,NC7,2016.0,Safeguard Mechanism,"The Safeguard Mechanism places emissions limits (baselines) on facilities which emit >100,000 t CO2-e per year. Facilities covered by the Safeguard Mechanism are required to reduce emissions or purchase carbon credits to ensure net emissions remain below the baseline.",,,,,UNFCCC National Communications
85,Austria,AUT,NC3,2000.0,Rural funding schemes for energy from biomass,"The Ministry of Environment, the Länder and
the European Union also provide funding for rural
biomass energy projects. Total public funding
for those projects, like district heating from wood
chippings, biogas CHP or individual biomass heating
systems amounted to roughly 25 million annually
over the past years.
The Länder receive a share of 11,835% of the energy
tax revenue (electricity and gas) that is to be
spent for these and other environmental purposes.
Since the federal electricity tax was raised by 100%
in mid 2000, Länder now receive additional 25
million per year for relevant support schemes, giving
more flexibility to step-up resource allocation
for renewables and district heating. For instance,
Lower Austria announced in 2001 that it would
quadruple provincial funding for biomass district
heating from 1.45 to 5.8 million annually.",,,,,UNFCCC National Communications
86,Austria,AUT,NC3,2000.0,Federal Environment Fund,"The Federal Environment Fund is enabled to fund
environment projects with a total budget frame of
actually more than ¤40 million per year. Over the
past years, increasing priority has been given to climate
change related projects. In 2000, 70% of the
funding sum was dedicated to projects with direct
implications on GHG emissions, and that share will
even be extended. For the budget periods 2001 and
2002, the total budgetary frame has been increased
to reach ¤40 million and ¤47 million, respectively,
after ¤36 million on average during past years. All
additional funding (i.e. ¤15 million for both years)
will be channelled for climate change purposes.
Over the past years, funding focused on biomass
and biogas district heating, entrepreneurial biomass
central heating systems, solar panels and energy
efficiency measures, small hydro and wind
power stations and thermal renovation of entrepreneurial
buildings.",,,,,UNFCCC National Communications
89,Austria,AUT,NC3,2000.0,Renewable Energy Targets,"Grid operators have the duty to take over electricity
from renewable energy sources generated by independent
producers, either industrial or others. A
quantified target for so called ‘new renewable energy
sources’ (N-RES, i.e. electricity from wind,
solar, biomass, biogas, geothermal energy) was determined
at 3%, to be achieved by supply grid operators
by 2005 (as a first step). Due to the amendment
of the Austrian Electricity Act in 2000, which
is part of the so called ‘Energy Liberalisation Act’,
targets for electricity from renewable sources have
been strengthened. In 2007, 4% of electricity in
the grid has to be generated with ‘new renewable’
sources. The target has to be achieved step-bystep
with intermediate targets for 2001 (1%), 2003
(2%), 2005 (3%) and 2007 (4%).
In 2000, this ‘new renewables’-share amounted to
approximately 0.6 %, and it is likely that the 1%
share will be achieved in 2001. Those electricity
suppliers who are not able to meet the (intermediate)
targets will be charged with a compensation
duty, which will be earmarked for renewable energy
projects. The compensation duty, to be collected
by the L¨ander, will be calculated according
to the difference between actual net-market prices
for electricity and average production prices for
‘green-electricity’.",,,,,UNFCCC National Communications
95,Austria,AUT,NC6,2003.0,Green Electricity Act,"Directive 2001/77/EC was implemented through the Green Electricity Act (BGBl I No.
149/2002 amended by BGBl. I No. 105/2006). The Act not only addresses the main
issues raised by the Directive but also unifies the system for promoting alternative
energy forms, which had hitherto been disparate. The Green Electricity Act entered
into effect on 1 January 2003 and is aimed at:
• A single federal support payment scheme for “other” green power, small hydro
and combined heat and power (CHP) was introduced;
• A uniform feed-in tariff scheme was introduced for all eligible renewable energy
sources;
• The minimum target contribution from small hydro in 2008 was raised from 8 %
to 9 % of total supply;
• The minimum target contribution from “other” green power in 2008 was set at
4 %;
• Increasing the share of “green” power from 70% (status in 1997) to the
indicative target of 78.1% in 2010 in accordance with Directive 2001/77/EC;
• The targets for “other” green power and small hydro relate to Austria as a whole;
• Uniform feed-in tariffs and surcharges (support contributions) were introduced
for the whole of Austria. In the case of small hydro power this resulted in a
changeover from a certificate to a feed-in tariff system on 1 January 2003.",,,,,UNFCCC National Communications
95,Austria,AUT,NC6,2003.0,Green Electricity Act,"Directive 2001/77/EC was implemented through the Green Electricity Act (BGBl I No.
149/2002 amended by BGBl. I No. 105/2006). The Act not only addresses the main
issues raised by the Directive but also unifies the system for promoting alternative
energy forms, which had hitherto been disparate. The Green Electricity Act entered
into effect on 1 January 2003 and is aimed at:
• A single federal support payment scheme for “other” green power, small hydro
and combined heat and power (CHP) was introduced;
• A uniform feed-in tariff scheme was introduced for all eligible renewable energy
sources;
• The minimum target contribution from small hydro in 2008 was raised from 8 %
to 9 % of total supply;
• The minimum target contribution from “other” green power in 2008 was set at
4 %;
• Increasing the share of “green” power from 70% (status in 1997) to the
indicative target of 78.1% in 2010 in accordance with Directive 2001/77/EC;
• The targets for “other” green power and small hydro relate to Austria as a whole;
• Uniform feed-in tariffs and surcharges (support contributions) were introduced
for the whole of Austria. In the case of small hydro power this resulted in a
changeover from a certificate to a feed-in tariff system on 1 January 2003.",,,,,UNFCCC National Communications
95,Austria,AUT,NC6,2003.0,Green Electricity Act,"Directive 2001/77/EC was implemented through the Green Electricity Act (BGBl I No.
149/2002 amended by BGBl. I No. 105/2006). The Act not only addresses the main
issues raised by the Directive but also unifies the system for promoting alternative
energy forms, which had hitherto been disparate. The Green Electricity Act entered
into effect on 1 January 2003 and is aimed at:
• A single federal support payment scheme for “other” green power, small hydro
and combined heat and power (CHP) was introduced;
• A uniform feed-in tariff scheme was introduced for all eligible renewable energy
sources;
• The minimum target contribution from small hydro in 2008 was raised from 8 %
to 9 % of total supply;
• The minimum target contribution from “other” green power in 2008 was set at
4 %;
• Increasing the share of “green” power from 70% (status in 1997) to the
indicative target of 78.1% in 2010 in accordance with Directive 2001/77/EC;
• The targets for “other” green power and small hydro relate to Austria as a whole;
• Uniform feed-in tariffs and surcharges (support contributions) were introduced
for the whole of Austria. In the case of small hydro power this resulted in a
changeover from a certificate to a feed-in tariff system on 1 January 2003.",,,,,UNFCCC National Communications
101,Austria,AUT,NC7,2012.0,Green Electricity Act,"Federal Law
Gazette I No. 75/2011 as amended",,,,,UNFCCC National Communications
101,Austria,AUT,NC7,2012.0,Green Electricity Act,"Federal Law
Gazette I No. 75/2011 as amended",,,,,UNFCCC National Communications
103,Austria,AUT,NC7,2011.0,EU Emission Trading Scheme (ETS),"The EU Emission Trading Scheme is the most important policy for installations with high
energy demand and CO2 emissions in energy industries, manufacturing industries and
industrial processes, as well as N2O emissions from chemical industry. Its objective is to limit
Policies and Measures 40
emissions by means of trading allowances, which have initially been allocated for free or
auctioned. More than 200 Austrian installations are covered by the EU ETS.
The EU ETS (Directive 2003/87/EC as amended) is implemented in Austrian law with the
Emissions Allowance Trading Act (Emissionszertifikategesetz 2011 - Federal Law Gazette I
No. 118/2011 as amended).
From 2013 onwards, a fully harmonised system for allocation of free allowances is being
applied, based on the revision of the ETS Directive (2009/29/EC). Rules on free allocation for
stationary installations covered by the scheme are strictly harmonised within the EU,
combined with a Union-wide cap, which is characterised by a linear factor that provides for
the reduction of GHG emissions by 21% to be achieved in 2020 relative to 2005. So called
“National Implementation Measures” need to strictly follow the rules for free allocation, laid
down in the “Benchmarking Decision” by the European Commission. For most activities, free
allocation is calculated on the basis of product or heat benchmarks, which are derived from
the 10 % most efficient installations in Europe.",,,,,UNFCCC National Communications
105,Austria,AUT,NC7,2016.0,Domestic Environmental Support Scheme,"The Domestic Environmental Support Scheme in general provides financial support for
projects which improve environmental performance beyond mandatory standards in energy,
manufacturing as well as service industry. Projects may be related to all greenhouse gases.
Focus areas in the climate change context comprise projects to improve energy efficiency,
promote the use of renewable energy sources, decrease waste and promote sustainable
transport.
The legal basis is the Austrian Environmental Support Act, the scheme is administered by
Kommunalkredit Public Consulting (www.publicconsulting.at/eng).
In 2015 support of about EUR 56 million has been granted for projects with relevance for
GHG mitigation, in 2016 about 46 million. These projects are expected to bring about a
current emission reduction of about 300 kt CO2 p. a. and of 5.6 million tonnes over the
whole life time of the projects. (An evaluation of the effect of all projects implemented over
the years for a specific target year is not available.)",,,,,UNFCCC National Communications
108,Belgium,BEL,NC1,,Promotion of Renewable Energies: Wallon region,"Inventory of Walloon microhydraulic potential (ALTENER), project ""Gasification reactor for wet biomass (coffee grounds, olive stones)"", project ""TTCR-Gazel"": Gasification of very short rotation coppice and electricity production",,,,,UNFCCC National Communications
168,Canada,CAN,NC4,2002.0,Wind Power Production Incentive (WPPI),"This program was intended to increase the production of wind energy in Canada by encouraging participation from prospective producers in all regions to gain experience with wind power projects. The program, introduced in April 2002, received $329.9 million over 15 years to stimulate the installation of 1,000 MW of capacity by providing one cent per kilowatt-hour generated during the first 10 years of production. As of the end of December 2005, approximately $300 million had been committed to 21 projects with a total capacity of 920 MW.",,,,,UNFCCC National Communications
168,Canada,CAN,NC4,2002.0,Wind Power Production Incentive (WPPI),"This program was intended to increase the production of wind energy in Canada by encouraging participation from prospective producers in all regions to gain experience with wind power projects. The program, introduced in April 2002, received $329.9 million over 15 years to stimulate the installation of 1,000 MW of capacity by providing one cent per kilowatt-hour generated during the first 10 years of production. As of the end of December 2005, approximately $300 million had been committed to 21 projects with a total capacity of 920 MW.",,,,,UNFCCC National Communications
173,Canada,CAN,NC7,2005.0,Prince Edward Island Renewable Energy Act,"The Renewable Energy Act requires utilities to acquire at least 15% of electrical energy from renewable sources by 2010 (Renewable Portfolio Standard). Currently about 25% of Prince Edward Island’s electricity consumption is sourced from on-island wind farms. The Act also established minimum purchase price utilities must pay for power produced by large-scale renewable energy generators and makes it economically feasible for Island homeowners, small businesses or farmers who have an interest in generating their own electricity to install small scale generating systems through net-metering.",,,,,UNFCCC National Communications
191,Canada,CAN,NC6,2012.0,Reduction of Carbon Dioxide Emissions from Coal-fired Generation of Electricity Regulations,"Canada’s electricity sector is already one of the cleanest
in the world, and the Government of Canada has taken
steps to make it even cleaner by introducing a tough
new regulatory performance standard for coal-fired
electricity generation. On September 12, 2012, the
Government of Canada published in final form the
Reduction of Carbon Dioxide Emissions from Coal-fired
Generation of Electricity Regulations. The Regulations
apply a stringent emissions intensity limit (performance
standard) to new coal-fired electricity generation units
and to old units that have reached the end of their
useful life. The Regulations will ensure that coal-fired
electricity generation in Canada operates as cleanly as
high efficiency natural gas-fired electricity generation
and that no new high-emitting coal-fired electricity
units will be built in Canada.
Under the Regulations, the performance standard is
set at the emissions intensity level of 420 tonnes
CO2
/gigawatt hours (GWh). The standard will address
emissions of CO2
 from the combustion of coal, coal
derivatives (e.g., syngas) and petroleum coke (petcoke),
and from all fuels burned in conjunction with any of
the preceding fuel, except for biomass. The Regulations
also contain flexibilities to maintain the integrity
of the electricity system while still achieving the
environmental objective of emission reductions. The performance standard provisions of the
Regulations come into force on July 1, 2015. Any new
units commissioned after that date will need to meet
the performance standard. In 2020, the first old units
will be subject to the performance standard, resulting,
in that year, in an estimated emissions reduction of 3 megatonnes (Mt) CO2
 eq. The Regulations, in
addition to other measures and commitments made
by industry and provinces, particularly Ontario’s
mandated cessation of coal-fired electricity generation
by the end of 2014, are projected to reduce emissions
of carbon dioxide from this sector by 41 Mt below
2005 levels by 2020. This constitutes a 33% reduction
in GHG emissions from electricity generation for
the year 2020. Significant further reductions will
occur in subsequent years. Over the first 21 years, the
Regulations are expected to result in a cumulative
reduction of about 214 Mt of GHGs, equivalent to
removing some 2.6 million personal vehicles from
the road per year over this period. In addition to
contributing to Canada’s climate change objectives,
this measure will help improve air quality for
Canadians.",,,,,UNFCCC National Communications
191,Canada,CAN,NC6,2012.0,Reduction of Carbon Dioxide Emissions from Coal-fired Generation of Electricity Regulations,"Canada’s electricity sector is already one of the cleanest
in the world, and the Government of Canada has taken
steps to make it even cleaner by introducing a tough
new regulatory performance standard for coal-fired
electricity generation. On September 12, 2012, the
Government of Canada published in final form the
Reduction of Carbon Dioxide Emissions from Coal-fired
Generation of Electricity Regulations. The Regulations
apply a stringent emissions intensity limit (performance
standard) to new coal-fired electricity generation units
and to old units that have reached the end of their
useful life. The Regulations will ensure that coal-fired
electricity generation in Canada operates as cleanly as
high efficiency natural gas-fired electricity generation
and that no new high-emitting coal-fired electricity
units will be built in Canada.
Under the Regulations, the performance standard is
set at the emissions intensity level of 420 tonnes
CO2
/gigawatt hours (GWh). The standard will address
emissions of CO2
 from the combustion of coal, coal
derivatives (e.g., syngas) and petroleum coke (petcoke),
and from all fuels burned in conjunction with any of
the preceding fuel, except for biomass. The Regulations
also contain flexibilities to maintain the integrity
of the electricity system while still achieving the
environmental objective of emission reductions. The performance standard provisions of the
Regulations come into force on July 1, 2015. Any new
units commissioned after that date will need to meet
the performance standard. In 2020, the first old units
will be subject to the performance standard, resulting,
in that year, in an estimated emissions reduction of 3 megatonnes (Mt) CO2
 eq. The Regulations, in
addition to other measures and commitments made
by industry and provinces, particularly Ontario’s
mandated cessation of coal-fired electricity generation
by the end of 2014, are projected to reduce emissions
of carbon dioxide from this sector by 41 Mt below
2005 levels by 2020. This constitutes a 33% reduction
in GHG emissions from electricity generation for
the year 2020. Significant further reductions will
occur in subsequent years. Over the first 21 years, the
Regulations are expected to result in a cumulative
reduction of about 214 Mt of GHGs, equivalent to
removing some 2.6 million personal vehicles from
the road per year over this period. In addition to
contributing to Canada’s climate change objectives,
this measure will help improve air quality for
Canadians.",,,,,UNFCCC National Communications
233,Canada,CAN,NC7,2018.0,Federal Carbon Pricing Approach and Backstop System,"The pan-Canadian approach to pricing carbon pollution, announced in October 2016, establishes a federal benchmark that requires pricing in all jurisdictions in Canada in 2018. It applies to a
broad set of emission sources with increasing stringency over time. Provinces and territories have the flexibility to implement their own system: either an explicit price-based program or cap-and-trade. Explicit price-based programs must have a minimum price of CAN$10/tCO e in 2018 that increases annually to CAN$50/tCO e in 2022. Provinces and territories with cap-and-trade 2 2
must have declining annual caps to at least 2022 that correspond, at a minimum, to projected emissions reductions that would have resulted from the application of the relevant carbon price
that year. A federal backstop will apply in provinces and territories that request it or that do not have a carbon pricing system in place in 2018 that meets the federal benchmark. The proposed
backstop includes a carbon levy on fossil fuels and an output-based pricing system with emissions trading for industrial facilities emitting over 50 ktCO e per year. The Government of Canada 2
has also committed to apply carbon pricing to GHG emissions arising from domestic flights between jurisdictions in Canada.",,,,,UNFCCC National Communications
233,Canada,CAN,NC7,2018.0,Federal Carbon Pricing Approach and Backstop System,"The pan-Canadian approach to pricing carbon pollution, announced in October 2016, establishes a federal benchmark that requires pricing in all jurisdictions in Canada in 2018. It applies to a
broad set of emission sources with increasing stringency over time. Provinces and territories have the flexibility to implement their own system: either an explicit price-based program or cap-and-trade. Explicit price-based programs must have a minimum price of CAN$10/tCO e in 2018 that increases annually to CAN$50/tCO e in 2022. Provinces and territories with cap-and-trade 2 2
must have declining annual caps to at least 2022 that correspond, at a minimum, to projected emissions reductions that would have resulted from the application of the relevant carbon price
that year. A federal backstop will apply in provinces and territories that request it or that do not have a carbon pricing system in place in 2018 that meets the federal benchmark. The proposed
backstop includes a carbon levy on fossil fuels and an output-based pricing system with emissions trading for industrial facilities emitting over 50 ktCO e per year. The Government of Canada 2
has also committed to apply carbon pricing to GHG emissions arising from domestic flights between jurisdictions in Canada.",,,,,UNFCCC National Communications
