"","Country","Country Code","Source NC#","Year","Policy Name","Policy Description","Link","year_implementation","year_decision","year_end","indicator_database_source"
"11","Australia","AUS","NC4",1998,"Renewable Energy Showcase","A significant investment, of around $65 million of grant funding, has been made in renewable energy
technology commercialisation projects to foster the development of the renewable energy industry in
Australia. Funding, provided under the Renewable Energy Commercialisation Program and Renewable
Energy Showcase, commenced in 1998 and all funds have now been fully committed. The programs support
and promote leading edge and strategically important renewable energy projects with strong commercial
potential, that are technically proven, demonstrate the potential for large-scale widespread application, offer
the prospect of significant abatement of greenhouse gas emissions over the longer term and make a substantial
contribution to building the capacity of Australia’s renewable energy industry","https://unfccc.int/documents/198545",NA,NA,NA,"UNFCCC National Communications"
"12","Australia","AUS","NC4",2000,"Renewable Remote Power Generation Programme (RRPGP)","The Renewable Remote Power Generation Programme (RRPGP), part of the Measures for a Better Environment package, provides up to 50% of the capital cost for installing new renewable power facilities in off-grid applications. Funds are allocated to relevant states and the Northern Territory on the basis of the relevant Diesel Fuel Excise paid in each jurisdiction by public generators in the years 2000-2001 to 2003-2004. At the programme start, eligibility was conditional upon applicants demonstrating that installations would displace diesel power with renewables. In December 2004, the Australian Government announced changes to the RRPGP, including: increasing eligibility for proposals to reduce any fossil fuel usage, not just diesel; expanding eligibility to include solar thermal, energy efficiency and projects on the fringe of the main grid; increasing the maximum rebate level available for some projects; and extending the deadline for expenditure of funds to 2012. Qualifying capital costs include renewable energy generation equipment, enabling/ancillary equipment (inverters, etc.) and essential expenditures such as installation costs. The programme was extended in July 2007, with the federal government designating an additional AUD 123.5 million to the programme over four years. Around AUD 328 million will be available over the life of the RRPGP. Renewable Energy Water Pumping sub-programme: The RRPGP Renewable Energy Water Pumping sub-programme provides rebates for business, government and other incorporated organisations, to support the installation of renewable energy water pumping systems in those areas of Australia not close to a main-grid. The sub-programme aims to reduce greenhouse gas emissions by decreasing reliance on diesel fuel for remote water pumping applications. This sub-programme provides rebates for the renewable energy components of water pumps that displace diesel engine powered pumps in off-grid applications. Residential and Medium-scale (RM) sub-programme: The RRPGP Residential and Medium-scale (RM) sub-programme commenced on 23 July 2007. This sub-programme provides rebates for households, communities, not-for-profit, business, government and other organisations, in those areas of Australia that are not close to a main grid, to support the installation of renewable generation systems (where existing RRPGP sub-programmes are not available). Rebates of up to 50% of the capital cost of renewable generation and essential enabling equipment are available to applicants that fully comply with the eligibility requirements and procedures outlined in the RM sub-programme guidelines. The Residential and Medium-scale (RM) and Renewable Energy Water Pumping sub-programmes are not currently available in Western Australia, Northern Territory or Tasmania where existing RRPGP sub programmes are still available. In February 2008, AUD 42 million was not rephased into future years and was identified as budget savings. Funding for RRPGP closed on 22 June 2009 to new applicants in all states except Western Australia, as funding for the programme has now been committed.","https://unfccc.int/documents/198545",NA,NA,NA,"UNFCCC National Communications"
"13","Australia","AUS","NC4",2000,"Renewable Energy Commercialisation Programme (RECP)","Many of the initiatives in the Action Agenda are supported by the Industry
Development component of the Renewable Energy Commercialisation Program, from which $6 million has
been allocated for grants to assist the industry in overcoming barriers to growth. Projects include
development of a national training package in renewable energy, quality accreditation for installers of
renewable systems, laboratory-testing facilities for quality control of renewable equipment, national resource
mapping for bioenergy, and best practice guidelines for development of wind farms.","https://unfccc.int/documents/198545",NA,NA,NA,"UNFCCC National Communications"
"14","Australia","AUS","NC4",2005,"Local Greenhouse Action","The Local Greenhouse Action measure is Cross-sectoral in nature, targeting the Stationary Energy and Transport subsectors, and the Waste sector.
The Australian Government’s Local Greenhouse Action measure was announced in the 2004–05 Federal Budget. It integrates the following previously separate programmes: Cities for Climate Protection™ Australia (CCP™ Australia); Travel Demand Management; Household Greenhouse Action; and Cool Communities. These programmes have been streamlined in order to engage a larger number of Australian households and communities in greenhouse action over the long term, and on a more cost-effective basis. Funding of $13.6 million over four years to 2007–08 has been committed to this measure to encourage and facilitate greenhouse gas abatement by local governments and the community through: maintaining and increasing abatement from the operations of local government through CCP™ Australia, using local government as the key conduit to the community by providing incentives for local government to take action with local households, transport systems and businesses, leveraging the complementary role of local government in planning and infrastructure provision, increasing the information and resources available to encourage community greenhouse gas abatement. Abatement and capacity building will be achieved through targeted grant programmes, partnership projects with various levels of government, the provision of information, the commissioning of research, and the provision of programme support through the International Council for Local Environmental Initiatives. The Travel Demand Management Programme complements TravelSmart activities already underway, as reported in Australia’s Third National Communication. Under the initiative, the Australian Government is engaging with state, territory and local governments and communities to support various approaches to reduce greenhouse gas emissions from passenger transport, particularly in urban centres. CCP™ Australia now has 205 participating local governments representing nearly 80% of the Australian population, making it the world’s largest and most effective CCP™
campaign.","https://unfccc.int/documents/198545",NA,NA,NA,"UNFCCC National Communications"
"15","Australia","AUS","NC4",2004,"Greenhouse Challenge Plus Programme","The Greenhouse Challenge Plus Programme is a Crosssectoral measure that targets the Stationary Energy, Transport and Fugitive Emissions from Fuels subsectors and the Industrial Processes, Waste and Land Use, Land Use Change and Forestry sectors. 
The Australian Government’s $31.6 million Greenhouse Challenge Plus Programme was announced in 2004. It builds upon the success of the Greenhouse Challenge Programme (reported in Australia’s Third National Communication), to strengthen the partnership between the Australian Government and industry to abate greenhouse gas emissions.
The programme is designed to help companies reduce their emissions, integrate greenhouse issues into business decision making and accelerate the uptake of energy efficiency. The new Greenhouse Challenge Plus Programme recognises businesses’ different levels of response to managing greenhouse gas emissions through a tiered approach to programme membership, incorporating partnerships on a
voluntary, incentive-based and compulsory basis. All existing members of the Greenhouse Challenge programmes became members of Greenhouse Challenge Plus. Greenhouse Challenge Plus has around 800 participants, representing almost 50% of greenhouse gas emissions from industry. In particular, it has excellent coverage of companies in key sectors, including electricity supply, oil and gas, aluminium, cement, mining and manufacturing. Most member companies participate voluntarily, but from July 2006, companies that receive more than $3 million per year of business fuel credits will be required to join the programme. In addition, a new requirement for proponents of major energy resource developments to join Greenhouse Challenge Plus is being developed.
Under Greenhouse Challenge Plus, businesses measure and monitor greenhouse gas emissions and deliver maximum practical greenhouse gas abatement by working towards specific milestones set out under individual agreements.
The Australian Government provides administrative and technical support for the programme.
The programme also allows companies that wish to go further in reducing their greenhouse gas emissions to be
identified as Greenhouse Leaders by agreeing to achieve a greenhouse gas abatement goal and report publicly on the
outcomes.
Greenhouse Challenge Plus also integrates the Generator Efficiency Standards (GES) and the Greenhouse Friendly programmes (as reported in Australia’s Third National Communication) into a single streamlined programme. This integration is being achieved through common verification
and reporting arrangements and through a new online reporting tool.
By May 2004, 17 companies, representing 85% of Australian electricity generation capacity, had signed up to the GES, and some have already started implementing their action plans. The Greenhouse Challenge, GES, and Greenhouse Friendly
components of Greenhouse Challenge Plus together are expected to lead to abatement of an estimated 15.8 Mt CO2 -e
in 2010.","https://unfccc.int/documents/198545",NA,NA,NA,"UNFCCC National Communications"
"16","Australia","AUS","NC4",2004,"Greenhouse Gas Abatement Programme","The Greenhouse Gas Abatement Programme is a Crosssectoral measure that targets the Stationary Energy, Transport and Fugitive Emissions from Fuels subsectors and the Industrial Processes and Land Use, Land Use Change and Forestry sectors. The Greenhouse Gas Abatement Programme (GGAP)
was established as part of the 1999 Measures for a Better Environment package. As reported in Australia’s Third National Communication, the programme leverages private sector investment in activities or technologies that are likely to result in substantial reductions in greenhouse gas emissions or sink enhancement particularly in the period 2008–12.
GGAP projects approved to date include co-generation,
energy efficiency, travel demand management, alternative fuels, coal mine gas technologies and fuel conversion. As of mid-2004, 12 projects approved by ministers are on track to deliver abatement in the Kyoto target period. In the 2004–05 Federal Budget, the Australian Government announced that the third funding round of GGAP would be the last, and re-allocated uncommitted GGAP funds to Climate Change Strategy initiatives that include a strong focus on strategic, long-term abatement and innovative technologies. GGAP is expected to generate cost-effective emissions reductions during the Kyoto Protocol target period 2008–12. The estimated average abatement cost (from government funding) is $5.5 per tonne of CO2
 for the first two funding rounds of GGAP based on 2003 projections. It is projected that GGAP will abate an estimated 6.1 Mt CO2 -e in 2010.","https://unfccc.int/documents/198545",NA,NA,NA,"UNFCCC National Communications"
"17","Australia","AUS","NC4",2004,"Low Emissions Technology Demonstration Fund","The Low Emissions Technology Demonstration Fund is a Cross-sectoral measure that targets the Stationary Energy, Transport and Fugitive Emissions from Fuels subsectors.
The Australian Government has established a $500 million Low Emissions Technology Demonstration Fund to support industry-led projects to demonstrate the commercial viability
of new technologies or processes or the application of overseas
technologies or processes to Australian circumstances to deliver
long-term, large-scale greenhouse gas emission reductions.
The fund is technology neutral and will encompass renewable
and fossil fuel supply technologies as well as energy efficiency,
and can be for either stationary or transport energy projects.
To be eligible for support under the fund, technologies will have
to be commercially available by 2020–30 and able to reduce
greenhouse gas emissions from the energy sector by at least 2%
per annum from 2030.
The fund was announced through the release of the Australian
Government’s 2004 Energy White Paper Securing Australia’s
Energy Future, and has been designed to leverage at least
$1 billion dollars in private-sector investment. The fund will
play a major role in reducing Australia’s greenhouse signature
over the longer term while maintaining the viability of its
energy and energy-dependent industries. In light of the longer
term focus of this programme, projects will deliver emissions
abatement beyond 2010.
","https://unfccc.int/documents/198545",NA,NA,NA,"UNFCCC National Communications"
"18","Australia","AUS","NC4",2000,"National Green Power Accreditation Programme","Launched initially in 1997 in NSW by SEDA, the Green Power program was one of the first of its type in the
world. Today, the National Green Power Accreditation Program, established in May 2000, is offered nationally through joint collaboration by participating State and Territory government agencies in NSW, Victoria,
Queensland, South Australia, Western Australia and the ACT.Green Power aims to facilitate the installation of new renewable energy generators across Australia, beyond mandatory renewable requirements. Under the programme, customers can elect to pay a premium to their energy retailers for the supply of electricity generated from renewable sources (solar, wind, biomass, hydro and geothermal). Accredited energy suppliers then agree to buy an amount of energy from renewable sources equivalent to the amount nominated by participating consumers and businesses. The programme has similar objectives to MRET—to reduce greenhouse gas emissions from the electricity generation sector and drive investment in renewable energy projects— but whereas MRET is a mandatory  (legislated) requirement, Green Power relies on consumers voluntarily paying a premium. Green Power provided by retailers to meet customer demand cannot be ‘double counted’ to contribute to meeting their MRET obligations. Ongoing compliance of products is checked regularly
via financial and technical status reports provided by the energy supplier. Independent audits are carried out by the New South Wales Department of Energy Utilities
and Sustainability, as programme manager. Participating state and territory governments promote and help energy suppliers to promote Green Power accredited programmes
to increase participation and therefore demand. Several of the state governments also provide financial assistance for the development of new generators, and have policies for
government bodies to purchase Green Power.","https://unfccc.int/documents/198545",NA,NA,NA,"UNFCCC National Communications"
"19","Australia","AUS","NC4",2004,"Wind Energy Forecasting Capability","In response to an emerging challenge to the effective management of increasing amounts of wind power on electricity networks, the Australian Government has committed $14 million over five years from 2004–05 to the
development and installation of systems to provide accurate
forecasts of wind output. This capability will facilitate greater penetration of wind into energy markets, increasing the value of wind energy to electricity retailers, and allow
for more strategic planning of new wind farms.
The forecasting capability is expected to be implemented in 2006, and will be expanded over the following three years to improve performance and maximise accuracy. Emissions
reductions have not been estimated separately from MRET.","https://unfccc.int/documents/198545",NA,NA,NA,"UNFCCC National Communications"
"20","Australia","AUS","NC4",2003,"Advanced Energy Storage Technologies","The Australian Government is providing funding of $20.4 million over four years to identify, support the development and demonstration of, and promote advanced storage technologies that have strong potential to significantly increase the penetration of electricity generated by intermittent renewable energy sources into Australia’s energy supply. Announced as part of measures contained in Securing Australia’s Energy Future, the initiative is designed to take advantage of Australia’s technological leadership in a number of storage technologies that have the potential to reduce greenhouse gas emissions over the medium to long term. It is expected that proposals under this initiative will be assessed in 2006. Emissions  eductions have not been estimated as this measure is focused on longer-term abatement
beyond 2012.","https://unfccc.int/documents/198545",NA,NA,NA,"UNFCCC National Communications"
"21","Australia","AUS","NC4",2003,"Renewable Energy Development Initiative","Under the Renewable Energy Development Initiative (REDI), the Australian Government will provide $100 million over seven years from 2004–05 to support the development of renewable energy technology products, processes and services that have strong early-stage commercialisation and greenhouse gas abatement potential. The programme aims to support the international competitiveness of Australian industry by encouraging innovation through increasing the level of research and development, proof-of-concept and early-stage commercialisation activities undertaken by Australian companies. The assessment of project proposals commenced in August 2005. Emissions reductions have not been estimated as this measure is focused on longer-term abatement beyond 2012.","https://unfccc.int/documents/198545",NA,NA,NA,"UNFCCC National Communications"
"22","Australia","AUS","NC4",1997,"Mandatory Renewable Energy Target","The Prime Minister announced in 1997 the introduction of a Mandatory Renewable Energy Target (MRET) for the uptake of additional renewable energy in power supplies.
The MRET scheme sought to increase the contribution of renewable energy sources to Australia’s electricity mix by 9,500 GWh per year by 2010, at which time, renewable energy generation is expected to have increased by more than 50% above 1997 levels. Under the applicable legislation, wholesale electricity purchasers are required to purchase increasing amounts of electricity generated from renewable sources. Following a review of the Renewable Energy (Electricity) Act
2000 in 2003, the Australian Government agreed to improve the operational and administrative efficiency of the measure and increase opportunities for solar and biomass energy. The scheme is projected to reduce greenhouse gas emissions by an estimated 6.6 Mt CO2 -e in 2010.","https://unfccc.int/documents/198545",NA,NA,NA,"UNFCCC National Communications"
"23","Australia","AUS","NC4",2005,"National Framework for Energy Efficiency (NFEE)","In August 2004, the Ministerial Council on Energy announced a comprehensive package of measures comprising Stage One of the National Framework for Energy Efficiency (NFEE). The NFEE package integrates existing energy efficiency measures (as reported in Australia’s Third National Communication) with a range of new measures under the Climate Change Strategy. Together, the Australian Government and state and territory governments have committed $33 million to the NFEE package.","https://unfccc.int/documents/198545",NA,NA,NA,"UNFCCC National Communications"
"24","Australia","AUS","NC4",2005,"State and territory low emissions technology measures","In 2003, the Queensland Government committed $9 million over five years to the Centre for Low Emission Technology, in conjunction with the Commonwealth Science and Industrial Research Organisation, Australian Coal Research, industry partners and the University of Queensland. The Centre facilitates research, development and demonstration of the key technologies that have the potential to significantly improve the environmental performance of coal-fired power stations, by reducing greenhouse gas emissions to near zero levels. The Centre will also conduct research into the policy issues surrounding low emission coal technologies.
The Victorian Government’s $106 million Energy Technology and Innovation Strategy (ETIS) was launched in May 2005. Developed to facilitate a coordinated approach to the advancement of low emissions energy technologies to commercial-ready stage, the ETIS supports the progression of new technologies through their innovation processes, particularly where a market gap has been identified. 
Current projects include: the large-scale demonstration of clean brown coal technology power plants, investment in research, development and early stage demonstration projects as a base for later commercialisation, a trial of geo-sequestration, investment to support construction of a pre-commercial plant demonstrating a coal drying technology known as mechanical thermal expression.","https://unfccc.int/documents/198545",NA,NA,NA,"UNFCCC National Communications"
"25","Australia","AUS","NC4",2005,"State and territory regulatory measures","The Queensland Government’s 13% Gas Scheme came into effect on 1 January 2005. It is a major regulatory measure of the Queensland Government’s Cleaner Energy Strategy and is designed to foster greater use of gas in that state by requiring electricity retailers and some other liable parties, such as self-generators and power stations selling electricity to end-users, to source at least 13% of the electricity they sell
or use in Queensland from gas fired generation.
On 1 January 2003 the New South Wales Government established a mandatory Greenhouse Gas Abatement Scheme (GGAS), which requires liable parties (electricity retailers and large electricity users choosing to participate) to meet mandatory annual targets for greenhouse emissions, or pay a financial penalty. Annual targets for the scheme are based on per capita greenhouse emissions in New South Wales. Electricity retailers can meet their benchmark through purchasing increased amounts of electricity from less greenhouse-intensive sources, reduced consumer demand and the purchase of carbon sinks to offset emissions.
The Australian Capital Territory introduced its GGAS on 1 January 2005, compelling electricity retailers to source, over time, an increasing percentage of their product from cleaner or renewable energy sources.","https://unfccc.int/documents/198545",NA,NA,NA,"UNFCCC National Communications"
"26","Australia","AUS","NC4",2005,"Low Emissions Technology and Abatement Programme (LETA)","The Low Emissions Technology and Abatement (LETA) Programme was announced by the Australian Government in the 2004–05 Federal Budget as a $26.9 million measure designed to encourage technologies that reduce energy demand and emission intensity, in business, industry and local communities. The Australian Government agreed on the following four LETA themes through which funds will be allocated and the programme evaluated: strategic abatement, renewables, fossil fuels,
geosequestration—monitoring pilot project.
LETA is designed to complement other climate change programmes as a comprehensive approach to meeting the emissions management objectives of the Australian Government’s Climate Change Strategy. Assessment, approval and implementation of proposals is expected to begin in the latter part of 2005.","https://unfccc.int/documents/198545",NA,NA,NA,"UNFCCC National Communications"
"27","Australia","AUS","NC4",2003,"Energy Market Reform (EMR)","The Australian Government will continue to work collaboratively with the state and territory governments to develop an open, efficient and competitive energy market that is attractive to investors, encourages a greater focus on energy efficiency, and will lead to a decrease in the greenhouse intensity of Australia’s energy supply. The reform agenda includes increasing the interconnection of regional electricity markets, and measures to increase demandside participation across a number of markets.
In December 2003, COAG announced its commitment to a renewed programme of reform for the period to 2006 involving, as a first step, the establishment of a single energy regulator, the Australian Energy Regulator, and a single rule-making and market development body, the Australian Energy Market Commission, replacing 17 existing bodies and
providing certainty and stability to energy markets. Current reform policies focus on the areas of transmission planning, energy user participation and removal of impediments to natural gas use.
Ongoing EMR will be complemented by a detailed suite of measures designed to increase the uptake of commercial opportunities to improve energy efficiency. The Australian Government will also work with states and territories to identify and overcome energy market rules that provide impediments to the uptake of smaller-scale local generation (distributed generation), including renewable energy sources. 
State governments have also taken specific measures in
relation to EMR. In July 2003, full retail contestability was
introduced into the energy markets of New South Wales,
Victoria, South Australia and the Australian Capital Territory.
Households and small businesses in these jurisdictions are
now able to choose the supplier from whom they buy their
energy. The aim is to allow all electricity and gas customers
to have greater choice in their energy supply, and to compare
prices and services.","https://unfccc.int/documents/198545",NA,NA,NA,"UNFCCC National Communications"
"28","Australia","AUS","NC5",1990,"State and territory waste measures",NA,"https://unfccc.int/documents/198435",NA,NA,NA,"UNFCCC National Communications"
"29","Australia","AUS","NC5",1995,"Greenhouse Challenge Plus",NA,"https://unfccc.int/documents/198435",NA,NA,NA,"UNFCCC National Communications"
"30","Australia","AUS","NC5",1997,"National GreenPower Accreditation Program",NA,"https://unfccc.int/documents/198435",NA,NA,NA,"UNFCCC National Communications"
"31","Australia","AUS","NC5",1997,"NSW and Queensland land-use change legislation",NA,"https://unfccc.int/documents/198435",NA,NA,NA,"UNFCCC National Communications"
"32","Australia","AUS","NC6",1997,"Greenhouse Gas Abatement Scheme",NA,"https://unfccc.int/documents/198294",NA,NA,NA,"UNFCCC National Communications"
"33","Australia","AUS","NC5",2000,"Renewable Remote Power Generation Program",NA,"https://unfccc.int/documents/198435",NA,NA,NA,"UNFCCC National Communications"
"34","Australia","AUS","NC5",2000,"Queensland Gas Scheme",NA,"https://unfccc.int/documents/198435",NA,NA,NA,"UNFCCC National Communications"
"35","Australia","AUS","NC5",2001,"Greenhouse Friendly™",NA,"https://unfccc.int/documents/198435",NA,NA,NA,"UNFCCC National Communications"
"36","Australia","AUS","NC7",2001,"Large-scale Renewable Energy Target (RET)","The Large-scale RET of 33,000 GWh by 2020 encourages investment in large-scale renewable energy projects. Eligible large-scale renewable energy generators, like solar and wind farms, hydro-electric and biomass power
stations, can create certificates under the Large-scale Renewable Energy Target. Electricity retailers are legally
obligated to buy and surrender a certain amount of certificates to the Clean Energy Regulator each year. This
operates as a subsidy to renewable energy generators.
In August 2017, more than 70 per cent of the estimated capacity required to reach the target had been accredited.","https://unfccc.int/documents/69238",NA,NA,NA,"UNFCCC National Communications"
"37","Australia","AUS","NC7",2001,"Small-scale Renewable Energy Scheme (SRES)","The SRES helps home-owners and small businesses to install eligible small-scale renewable energy systems and solar hot water systems. The Small-scale Renewable Energy Scheme assists homeowners and small businesses with upfront costs of
installing small-scale (less than 100 kilowatt capacity) wind, hydro and solar panel systems. This scheme has
assisted Australian households to install more than 1.8 million solar PV systems and one million solar water
heater systems.
In August 2017, Australia hit a milestone of 6000 megawatt capacity across 2.8 million small-scale installations
of renewable energy systems such as solar PV systems, solar water heaters and air source heat pumps. That is
enough to power 1.8 million homes.","https://unfccc.int/documents/69238",NA,NA,NA,"UNFCCC National Communications"
"38","Australia","AUS","NC5",2003,"Greenhouse Gas Abatement Program (GGAP)","The Greenhouse Gas Abatement Program (GGAP) was a competitive grants program designed to reduce Australia’s net greenhouse gas emissions by supporting activities that 1) are likely to result in substantial emissions reductions, or 2) offset greenhouse emissions.","https://unfccc.int/documents/198435",NA,NA,NA,"UNFCCC National Communications"
"39","Australia","AUS","NC5",2003,"Greenhouse Gas Reduction Scheme (GGAS)","Requires liable parties (electricity retailers and large electricity users who choose to participate) to meet mandatory annual targets for reducing or offsetting greenhouse gas emissions from the production of electricity that they supply or use.","https://unfccc.int/documents/198435",NA,NA,NA,"UNFCCC National Communications"
