"","ISO","Module","Policy","year","Value","Policytype","Policytype_detail","diff","diff_2","introduction","diff_adj","diff_2_adj","source"
"40","JPN","Cross_sectoral","RDD_EnergyEfficiency",1999,9,"MBI","Other MBI",1,2,0,0,1,"OECD"
"41","JPN","Electricity","AirEmissionStandards",1999,5,"NMBI","Performance Standards",2,3,0,1,1,"OECD"
"42","KOR","Transport","Excise Tax Transport",1999,5,"MBI","Carbon Pricing",2,1,0,1,0,"OECD"
"43","NLD","Transport","Labels Passenger Cars",1999,10,"NMBI","Information",10,10,1,1,1,"OECD"
"44","RUS","Transport","Investment in Rail Infrastructure",1999,8,"NMBI","Other NMBI",2,1,0,1,0,"OECD"
"45","SWE","Cross_sectoral","RDD_EnergyEfficiency",1999,8,"MBI","Other MBI",2,1,0,1,0,"OECD"
"46","SWE","Cross_sectoral","RDD_Otherstorage",1999,9,"MBI","Other MBI",2,1,0,1,0,"OECD"
"47","SWE","International","Ratification of Climate Treaties",1999,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"48","SWE","Transport","Labels Passenger Cars",1999,10,"NMBI","Information",10,10,1,1,1,"OECD"
"49","USA","Buildings","BuildingEnergyCodes",1999,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"50","AUT","International","Ratification of Climate Treaties",2000,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"51","BEL","International","GHG Reporting Accounting",2000,5,"Other","Climate data",5,5,1,1,1,"OECD"
"52","BRA","Buildings","MEPS of appliances",2000,3,"NMBI","Performance Standards",3,3,1,1,1,"OECD"
"53","CAN","Cross_sectoral","Methane Policies",2000,2,"NMBI","Other NMBI",2,2,1,1,1,"OECD"
"54","CAN","Cross_sectoral","RDD_Otherstorage",2000,6,"MBI","Other MBI",3,3,0,1,1,"OECD"
"55","CAN","Cross_sectoral","RDD_Renewables",2000,4,"MBI","Other MBI",2,2,0,1,1,"OECD"
"56","CHE","Cross_sectoral","Independent Advisory Body",2000,4,"Other","Governance",4,4,1,1,1,"OECD"
"57","CHE","International","GHG Reporting Accounting",2000,5,"Other","Climate data",5,5,1,1,1,"OECD"
"58","DEU","Cross_sectoral","RDD_Otherstorage",2000,4,"MBI","Other MBI",2,0,0,1,0,"OECD"
"59","FRA","Cross_sectoral","RDD_Otherstorage",2000,1,"MBI","Other MBI",1,1,1,0,0,"OECD"
"60","ITA","Cross_sectoral","RDD_Otherstorage",2000,9,"MBI","Other MBI",0,5,0,0,1,"OECD"
"61","JPN","Transport","Excise Tax Transport",2000,5,"MBI","Carbon Pricing",1,2,0,0,1,"OECD"
"62","NLD","International","Ratification of Climate Treaties",2000,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"63","NOR","Cross_sectoral","RDD_Otherstorage",2000,7,"MBI","Other MBI",3,3,0,1,1,"OECD"
"64","NOR","Transport","Investment in Rail Infrastructure",2000,6,"NMBI","Other NMBI",3,1,0,1,0,"OECD"
"65","RUS","Transport","Labels Passenger Cars",2000,10,"NMBI","Information",10,10,1,1,1,"OECD"
"66","SWE","Cross_sectoral","RDD_Renewables",2000,8,"MBI","Other MBI",2,2,0,1,1,"OECD"
"67","SWE","Electricity","AirEmissionStandards",2000,3,"NMBI","Performance Standards",3,3,1,1,1,"OECD"
"68","AUS","Buildings","MEPS of appliances",2001,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"69","AUS","Electricity","Renewable energy certificates",2001,1,"MBI","Subsidy",1,1,1,0,0,"OECD"
"70","AUS","Transport","Labels Passenger Cars",2001,10,"NMBI","Information",10,10,1,1,1,"OECD"
"71","AUT","Buildings","Labels Appliances",2001,8,"NMBI","Information",3,3,0,1,1,"OECD"
"72","BEL","Buildings","Labels Appliances",2001,8,"NMBI","Information",3,3,0,1,1,"OECD"
"73","DEU","Buildings","Labels Appliances",2001,8,"NMBI","Information",3,3,0,1,1,"OECD"
"74","DEU","Cross_sectoral","RDD_EnergyEfficiency",2001,3,"MBI","Other MBI",2,1,0,1,0,"OECD"
"75","DEU","Electricity","Auction",2001,2,"MBI","Subsidy",2,2,1,1,1,"OECD"
"76","DNK","Buildings","Labels Appliances",2001,8,"NMBI","Information",3,3,0,1,1,"OECD"
"77","ESP","Buildings","Labels Appliances",2001,8,"NMBI","Information",3,3,0,1,1,"OECD"
"78","FIN","Buildings","Labels Appliances",2001,8,"NMBI","Information",3,3,0,1,1,"OECD"
"79","FIN","International","Ratification of Climate Treaties",2001,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"80","FRA","Buildings","Labels Appliances",2001,8,"NMBI","Information",3,3,0,1,1,"OECD"
"81","FRA","Electricity","Feed-In-Tariffs",2001,3,"MBI","Subsidy",2,0,0,1,0,"OECD"
"82","GBR","Buildings","MEPS of appliances",2001,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"83","GBR","International","Ratification of Climate Treaties",2001,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"84","ITA","Buildings","Labels Appliances",2001,8,"NMBI","Information",3,3,0,1,1,"OECD"
"85","ITA","Cross_sectoral","RDD_Renewables",2001,4,"MBI","Other MBI",2,0,0,1,0,"OECD"
"86","ITA","International","Ratification of Climate Treaties",2001,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"87","ITA","Transport","Investment in Rail Infrastructure",2001,9,"NMBI","Other NMBI",1,2,0,0,1,"OECD"
"88","KOR","Buildings","BuildingEnergyCodes",2001,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD"
"89","NLD","Buildings","Labels Appliances",2001,8,"NMBI","Information",3,3,0,1,1,"OECD"
"90","NOR","Buildings","Labels Appliances",2001,8,"NMBI","Information",3,3,0,1,1,"OECD"
"91","RUS","Transport","Investment in Rail Infrastructure",2001,10,"NMBI","Other NMBI",1,2,0,0,1,"OECD"
"92","SWE","Buildings","Labels Appliances",2001,8,"NMBI","Information",3,3,0,1,1,"OECD"
"93","AUS","Electricity","AirEmissionStandards",2002,2,"NMBI","Performance Standards",2,2,1,1,1,"OECD"
"94","AUS","Industry","MEPS electric motors",2002,3,"NMBI","Performance Standards",3,3,1,1,1,"OECD"
"95","AUT","Cross_sectoral","RDD_Renewables",2002,6,"MBI","Other MBI",1,2,0,0,1,"OECD"
"96","AUT","International","Ratification of Climate Treaties",2002,7,"Other","International Co-operation",2,2,0,1,1,"OECD"
"97","BEL","International","Ratification of Climate Treaties",2002,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"98","BRA","Electricity","Feed-In-Tariffs",2002,4,"MBI","Subsidy",4,4,1,1,1,"OECD"
"99","BRA","International","Ratification of Climate Treaties",2002,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"100","CAN","Cross_sectoral","RDD_EnergyEfficiency",2002,7,"MBI","Other MBI",1,2,0,0,1,"OECD"
"101","CAN","International","Ratification of Climate Treaties",2002,7,"Other","International Co-operation",2,2,0,1,1,"OECD"
"102","CHE","Buildings","Labels Appliances",2002,5,"NMBI","Information",5,5,1,1,1,"OECD"
"103","CHE","International","Ratification of Climate Treaties",2002,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"104","CHE","Transport","Labels Passenger Cars",2002,10,"NMBI","Information",10,10,1,1,1,"OECD"
"105","CHN","International","Ratification of Climate Treaties",2002,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"106","DEU","Electricity","AirEmissionStandards",2002,6,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"107","DEU","International","Ratification of Climate Treaties",2002,7,"Other","International Co-operation",2,2,0,1,1,"OECD"
"108","DNK","International","Ratification of Climate Treaties",2002,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"109","ESP","International","Ratification of Climate Treaties",2002,7,"Other","International Co-operation",2,2,0,1,1,"OECD"
"110","ESP","Transport","Investment in Rail Infrastructure",2002,7,"NMBI","Other NMBI",1,2,0,0,1,"OECD"
"111","FIN","Electricity","AirEmissionStandards",2002,6,"NMBI","Performance Standards",2,2,0,1,1,"OECD"
"112","FIN","International","Ratification of Climate Treaties",2002,7,"Other","International Co-operation",2,4,0,1,0,"OECD"
"113","FRA","Cross_sectoral","RDD_CCS",2002,3,"MBI","Other MBI",3,3,1,1,1,"OECD"
"114","FRA","Cross_sectoral","RDD_EnergyEfficiency",2002,6,"MBI","Other MBI",4,4,0,1,1,"OECD"
"115","FRA","Cross_sectoral","RDD_Renewables",2002,4,"MBI","Other MBI",2,2,0,1,1,"OECD"
"116","FRA","International","Ratification of Climate Treaties",2002,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"117","GBR","International","Ratification of Climate Treaties",2002,7,"Other","International Co-operation",2,4,0,1,0,"OECD"
"118","IND","Electricity","Feed-In-Tariffs",2002,5,"MBI","Subsidy",2,2,0,1,1,"OECD"
"119","IND","International","Ratification of Climate Treaties",2002,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"120","ITA","Electricity","Renewable energy certificates",2002,3,"MBI","Subsidy",3,3,1,1,1,"OECD"
"121","ITA","International","Ratification of Climate Treaties",2002,7,"Other","International Co-operation",2,4,0,1,0,"OECD"
"122","JPN","International","Ratification of Climate Treaties",2002,7,"Other","International Co-operation",4,4,0,1,1,"OECD"
"123","KOR","International","Ratification of Climate Treaties",2002,7,"Other","International Co-operation",2,2,0,1,1,"OECD"
"124","NLD","International","Ratification of Climate Treaties",2002,7,"Other","International Co-operation",2,2,0,1,1,"OECD"
"125","NOR","Electricity","AirEmissionStandards",2002,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"126","NOR","International","Ratification of Climate Treaties",2002,7,"Other","International Co-operation",2,2,0,1,1,"OECD"
"127","RUS","Cross_sectoral","Methane Policies",2002,2,"NMBI","Other NMBI",2,2,1,1,1,"OECD"
"128","SWE","Electricity","AirEmissionStandards",2002,5,"NMBI","Performance Standards",2,2,0,1,1,"OECD"
"129","SWE","International","Ratification of Climate Treaties",2002,7,"Other","International Co-operation",2,2,0,1,1,"OECD"
"130","AUT","Buildings","Excise Taxes Buildings",2003,4,"MBI","Carbon Pricing",2,2,0,1,1,"OECD"
"131","AUT","Electricity","Feed-In-Tariffs",2003,3,"MBI","Subsidy",2,2,0,1,1,"OECD"
"132","AUT","Industry","Excise Taxes Industry",2003,5,"MBI","Carbon Pricing",2,3,0,1,1,"OECD"
"133","BEL","Electricity","Renewable energy certificates",2003,3,"MBI","Subsidy",3,3,1,1,1,"OECD"
"134","BEL","International","UNFCCC Submission",2003,3,"Other","Climate data",2,2,0,1,1,"OECD"
"135","CAN","Cross_sectoral","RDD_Otherstorage",2003,8,"MBI","Other MBI",1,2,0,0,1,"OECD"
"136","CAN","Cross_sectoral","RDD_Renewables",2003,5,"MBI","Other MBI",2,2,0,1,1,"OECD"
"137","CAN","Electricity","AirEmissionStandards",2003,7,"NMBI","Performance Standards",7,7,1,1,1,"OECD"
"138","CHE","International","Ratification of Climate Treaties",2003,7,"Other","International Co-operation",2,4,0,1,0,"OECD"
"139","CHE","International","UNFCCC Submission",2003,4,"Other","Climate data",2,2,0,1,1,"OECD"
"140","CHE","Transport","Excise Tax Transport",2003,8,"MBI","Carbon Pricing",2,3,0,1,1,"OECD"
"141","CHN","Buildings","MEPS of appliances",2003,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"142","DEU","Buildings","Excise Taxes Buildings",2003,4,"MBI","Carbon Pricing",2,2,0,1,1,"OECD"
"143","DEU","Transport","Excise Tax Transport",2003,9,"MBI","Carbon Pricing",3,4,0,1,1,"OECD"
"144","DEU","Transport","Investment in Rail Infrastructure",2003,8,"NMBI","Other NMBI",1,2,0,0,1,"OECD"
"145","DNK","Electricity","AirEmissionStandards",2003,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"146","DNK","International","Ratification of Climate Treaties",2003,7,"Other","International Co-operation",2,4,0,1,0,"OECD"
"147","DNK","International","UNFCCC Submission",2003,3,"Other","Climate data",2,2,0,1,1,"OECD"
"148","FIN","Cross_sectoral","RDD_Renewables",2003,9,"MBI","Other MBI",2,2,0,1,1,"OECD"
"149","FIN","International","UNFCCC Submission",2003,4,"Other","Climate data",2,2,0,1,1,"OECD"
"150","FIN","Transport","Carbon Tax Transport",2003,6,"MBI","Carbon Pricing",2,2,0,1,1,"OECD"
"151","FRA","International","Ratification of Climate Treaties",2003,7,"Other","International Co-operation",2,4,0,1,0,"OECD"
"152","FRA","International","UNFCCC Submission",2003,4,"Other","Climate data",2,2,0,1,1,"OECD"
"153","FRA","Transport","Excise Tax Transport",2003,7,"MBI","Carbon Pricing",2,2,0,1,1,"OECD"
"154","GBR","Electricity","AirEmissionStandards",2003,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"155","GBR","Electricity","Renewable energy certificates",2003,4,"MBI","Subsidy",4,4,1,1,1,"OECD"
"156","GBR","International","UNFCCC Submission",2003,4,"Other","Climate data",2,2,0,1,1,"OECD"
"157","GBR","Transport","Congestion Charges",2003,8,"MBI","Other MBI",8,8,1,1,1,"OECD"
"158","IND","International","Ratification of Climate Treaties",2003,7,"Other","International Co-operation",2,4,0,1,0,"OECD"
"159","ISR","International","Ratification of Climate Treaties",2003,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"160","JPN","Electricity","Renewable energy certificates",2003,2,"MBI","Subsidy",2,2,1,1,1,"OECD"
"161","KOR","Cross_sectoral","RDD_Otherstorage",2003,8,"MBI","Other MBI",2,0,0,1,0,"OECD"
"162","KOR","Electricity","Feed-In-Tariffs",2003,4,"MBI","Subsidy",4,4,1,1,1,"OECD"
"163","NLD","Electricity","Feed-In-Tariffs",2003,2,"MBI","Subsidy",2,2,1,1,1,"OECD"
"164","NLD","International","UNFCCC Submission",2003,4,"Other","Climate data",2,2,0,1,1,"OECD"
"165","NOR","Transport","Congestion Charges",2003,4,"MBI","Other MBI",2,3,0,1,1,"OECD"
"166","SWE","Buildings","Carbon Tax Buildings",2003,10,"MBI","Carbon Pricing",1,2,0,0,1,"OECD"
"167","SWE","Electricity","Renewable energy certificates",2003,6,"MBI","Subsidy",6,6,1,1,1,"OECD"
"168","SWE","International","UNFCCC Submission",2003,4,"Other","Climate data",2,2,0,1,1,"OECD"
"169","SWE","Transport","Carbon Tax Transport",2003,10,"MBI","Carbon Pricing",1,2,0,0,1,"OECD"
"170","USA","International","Ratification of Climate Treaties",2003,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"171","USA","International","UNFCCC Submission",2003,3,"Other","Climate data",2,2,0,1,1,"OECD"
"172","AUS","Buildings","BuildingEnergyCodes",2004,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD"
"173","AUS","Cross_sectoral","RDD_EnergyEfficiency",2004,6,"MBI","Other MBI",3,0,0,1,0,"OECD"
"174","AUS","Cross_sectoral","RDD_Nuclear",2004,5,"MBI","Other MBI",4,0,0,1,0,"OECD"
"175","AUS","Cross_sectoral","RDD_Renewables",2004,6,"MBI","Other MBI",3,0,0,1,0,"OECD"
"176","AUS","International","GHG Reporting Accounting",2004,5,"Other","Climate data",5,5,1,1,1,"OECD"
"177","AUS","International","UNFCCC Submission",2004,3,"Other","Climate data",2,2,0,1,1,"OECD"
"178","AUT","Cross_sectoral","RDD_Otherstorage",2004,7,"MBI","Other MBI",2,2,0,1,1,"OECD"
"179","AUT","International","UNFCCC Submission",2004,4,"Other","Climate data",1,2,0,0,1,"OECD"
"180","AUT","Transport","Excise Tax Transport",2004,5,"MBI","Carbon Pricing",1,2,0,0,1,"OECD"
"181","BEL","Electricity","AirEmissionStandards",2004,7,"NMBI","Performance Standards",5,5,0,1,1,"OECD"
"182","BEL","International","Ratification of Climate Treaties",2004,7,"Other","International Co-operation",2,2,0,1,1,"OECD"
"183","BRA","International","Ratification of Climate Treaties",2004,7,"Other","International Co-operation",2,2,0,1,1,"OECD"
"184","CAN","Cross_sectoral","RDD_CCS",2004,8,"MBI","Other MBI",8,8,1,1,1,"OECD"
"185","DEU","Cross_sectoral","RDD_CCS",2004,3,"MBI","Other MBI",3,3,1,1,1,"OECD"
"186","DNK","Cross_sectoral","RDD_EnergyEfficiency",2004,4,"MBI","Other MBI",2,3,0,1,1,"OECD"
"187","DNK","Cross_sectoral","RDD_Renewables",2004,9,"MBI","Other MBI",3,3,0,1,1,"OECD"
"188","ESP","Electricity","AirEmissionStandards",2004,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"189","ESP","International","UNFCCC Submission",2004,3,"Other","Climate data",1,2,0,0,1,"OECD"
"190","FIN","Buildings","Carbon Tax Buildings",2004,6,"MBI","Carbon Pricing",1,2,0,0,1,"OECD"
"191","FIN","Cross_sectoral","RDD_EnergyEfficiency",2004,10,"MBI","Other MBI",3,0,0,1,0,"OECD"
"192","FRA","Cross_sectoral","RDD_CCS",2004,5,"MBI","Other MBI",2,2,0,1,1,"OECD"
"193","FRA","Cross_sectoral","RDD_Otherstorage",2004,3,"MBI","Other MBI",1,2,0,0,1,"OECD"
"194","FRA","Electricity","AirEmissionStandards",2004,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"195","FRA","Transport","Excise Tax Transport",2004,9,"MBI","Carbon Pricing",2,4,0,1,0,"OECD"
"196","GBR","Cross_sectoral","RDD_CCS",2004,5,"MBI","Other MBI",5,5,1,1,1,"OECD"
"197","ISR","Buildings","Labels Appliances",2004,8,"NMBI","Information",3,3,0,1,1,"OECD"
"198","ISR","International","Ratification of Climate Treaties",2004,7,"Other","International Co-operation",2,4,0,1,0,"OECD"
"199","JPN","Cross_sectoral","RDD_Otherstorage",2004,5,"MBI","Other MBI",2,0,0,1,0,"OECD"
"200","JPN","Cross_sectoral","RDD_Renewables",2004,7,"MBI","Other MBI",3,2,0,1,1,"OECD"
"201","JPN","Transport","Excise Tax Transport",2004,5,"MBI","Carbon Pricing",1,2,0,0,1,"OECD"
"202","KOR","Buildings","MEPS of appliances",2004,10,"NMBI","Performance Standards",2,2,0,1,1,"OECD"
"203","KOR","Cross_sectoral","RDD_CCS",2004,3,"MBI","Other MBI",3,3,1,1,1,"OECD"
"204","KOR","Cross_sectoral","RDD_Nuclear",2004,10,"MBI","Other MBI",4,4,0,1,1,"OECD"
"205","KOR","Cross_sectoral","RDD_Renewables",2004,6,"MBI","Other MBI",4,4,0,1,1,"OECD"
"206","NOR","Cross_sectoral","RDD_CCS",2004,9,"MBI","Other MBI",9,9,1,1,1,"OECD"
"207","NOR","International","UNFCCC Submission",2004,3,"Other","Climate data",1,2,0,0,1,"OECD"
"208","RUS","International","Ratification of Climate Treaties",2004,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"209","SWE","Cross_sectoral","RDD_Renewables",2004,9,"MBI","Other MBI",2,1,0,1,0,"OECD"
"210","SWE","Transport","Investment in Rail Infrastructure",2004,8,"NMBI","Other NMBI",2,2,0,1,1,"OECD"
"211","USA","Cross_sectoral","RDD_CCS",2004,4,"MBI","Other MBI",4,4,1,1,1,"OECD"
"212","AUS","Electricity","AirEmissionStandards",2005,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"213","AUT","Cross_sectoral","RDD_CCS",2005,1,"MBI","Other MBI",1,1,1,0,0,"OECD"
"214","AUT","Cross_sectoral","RDD_Hydrogen",2005,5,"MBI","Other MBI",5,0,1,1,0,"OECD"
"215","AUT","Electricity","ETS Electricity",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"216","AUT","Industry","ETS Industry",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"217","BEL","Electricity","ETS Electricity",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"218","BEL","Industry","ETS Industry",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"219","CAN","Cross_sectoral","RDD_Nuclear",2005,9,"MBI","Other MBI",3,3,0,1,1,"OECD"
"220","CAN","Cross_sectoral","RDD_Renewables",2005,5,"MBI","Other MBI",2,0,0,1,0,"OECD"
"221","CHE","Electricity","Feed-In-Tariffs",2005,7,"MBI","Subsidy",7,7,1,1,1,"OECD"
"222","CHN","Buildings","Labels Appliances",2005,8,"NMBI","Information",8,8,1,1,1,"OECD"
"223","CHN","Transport","MEPS Transport",2005,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"224","DEU","Cross_sectoral","RDD_Renewables",2005,5,"MBI","Other MBI",2,1,0,1,0,"OECD"
"225","DEU","Electricity","ETS Electricity",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"226","DEU","Industry","ETS Industry",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"227","DNK","Cross_sectoral","RDD_CCS",2005,5,"MBI","Other MBI",5,5,1,1,1,"OECD"
"228","DNK","Electricity","ETS Electricity",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"229","DNK","Industry","ETS Industry",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"230","ESP","Electricity","ETS Electricity",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"231","ESP","Industry","ETS Industry",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"232","FIN","Electricity","ETS Electricity",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"233","FIN","Industry","ETS Industry",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"234","FRA","Buildings","BuildingEnergyCodes",2005,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD"
"235","FRA","Cross_sectoral","RDD_Renewables",2005,5,"MBI","Other MBI",1,2,0,0,1,"OECD"
"236","FRA","Electricity","ETS Electricity",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"237","FRA","Industry","ETS Industry",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"238","GBR","Cross_sectoral","RDD_Renewables",2005,4,"MBI","Other MBI",2,2,0,1,1,"OECD"
"239","GBR","Electricity","ETS Electricity",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"240","GBR","Industry","ETS Industry",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"241","ITA","Buildings","BuildingEnergyCodes",2005,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD"
"242","ITA","Electricity","ETS Electricity",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"243","ITA","Electricity","Feed-In-Tariffs",2005,3,"MBI","Subsidy",3,3,0,1,1,"OECD"
"244","ITA","Industry","ETS Industry",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"245","KOR","Cross_sectoral","RDD_CCS",2005,5,"MBI","Other MBI",2,5,0,1,0,"OECD"
"246","KOR","Electricity","AirEmissionStandards",2005,7,"NMBI","Performance Standards",4,4,0,1,1,"OECD"
"247","KOR","Transport","Excise Tax Transport",2005,8,"MBI","Carbon Pricing",2,2,0,1,1,"OECD"
"248","NLD","Cross_sectoral","RDD_CCS",2005,8,"MBI","Other MBI",0,8,0,0,1,"OECD"
"249","NLD","Electricity","AirEmissionStandards",2005,6,"NMBI","Performance Standards",3,3,0,1,1,"OECD"
"250","NLD","Electricity","ETS Electricity",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"251","NLD","Industry","ETS Industry",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD"
"252","NLD","Transport","Investment in Rail Infrastructure",2005,8,"NMBI","Other NMBI",2,1,0,1,0,"OECD"
