"","Policy","ISO","year","Policytype","Policytype_detail","Policy_name_fig_1","Policy_name_fig_2_3","Policy_name_fig_4","Market_non_market","Cluster_categories","source","label","policy_sign","Module","Value","diff","diff_2","introduction","phase_out","diff_adj","diff_2_adj","diff_2_adj_neg","diff_adj_neg"
"29","AirEmissionStandards","NLD",2013,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",8,2,2,0,0,1,1,0,0
"30","AirEmissionStandards","NOR",2002,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",5,3,3,0,0,1,1,0,0
"31","AirEmissionStandards","RUS",1997,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",3,3,0,0,0,1,0,0,0
"32","AirEmissionStandards","SWE",2000,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",3,3,3,1,0,1,1,0,0
"33","AirEmissionStandards","SWE",2002,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",5,2,2,0,0,1,1,0,0
"34","AirEmissionStandards","SWE",2013,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",8,3,3,0,0,1,1,0,0
"35","AirEmissionStandards","USA",2012,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",5,2,2,0,0,1,1,0,0
"36","AirEmissionStandards","USA",2016,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",9,4,4,0,0,1,1,0,0
"37","Auction","AUS",2018,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",1,1,1,1,0,0,0,0,0
"38","Auction","AUS",2019,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","negative","Electricity",0,-1,0,0,1,0,0,0,0
"39","Auction","BEL",2021,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",3,3,3,1,0,1,1,0,0
"40","Auction","BEL",2022,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","negative","Electricity",1,-2,1,0,0,0,0,0,1
"41","Auction","CAN",2016,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",5,5,5,1,0,1,1,0,0
"42","Auction","CAN",2017,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","negative","Electricity",0,-5,0,0,1,0,0,0,1
"43","Auction","CHN",2016,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",3,3,3,1,0,1,1,0,0
"44","Auction","CHN",2017,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","negative","Electricity",0,-3,0,0,1,0,0,0,1
"45","Auction","CHN",2018,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",5,5,2,0,0,1,1,0,0
"46","Auction","CHN",2020,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","negative","Electricity",3,-3,-2,0,0,0,0,1,1
"47","Auction","CHN",2021,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",5,2,-1,0,0,1,0,0,0
"48","Auction","CHN",2022,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","negative","Electricity",3,-2,0,0,0,0,0,0,1
"49","Auction","DEU",2001,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",2,2,2,1,0,1,1,0,0
"50","Auction","DEU",2002,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","negative","Electricity",0,-2,0,0,1,0,0,0,1
"51","Auction","DEU",2015,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",3,3,3,0,0,1,1,0,0
"52","Auction","DEU",2017,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",4,2,1,0,0,1,0,0,0
"53","Auction","DNK",2016,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",3,3,3,1,0,1,1,0,0
"54","Auction","DNK",2017,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","negative","Electricity",0,-3,0,0,1,0,0,0,1
"55","Auction","DNK",2018,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",2,2,-1,0,0,1,0,0,0
"56","Auction","DNK",2020,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","negative","Electricity",0,-3,-2,0,1,0,0,1,1
"57","Auction","ESP",2021,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",3,3,3,1,0,1,1,0,0
"58","Auction","ESP",2022,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","negative","Electricity",0,-3,0,0,0,0,0,0,1
"59","Auction","FRA",2015,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",3,3,3,1,0,1,1,0,0
"60","Auction","FRA",2016,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","negative","Electricity",0,-3,0,0,1,0,0,0,1
"61","Auction","FRA",2017,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",3,3,0,0,0,1,0,0,0
"62","Auction","FRA",2018,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",5,2,5,0,0,1,0,0,0
"63","Auction","GBR",2015,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",5,5,5,1,0,1,1,0,0
"64","Auction","GBR",2016,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","negative","Electricity",0,-5,0,0,1,0,0,0,1
"65","Auction","GBR",2022,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",5,5,5,0,0,1,1,0,0
"66","Auction","IND",2010,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",3,3,3,1,0,1,1,0,0
"67","Auction","IND",2017,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",5,2,2,0,0,1,1,0,0
"68","Auction","IND",2020,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","negative","Electricity",3,-2,-2,0,0,0,0,1,1
"69","Auction","IND",2021,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",6,3,1,0,0,1,0,0,0
"70","Auction","ISR",2020,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",3,3,3,1,0,1,1,0,0
"71","Auction","ISR",2021,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","negative","Electricity",1,-2,1,0,0,0,0,0,1
"72","Auction","ITA",2020,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",6,6,6,1,0,1,1,0,0
"73","Auction","JPN",2017,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",3,3,3,1,0,1,1,0,0
"74","Auction","JPN",2021,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",6,2,3,0,0,1,1,0,0
"75","Auction","KOR",2017,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",3,3,3,1,0,1,1,0,0
"76","Auction","NLD",2017,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",1,1,1,1,0,0,0,0,0
"77","Auction","RUS",2018,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",3,3,3,1,0,1,1,0,0
"78","Auction","RUS",2019,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","negative","Electricity",0,-3,0,0,1,0,0,0,1
"79","Auction","USA",2008,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","positive","Electricity",4,4,4,1,0,1,1,0,0
"80","Auction","USA",2020,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","negative","Electricity",1,-3,-3,0,0,0,0,1,1
"81","Auction","USA",2021,"MBI","Subsidy","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","OECD","jump","negative","Electricity",0,-1,-4,0,1,0,0,0,0
"82","Ban on Export Credits Coal","AUS",2021,"NMBI","Technology Standards","","Ban on Export Credits Coal","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",8,8,8,1,0,1,1,0,0
"83","Ban on Export Credits Coal","AUT",2021,"NMBI","Technology Standards","","Ban on Export Credits Coal","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",8,8,8,1,0,1,1,0,0
"84","Ban on Export Credits Coal","BEL",2021,"NMBI","Technology Standards","","Ban on Export Credits Coal","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",8,8,8,1,0,1,1,0,0
"85","Ban on Export Credits Coal","CAN",2021,"NMBI","Technology Standards","","Ban on Export Credits Coal","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",8,8,8,1,0,1,1,0,0
"86","Ban on Export Credits Coal","CHE",2021,"NMBI","Technology Standards","","Ban on Export Credits Coal","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",8,8,8,1,0,1,1,0,0
"87","Ban on Export Credits Coal","DEU",2021,"NMBI","Technology Standards","","Ban on Export Credits Coal","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",8,8,8,1,0,1,1,0,0
"88","Ban on Export Credits Coal","DNK",2021,"NMBI","Technology Standards","","Ban on Export Credits Coal","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",8,8,8,1,0,1,1,0,0
"89","Ban on Export Credits Coal","ESP",2021,"NMBI","Technology Standards","","Ban on Export Credits Coal","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",8,8,8,1,0,1,1,0,0
"90","Ban on Export Credits Coal","FIN",2021,"NMBI","Technology Standards","","Ban on Export Credits Coal","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",8,8,8,1,0,1,1,0,0
"91","Ban on Export Credits Coal","FRA",2021,"NMBI","Technology Standards","","Ban on Export Credits Coal","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",8,8,8,1,0,1,1,0,0
"92","Ban on Export Credits Coal","GBR",2021,"NMBI","Technology Standards","","Ban on Export Credits Coal","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",8,8,8,1,0,1,1,0,0
"93","Ban on Export Credits Coal","ITA",2021,"NMBI","Technology Standards","","Ban on Export Credits Coal","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",8,8,8,1,0,1,1,0,0
"94","Ban on Export Credits Coal","JPN",2021,"NMBI","Technology Standards","","Ban on Export Credits Coal","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",8,8,8,1,0,1,1,0,0
"95","Ban on Export Credits Coal","KOR",2021,"NMBI","Technology Standards","","Ban on Export Credits Coal","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",8,8,8,1,0,1,1,0,0
"96","Ban on Export Credits Coal","NLD",2021,"NMBI","Technology Standards","","Ban on Export Credits Coal","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",8,8,8,1,0,1,1,0,0
"97","Ban on Export Credits Coal","NOR",2021,"NMBI","Technology Standards","","Ban on Export Credits Coal","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",8,8,8,1,0,1,1,0,0
"98","Ban on Export Credits Coal","SWE",2021,"NMBI","Technology Standards","","Ban on Export Credits Coal","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",8,8,8,1,0,1,1,0,0
"99","Ban on Export Credits Coal","USA",2021,"NMBI","Technology Standards","","Ban on Export Credits Coal","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",8,8,8,1,0,1,1,0,0
"100","Ban on Financing Fossil Fuels Abroad","AUS",2021,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",6,6,6,1,0,1,1,0,0
"101","Ban on Financing Fossil Fuels Abroad","BEL",2021,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",6,6,6,1,0,1,1,0,0
"102","Ban on Financing Fossil Fuels Abroad","CAN",2021,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",6,6,6,1,0,1,1,0,0
"103","Ban on Financing Fossil Fuels Abroad","CAN",2022,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",9,3,9,0,0,1,0,0,0
"104","Ban on Financing Fossil Fuels Abroad","CHE",2021,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",6,6,6,1,0,1,1,0,0
"105","Ban on Financing Fossil Fuels Abroad","CHN",2021,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",6,6,6,1,0,1,1,0,0
"106","Ban on Financing Fossil Fuels Abroad","DEU",2021,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",6,6,6,1,0,1,1,0,0
"107","Ban on Financing Fossil Fuels Abroad","DNK",2021,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",6,6,6,1,0,1,1,0,0
"108","Ban on Financing Fossil Fuels Abroad","DNK",2022,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",9,3,9,0,0,1,0,0,0
"109","Ban on Financing Fossil Fuels Abroad","ESP",2021,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",6,6,6,1,0,1,1,0,0
"110","Ban on Financing Fossil Fuels Abroad","FIN",2021,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",6,6,6,1,0,1,1,0,0
"111","Ban on Financing Fossil Fuels Abroad","FRA",2021,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",6,6,6,1,0,1,1,0,0
"112","Ban on Financing Fossil Fuels Abroad","GBR",2021,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",10,10,10,1,0,1,1,0,0
"113","Ban on Financing Fossil Fuels Abroad","IND",2021,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",6,6,6,1,0,1,1,0,0
"114","Ban on Financing Fossil Fuels Abroad","ITA",2021,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",6,6,6,1,0,1,1,0,0
"115","Ban on Financing Fossil Fuels Abroad","JPN",2021,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",6,6,6,1,0,1,1,0,0
"116","Ban on Financing Fossil Fuels Abroad","KOR",2021,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",6,6,6,1,0,1,1,0,0
"117","Ban on Financing Fossil Fuels Abroad","NLD",2021,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",6,6,6,1,0,1,1,0,0
"118","Ban on Financing Fossil Fuels Abroad","RUS",2021,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","slow_increase","positive","International",6,6,6,1,0,1,1,0,0
"119","Ban on Financing Fossil Fuels Abroad","SWE",2021,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",6,6,6,1,0,1,1,0,0
"120","Ban on Financing Fossil Fuels Abroad","SWE",2022,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",9,3,9,0,0,1,0,0,0
"121","Ban on Financing Fossil Fuels Abroad","USA",2021,"NMBI","Technology Standards","","Ban on Financing Fossil Fuels Abroad","Ban & phase out","Non-market","Regulation","OECD","jump","positive","International",6,6,6,1,0,1,1,0,0
"122","BanPhaseOutCoal","AUT",2016,"NMBI","Technology Standards","Ban & phase out (coal plants)","Ban & phase out","Ban & phase out","Non-market","Regulation","OECD","jump","positive","Electricity",2,2,2,1,0,1,1,0,0
"123","BanPhaseOutCoal","AUT",2017,"NMBI","Technology Standards","Ban & phase out (coal plants)","Ban & phase out","Ban & phase out","Non-market","Regulation","OECD","jump","positive","Electricity",6,4,6,0,0,1,0,0,0
"124","BanPhaseOutCoal","AUT",2020,"NMBI","Technology Standards","Ban & phase out (coal plants)","Ban & phase out","Ban & phase out","Non-market","Regulation","OECD","jump","positive","Electricity",8,2,2,0,0,1,1,0,0
"125","BanPhaseOutCoal","AUT",2022,"NMBI","Technology Standards","Ban & phase out (coal plants)","Ban & phase out","Ban & phase out","Non-market","Regulation","OECD","jump","negative","Electricity",6,-2,-2,0,0,0,0,1,1
"126","BanPhaseOutCoal","BEL",2016,"NMBI","Technology Standards","Ban & phase out (coal plants)","Ban & phase out","Ban & phase out","Non-market","Regulation","OECD","jump","positive","Electricity",4,4,4,1,0,1,1,0,0
"127","BanPhaseOutCoal","BEL",2017,"NMBI","Technology Standards","Ban & phase out (coal plants)","Ban & phase out","Ban & phase out","Non-market","Regulation","OECD","jump","positive","Electricity",8,4,8,0,0,1,0,0,0
"128","BanPhaseOutCoal","CAN",2016,"NMBI","Technology Standards","Ban & phase out (coal plants)","Ban & phase out","Ban & phase out","Non-market","Regulation","OECD","jump","positive","Electricity",1,1,1,1,0,0,0,0,0
"129","BanPhaseOutCoal","CAN",2017,"NMBI","Technology Standards","Ban & phase out (coal plants)","Ban & phase out","Ban & phase out","Non-market","Regulation","OECD","jump","positive","Electricity",5,4,5,0,0,1,0,0,0
"130","BanPhaseOutCoal","CHE",2017,"NMBI","Technology Standards","Ban & phase out (coal plants)","Ban & phase out","Ban & phase out","Non-market","Regulation","OECD","jump","positive","Electricity",4,4,4,1,0,1,1,0,0
"131","BanPhaseOutCoal","DEU",2019,"NMBI","Technology Standards","Ban & phase out (coal plants)","Ban & phase out","Ban & phase out","Non-market","Regulation","OECD","jump","positive","Electricity",4,4,4,1,0,1,1,0,0
"132","BanPhaseOutCoal","DNK",2017,"NMBI","Technology Standards","Ban & phase out (coal plants)","Ban & phase out","Ban & phase out","Non-market","Regulation","OECD","jump","positive","Electricity",5,5,5,1,0,1,1,0,0
"133","BanPhaseOutCoal","ESP",2018,"NMBI","Technology Standards","Ban & phase out (coal plants)","Ban & phase out","Ban & phase out","Non-market","Regulation","OECD","jump","positive","Electricity",1,1,1,1,0,0,0,0,0
"134","BanPhaseOutCoal","ESP",2021,"NMBI","Technology Standards","Ban & phase out (coal plants)","Ban & phase out","Ban & phase out","Non-market","Regulation","OECD","jump","positive","Electricity",3,2,2,0,0,1,1,0,0
"135","BanPhaseOutCoal","FIN",2016,"NMBI","Technology Standards","Ban & phase out (coal plants)","Ban & phase out","Ban & phase out","Non-market","Regulation","OECD","jump","positive","Electricity",1,1,1,1,0,0,0,0,0
"136","BanPhaseOutCoal","FIN",2017,"NMBI","Technology Standards","Ban & phase out (coal plants)","Ban & phase out","Ban & phase out","Non-market","Regulation","OECD","jump","positive","Electricity",5,4,5,0,0,1,0,0,0
"137","BanPhaseOutCoal","FRA",2016,"NMBI","Technology Standards","Ban & phase out (coal plants)","Ban & phase out","Ban & phase out","Non-market","Regulation","OECD","jump","positive","Electricity",2,2,2,1,0,1,1,0,0
