Policy,URL,Description,Source,Last updated,Learn more,Topics,Policy types,Sectors,Technologies,End uses,Country,Year,Status,Jurisdiction,country_code
Fourth supplementary 2020 budget - Support for Maritime Transport,https://www.iea.org/policies/12386-fourth-supplementary-2020-budget-support-for-maritime-transport,"The Finnish government will provide funding to relieve strained shipping companies due to the  Covid-19 crisis with a budget of EUR 20.75  million. Companies receiving funding may be asked to provide environmental impact information to promote low-emission operations. The budget will also be disbursed to support innovative and advanced vessel or offshore solutions, while facilitating market entry for new innovations.",IEA/IRENA Renewables Policies Database,17 March 2022,https://valtioneuvosto.fi/en/-/10616/hallitus-paatti-vuoden-2020-neljannesta-lisatalousarvioesityksesta,Technology R&D and innovation|Renewable Energy,"Regulation|Payments, finance and taxation|Performance-based policies|Finance",Transport|Water transport,Undefined,Undefined,Finland,2020,In force,National,FIN
Funding for RDD in electric and alternative fuel vehicles,https://www.iea.org/policies/12411-funding-for-rdd-in-electric-and-alternative-fuel-vehicles,"The federal government announced of over CAD 1.7 million to the CSA Group, a Toronto-based organization that develops standards to address emerging technologies and issues in the public and private sectors.  The funding will support a project to research, develop, adapt and update codes and standards for electric and alternative fuel vehicles and infrastructure. Federal funding is provided through Natural Resources Canada’s Green Infrastructure Program, which aims to accelerate the market entry of next-generation clean energy infrastructure in Canada.",Undefined,13 July 2021,https://www.canada.ca/en/natural-resources-canada/news/2020/09/investing-in-canadas-zero-emission-vehicle-sector.html,Energy Efficiency|Technology R&D and innovation,Payments|finance and taxation,Transport|Road transport,Road vehicles|Drive train or engine|Internal combustion engine (ICE)|Battery electric|Transport technologies|Fuel cell|Biofuel|Vehicle type,Undefined,Canada,2020,In force,National,CAN
Green car - co-financing the purchase of an electric passenger car,https://www.iea.org/policies/14358-green-car-co-financing-the-purchase-of-an-electric-passenger-car,The objective of the scheme is to support the purchase of electric vehicles for private use. PLN 37.5 million will be allocated to this programme.  Grants are limited to 15% of the eligible costs (< PLN 125 thousand). The budget of this new programme is expected to allow the co-financing of two thousand electric cars.,Undefined,23 November 2022,https://www.gov.pl/web/nfosigw/zielony-samochod---dofinansowanie-zakupu-elektrycznego-samochodu-osobowego-m1,Electrification,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,Battery electric|Transport technologies,Undefined,Poland,2020,In force,National,POL
Green mobility bonus,https://www.iea.org/policies/11499-green-mobility-bonus,"A green mobility bonus was introduced under the Relaunch Decree (Decree-Law 19 May 2020, n. 34, article 229), for the purchase of bicycles, electric bicycles, and small electric mobility vehicles (Segway, monowheel, scooters, etc.).The subsidy entails a fiscal bonus worth 60% of the price, for up to EUR 500. Private citizens living in medium and large cities (>50 000 inhabitants) are eligible. The measure was valid from 4 May 2020 to 31 December 2021.",Undefined,8 March 2022,https://www.gazzettaufficiale.it/eli/id/2020/05/19/20G00052/sg,Energy Efficiency|Electrification,"Payments, finance and taxation|Taxes, fees and charges|Tax credits and exemptions",Transport|Road transport,Undefined,Undefined,Italy,2020,Ended,National,ITA
Infrastructure projects in the energy and water economies: 6. Alternative Propulsion for Transportation,https://www.iea.org/policies/12840-infrastructure-projects-in-the-energy-and-water-economies-6-alternative-propulsion-for-transportation,"In response to the Covid-19 crisis, Israel's Ministry of Energy has identified 10 project areas to accelerate investment and support the economic recovery through ILS 25 billion of investment. Among these policies, the sixth identified project area is to invest ILS 180 million in alternative propulsion for transportation whether through electric vehicles or through the development of additional clean fuel substitutes. This is expected to lead to a private investment of at least an additional ILS 180 million.",IEA/IRENA Renewables Policies Database,4 April 2022,https://www.gov.il/BlobFolder/reports/economic_growth/en/economic_growth_en.pdf,Technology R&D and innovation|Renewable Energy,"Payments, finance and taxation|Targets, plans and framework legislation",Buildings|Transport,Drive train or engine|Battery electric|Transport technologies|Electric charging infrastructure|Liquid and gas products refuelling (incl. biofuels)|Refuelling and charging infrastructure,Undefined,Israel,2020,In force,National,ISR
National Budget 2021 - Electric vehicles and fuel cell vehicles,https://www.iea.org/policies/12790-national-budget-2021-electric-vehicles-and-fuel-cell-vehicles,"Japan's Ministry of Environment is working on decarbonisation of lifestyles, especially in mobility, by subsidising electrified vehicles such as electric vehicles and fuel cell vehicles, storage batteries, promoting preferential treatments such as introducing charging and discharging facilities, and providing free parking slots for electric vehicles. The program provides subsidies to individuals, private businesses (small and medium-sized enterprises), local governments, and other entities that purchase electric vehicles, plug-in hybrid vehicles, and fuel cell vehicles, with the requirement that they procure 100% renewable electricity for their homes and offices.The amendment will increase the former subsidy of JPY 400,000 for the purchase of an EV to JPY 600,000 for a set of EV and charging/discharging equipment, and JPY 800,000 when the buyer's home or office is supplied with 100% renewable electricity.",IEA/IRENA Renewables Policies Database,5 April 2022,https://www.env.go.jp/guide/budget/r02/r02-hos_03-gaiyo/001.pdf,Electrification|Renewable Energy,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,Drive train or engine|Battery electric|Hybrid|Transport technologies|Fuel cell,Undefined,Japan,2020,In force,National,JPN
National Hydrogen Strategy,https://www.iea.org/policies/12113-national-hydrogen-strategy,"The Advancing Hydrogen Fund announced its National Hydrogen Strategy, using existing Clean Energy Finance Corporation (CEFC) funds to provide up to AUD 300 million for the growth of a clean, innovative, safe and competitive Australian hydrogen industry.      In line with the CEFC Act, projects seeking CEFC finance through the Advancing Hydrogen Fund are required to be commercial, draw on renewable energy, energy efficiency and/or low emissions technologies and contribute to emissions reduction. Eligible projects can include those which advance hydrogen production; develop export and domestic hydrogen supply chains, including hydrogen export industry infrastructure, establish hydrogen hubs and assist in building domestic demand for hydrogen. June 2021 update: The Clean Energy Finance Corporation (CEFC) makes the first hydrogen-related investment financing Hysata, a company working on the commercialization of innovative electrolyser production technology. CEFC invests AUD 750,000. November 2021 update: CEFC and the Australian Renewable Energy Agency (ARENA) are co-financing a new project supported by the government: a green hydrogen project in Townsville (North Queensland) to develop clean hydrogen-powered trucks.The government is committing AUD 15.5 million, of which:- AUD 12.5 million from the CEFC to construct a 1 MW electrolyser and to buy new trucks;- AUD 3.02 million from ARENA, to be received once the refuelling facility is commissioned and five trucks are delivered, in December 2022.",Undefined,4 April 2022,https://www.cefc.com.au/where-we-invest/renewable-energy/hydrogen/,Technology R&D and innovation,"Payments, finance and taxation|Grants",Transport|Hydrogen production|Hydrogen production and supply|Hydrogen transportation|Hydrogen storage,Fuel cells|Fuel cell|Hydrogen refuelling stations|Alkaline electrolysers|Direct reduced iron (incl. hydrogen-based)|Hydrogen|Hydrogen and CO/CO2-based chemicals|Hydrogen and other alternative fuels|Hydrogen electrolysis technologies|Hyrogen fuel cells|PEM electrolysers|SOEC electrolysers|Synthetic fuel production,Undefined,Australia,2020,In force,National,AUS
National Infrastructure Bank Growth Support,https://www.iea.org/policies/12660-national-infrastructure-bank-growth-support,"Canada's Infrastructure Bank will implement a CAD 10 billion investment plan in major infrastructure initiatives to create jobs and strengthen economic growth. The Growth Plan, which will develop over the next 24 to 36 months, is expected to create 60 000 jobs, with a special focus on low-carbon economy.  - CAD 2.5 billion will be allocated to develop clean power generation, transmission, and storage over the next three years, with a medium term projection to spend  CAD 5 million.  - CAD 1.5 billion will be allocated for zero-emission buses. To overcome the financial barriers affecting this sector, the CIB will focus on providing adequate capital to transit authorities, municipalities, and school bus operators. 5000 zero-emission buses are expected within the next five years;  - CAD 2 billion for energy efficient buildings retrofits, working with large private and public sector real estate owners to modernise buildings. Energy to heat and cool buildings accounts for about 12% of Canada's GHG emissions.  - CAD 500 million will be allocated to project acceleration (e.g. Algoma Steel's action plan)",IEA/IRENA Renewables Policies Database,7 October 2021,https://cib-bic.ca/wp-content/uploads/2020/10/Canada-Infrastructure-Banks-Growth-Plan-Backgrounder-1.pdf,Electrification|Renewable Energy,"Strategic plans|Payments, finance and taxation|Funds to sub-national governments|Investment in assets|Payments and transfers|Framework legislation|Targets, plans and framework legislation|Major infrastructure plan|Finance","Buildings|Transport|Power, Heat and Utilities|Power generation|Power transmission and distribution|Existing buildings and retrofits|Mass road transit|Electricity and heat generation",Buses and coaches|Building envelope technologies|Transport technologies|Electricity generation and CHP technologies|Energy storage technologies|Power transformation and distribution technologies,Undefined,Canada,2020,In force,National,CAN
Neistart Lëtzebuerg - Subsidies to develop EV chargers,https://www.iea.org/policies/11533-neistart-letzebuerg-subsidies-to-develop-ev-chargers,"In the context of the Covid-19 pandemic, the government of Luxembourg decided to unveil a recovery package of more than EUR 700-800 million in May 2020, axing part of the measures towards sustainability.  Among them, and alongside the establishment of a network of public charging stations ""Chargy"" and rapid charging stations ""Fast Chargy"", the government will put in place a support scheme for the installation of private charging stations, powered by green energy. A draft regulation introducing this support scheme was adopted by the Governing Council on 1st July 2020.",Undefined,20 July 2021,https://gouvernement.lu/fr/actualites/toutes_actualites/communiques/2020/05-mai/20-neistart-relance.html,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport,Transport technologies|Electric charging infrastructure|Private chargers|Refuelling and charging infrastructure,Undefined,Luxembourg,2020,In force,National,LUX
Ottawa and Quebec Invest in Clean Technology for Quebec’s Mining Industry,https://www.iea.org/policies/12641-ottawa-and-quebec-invest-in-clean-technology-for-quebecs-mining-industry,"In November 2020, the governments of Canada and Québec announced a contribution of nearly $3.6 million for Propulsion Québec, Québec’s industrial cluster for electric and smart transportation, to help innovation in Canada’s mining industry.  This investment will support the design and development of an electric propulsion system for a 40-ton mining truck, along with a battery solution technology and a fast-charging infrastructure adapted to mining operations. The project has the potential to eliminate the burning of more than 80,000 litres of diesel annually per vehicle, eliminating more than 220 tons of greenhouse gas (GHG) emissions. The solutions developed will be tested and validated in real-world conditions in a quarry in Val-d'Or as well as in the facilities of the Nouveau Monde Graphite mine in Saint-Michel-des-Saints, a forward-looking mining company planning to build Canada’s first all-electric open-pit mine. The project brings together co-founding partners Propulsion Québec, the Innovative Vehicle Institute (IVI) and the National Research Council of Canada (NRC), in collaboration with Adria Power Systems, Dana TM4, Fournier & Fils and Nouveau Monde Graphite.",Undefined,17 November 2022,https://www.canada.ca/en/natural-resources-canada/news/2020/11/ottawa-and-quebec-invest-in-clean-technology-for-quebecs-mining-industry.html,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport,Drive train or engine|Battery electric|Transport technologies|Electric charging infrastructure|Refuelling and charging infrastructure,Undefined,Canada,2020,In force,State/Provincial,CAN
Package for the future – Mobility,https://www.iea.org/policies/13481-package-for-the-future-mobility,"Germany wants to strengthen mobility while ensuring greater sustainability and climate protection. To this end, the mobility part of the Package for the future will implement the following measures:  - Improve the vehicle tax (Kfz-Steuer für Pkw) for passenger cars in order to steer demand towards lower-emissions or emission-free vehicles. For new registrations since 1 January 2021, the vehicle tax will be based on CO2 emissions per km, and will be higher for vehicles above the 95g CO2/km threshold. The ten-year vehicle tax exemption for the purchase of electric vehicles will be granted and extended until the end of the year 2030.  - Implement an environmental premium to replace old motor vehicle fleet with electric vehicles. The already existing premium will be doubled thanks to the new ""innovation premium"". In addition, the measure on 0.25% taxation of purely electric company cars, the purchase price limit will be increased from €40 000 to €60 000.Budget forecasted: €2.2 billion - Create a bonus programme for 2020 and 2021 for car manufacturers and industry suppliers, to incite innovation thanks to new investments. Research and development for relevant technologies will receive a €1 billion fund in 2020 and 2021. Budget forecasted : €2 billion - Launch the ""Social & Mobile"" programme in 2020 and 2021 to promote electromobility and support non-profit users to convert their vehicle fleet. Budget forecasted: €200 million - Create a temporary fleet replacement programme for craftsmen and SMEs to encourage their transition to electric vehicles.Budget unknown - Develop modern and safe charging points, and expand existing charging point networks and infrastructures to make them more accessible (gas stations, hospitals, sports facilities, etc.)Budget forecasted: €2.5 billion - Continue to support the German railway company Deutsche Bahn to encourage the modernisation, expansion and electrification of the rail network. The Federal Government will contribute 1 billion euros of additional equity to Deutsche Bahn each year from 2020 to 2030. To compensate for the fall in revenues due to the Covid-19 pandemic, €5 billion of additional equity capital will be provided.  - Additional €150 million will be used to improve mobile radio reception along the 39,000 km of railway lines in Germany (conversion to GSM-R).Budget forecasted: €150 million - The ""Bus and Truck Fleet Modernisation Programme"" will promote alternative eco-friendly vehicles (e.g. e-buses). Funding for e-buses and their charging infrastructure will also be increased until the end of the year 2021. Budget forecasted: €1.2 billion  - The German government will demand the EU Commission to set up a temporary Europe-wide fleet renewal programme 2020-21. It will concern heavy-duty commercial vehicles for the purchase of trucks with the latest Euro 6 emissions standard. The government asks for a subsidy of 15,000 euros for the replacement of Euro 5 trucks and 10,000 euros for the replacement of Euro 3 or Euro 4 vehicles. Budget forecasted: unknown - Shipping will be modernised and digitalised as a climate-friendly means of transport. Germany will encourage bank rehabilitation, modernisation of locks, replacement of ships and digital test fields. €1 billion will be provided to structures and innovation programmes such as the Maritime Research Programme, the Shore Power Funding Programme, the ""LNG Refuelling Vessel Funding Programme"", the ""Fleet Renewal Programme for Authority Ships"" and a new ""Clean Ship Immediate Programme"". Budget forecasted: €1 billion - Support to convert aircraft fleets to modern aircraft emitting up to 30% less CO² and noise. Budget forecasted: €1 billion",Undefined,18 March 2022,https://www.bundesfinanzministerium.de/Content/EN/Standardartikel/Topics/Public-Finances/Articles/2020-06-04-fiscal-package.html,Energy Efficiency|Electrification|Technology R&D and innovation,"Strategic plans|Payments, finance and taxation|Taxes, fees and charges|Payments and transfers|Targets|Framework legislation|Targets, plans and framework legislation|Finance",Transport|Road transport|Economy-wide (Multi-sector)|Rail transport|Air transport|Water transport,Undefined,Undefined,Germany,2020,In force,National,DEU
Recovery and resilience plan / Green energies and technologies/ Support plan for the aeronautical sector,https://www.iea.org/policies/12782-recovery-and-resilience-plan-green-energies-and-technologies-support-plan-for-the-aeronautical-sector,"As part of the French stimulus package to support industries heavily affected by the Covid crisis, the government plans to invest 1.82 billion EUR in public aids in the next three years to support research and development and innovation in the aeronautical sector.  With a 300 million EUR budget as of 2020, the investments aim to make France one of the world's most advanced countries in clean aviation technology. Achieving carbon-neutral flights will be done through increasing electrification and developing hydrogen.",IEA/IRENA Renewables Policies Database,18 March 2022,https://www.economie.gouv.fr/plan-soutien-aeronautique,Energy Efficiency|Technology R&D and innovation|Renewable Energy,"Payments, finance and taxation|Targets, plans and framework legislation",Transport,Undefined,Undefined,France,2020,In force,National,FRA
Renewed support for the automotive sector,https://www.iea.org/policies/13974-renewed-support-for-the-automotive-sector,"Germany earmarked 3 billion euros to support the development and production of climate-friendly vehicles as the auto industry grapples with challenges caused by the COVID-19 pandemic.  This support will be allocated to three programmes:  (1) ""Zukunftsfonds Automobilindustrie"" , (2) the extension of the innovation premium, and (3) the support programme for duty vehicles  1 billion euros will be allocated to the ""future fund for automotive industry"" (Zukunftsfonds Automobilindustrie) from 2021 to 2025.  By summer 2021, an expert committee will present recommendations for the allocation of the future fund to address medium and long term challenges of structural change in the automotive industry.  Another 1 billion euros will be allocated to extend a consumer rebate for buying electric cars that had been planned to end next year. Finally, 1 billion euro will be allocated to a fleet renewal scheme for more efficient and environmental-friendly heavy duty vehicles.",Undefined,18 March 2022,https://www.bmwi.de/Redaktion/DE/Dossier/batteriezellfertigung.html,Energy Efficiency|Electrification,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,Drive train or engine|Battery electric|Transport technologies,Undefined,Germany,2020,In force,National,DEU
Scandinavian Airlines Bailout,https://www.iea.org/policies/12330-scandinavian-airlines-bailout,"On 30 June, SAS presented a plan for the recapitalisation of the company and a plan to accelerate its climate action, including the halving of emissions by 2030. The Government has the Riksdag’s mandate to participate in the recapitalisation on behalf of the Swedish State during 2020 to an amount not exceeding SEK 5 billion. The Government supports the plan that has now been put forward and the measures necessary for its realisation.     Conditions for financial support include a decrease in CO2 emissions by 25% by 2025, 50% by 2030.",Undefined,8 July 2021,https://www.government.se/press-releases/2020/07/recapitalisation-of-sas-ab/,Undefined,"Payments, finance and taxation|Payments and transfers|Targets|Targets, plans and framework legislation|Grants",Transport|Air transport,Undefined,Undefined,Sweden,2020,In force,National,SWE
Spain mobility stimulus -  Renovation of the vehicle fleet of the General State Administration with emission-free vehicles,https://www.iea.org/policies/11563-spain-mobility-stimulus-renovation-of-the-vehicle-fleet-of-the-general-state-administration-with-emission-free-vehicles,"As part of Spain's mobility stimulus, the Renovation of the vehicle fleet of the General State Administration with emission-fee vehicles aims to aid in the transition to environmentally friendly vehicles. Under this plan electric or hydrogen powered vehicles could qualify for a 4000 EUR subsidy, and cars under 120 g of CO2 / km would be eligible for 1000 EUR. This is timely due to EU regulations aimed at curbing passenger car emissions came into effect at the end of 2020. Covid 19 at the time was expected to decrease Spain's GDP by 15%, and so aiding the automotive industry was seen as an important initiative.",IEA/IRENA Renewables Policies Database,19 July 2021,https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/transportes/Documents/2020/15062020_PlanAutomocion2.pdf,Energy Efficiency|Renewable Energy,"Payments, finance and taxation|Public procurement|Payments and transfers",Transport|Road transport,Road vehicles|Transport technologies,Undefined,Spain,2020,In force,National,ESP
Spain mobility stimulus - Hydrogen renewable research,https://www.iea.org/policies/11570-spain-mobility-stimulus-hydrogen-renewable-research,"Industrial innovation for renewable H2 for sustainable mobility, includes the development of new technologies and prototypes oriented to new models for the domestic market and the anticipation of market needs from exportation. The programme will be executed using the instrument ""Science and Innovation Missions: Sustainable and Intelligent Mobility"", increasing the endowment and giving priority to the projects that meet the described objective.",IEA/IRENA Renewables Policies Database,19 July 2021,https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/transportes/Documents/2020/15062020_PlanAutomocion2.pdf,Energy Efficiency|Technology R&D and innovation|Renewable Energy,Payments|finance and taxation,Transport|Fuel processing and transformation|Hydrogen production and supply,Drive train or engine|Transport technologies|Fuel cell|Hydrogen electrolysis technologies,Undefined,Spain,2020,In force,National,ESP
