Policy,URL,Description,Source,Last updated,Learn more,Topics,Policy types,Sectors,Technologies,End uses,Country,Year,Status,Jurisdiction,country_code
Green mobility bonus,https://www.iea.org/policies/11499-green-mobility-bonus,"A green mobility bonus was introduced under the Relaunch Decree (Decree-Law 19 May 2020, n. 34, article 229), for the purchase of bicycles, electric bicycles, and small electric mobility vehicles (Segway, monowheel, scooters, etc.).The subsidy entails a fiscal bonus worth 60% of the price, for up to EUR 500. Private citizens living in medium and large cities (>50 000 inhabitants) are eligible. The measure was valid from 4 May 2020 to 31 December 2021.",Undefined,8 March 2022,https://www.gazzettaufficiale.it/eli/id/2020/05/19/20G00052/sg,Energy Efficiency|Electrification,"Payments, finance and taxation|Taxes, fees and charges|Tax credits and exemptions",Transport|Road transport,Undefined,Undefined,Italy,2020,Ended,National,ITA
Koliber Pilot Programme,https://www.iea.org/policies/14360-koliber-pilot-programme,"PLN 40 million were allocated to this programme to support the purchase/leasing of a thousand electric taxis (category M1) and a thousand wall box household chargers.  Applicants may apply for a grant of up to 20% of the eligible costs (maximum PLN 25 thousand, with the maximum eligible cost of purchasing and installing a charging point PLN 150 thousand) or a loan.",Undefined,23 November 2022,https://www.gov.pl/web/nfosigw/koliber--taxi-dobre-dla-klimatu--pilotaz,Electrification,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,Drive train or engine|Battery electric|Transport technologies,Undefined,Poland,2020,In force,National,POL
National Budget 2021 - Electric vehicles and fuel cell vehicles,https://www.iea.org/policies/12790-national-budget-2021-electric-vehicles-and-fuel-cell-vehicles,"Japan's Ministry of Environment is working on decarbonisation of lifestyles, especially in mobility, by subsidising electrified vehicles such as electric vehicles and fuel cell vehicles, storage batteries, promoting preferential treatments such as introducing charging and discharging facilities, and providing free parking slots for electric vehicles. The program provides subsidies to individuals, private businesses (small and medium-sized enterprises), local governments, and other entities that purchase electric vehicles, plug-in hybrid vehicles, and fuel cell vehicles, with the requirement that they procure 100% renewable electricity for their homes and offices.The amendment will increase the former subsidy of JPY 400,000 for the purchase of an EV to JPY 600,000 for a set of EV and charging/discharging equipment, and JPY 800,000 when the buyer's home or office is supplied with 100% renewable electricity.",IEA/IRENA Renewables Policies Database,5 April 2022,https://www.env.go.jp/guide/budget/r02/r02-hos_03-gaiyo/001.pdf,Electrification|Renewable Energy,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,Drive train or engine|Battery electric|Hybrid|Transport technologies|Fuel cell,Undefined,Japan,2020,In force,National,JPN
Neistart Lëtzebuerg - Cash incentives to buy bicycles & EV,https://www.iea.org/policies/11532-neistart-letzebuerg-cash-incentives-to-buy-bicycles-ev,"In the context of the Covid-19 pandemic, the government of Luxembourg decided to unveil a recovery package of more than EUR 700-800 million in May 2020, axing part of the measures towards sustainability.  Among them, the goverment released cash incentives to buy bicycles & EV, electric motorcycles and cyclomotors, with an increase by 100% of subsidies for all purchases, from 11 May 2020 to the end of 1Q 2021 (with a ceiling of 600 EUR to 1000 EUR).  Incentives for cars and electronic truck will increase by 60% from 5000 EUR to 8000 EUR during the same period.",Undefined,20 July 2021,https://gouvernement.lu/fr/actualites/toutes_actualites/communiques/2020/05-mai/20-neistart-relance.html,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Small and medium cars|Transport technologies|Active transport (incl. with motorised assistance)",Undefined,Luxembourg,2020,In force,National,LUX
Package for the future – Mobility,https://www.iea.org/policies/13481-package-for-the-future-mobility,"Germany wants to strengthen mobility while ensuring greater sustainability and climate protection. To this end, the mobility part of the Package for the future will implement the following measures:  - Improve the vehicle tax (Kfz-Steuer für Pkw) for passenger cars in order to steer demand towards lower-emissions or emission-free vehicles. For new registrations since 1 January 2021, the vehicle tax will be based on CO2 emissions per km, and will be higher for vehicles above the 95g CO2/km threshold. The ten-year vehicle tax exemption for the purchase of electric vehicles will be granted and extended until the end of the year 2030.  - Implement an environmental premium to replace old motor vehicle fleet with electric vehicles. The already existing premium will be doubled thanks to the new ""innovation premium"". In addition, the measure on 0.25% taxation of purely electric company cars, the purchase price limit will be increased from €40 000 to €60 000.Budget forecasted: €2.2 billion - Create a bonus programme for 2020 and 2021 for car manufacturers and industry suppliers, to incite innovation thanks to new investments. Research and development for relevant technologies will receive a €1 billion fund in 2020 and 2021. Budget forecasted : €2 billion - Launch the ""Social & Mobile"" programme in 2020 and 2021 to promote electromobility and support non-profit users to convert their vehicle fleet. Budget forecasted: €200 million - Create a temporary fleet replacement programme for craftsmen and SMEs to encourage their transition to electric vehicles.Budget unknown - Develop modern and safe charging points, and expand existing charging point networks and infrastructures to make them more accessible (gas stations, hospitals, sports facilities, etc.)Budget forecasted: €2.5 billion - Continue to support the German railway company Deutsche Bahn to encourage the modernisation, expansion and electrification of the rail network. The Federal Government will contribute 1 billion euros of additional equity to Deutsche Bahn each year from 2020 to 2030. To compensate for the fall in revenues due to the Covid-19 pandemic, €5 billion of additional equity capital will be provided.  - Additional €150 million will be used to improve mobile radio reception along the 39,000 km of railway lines in Germany (conversion to GSM-R).Budget forecasted: €150 million - The ""Bus and Truck Fleet Modernisation Programme"" will promote alternative eco-friendly vehicles (e.g. e-buses). Funding for e-buses and their charging infrastructure will also be increased until the end of the year 2021. Budget forecasted: €1.2 billion  - The German government will demand the EU Commission to set up a temporary Europe-wide fleet renewal programme 2020-21. It will concern heavy-duty commercial vehicles for the purchase of trucks with the latest Euro 6 emissions standard. The government asks for a subsidy of 15,000 euros for the replacement of Euro 5 trucks and 10,000 euros for the replacement of Euro 3 or Euro 4 vehicles. Budget forecasted: unknown - Shipping will be modernised and digitalised as a climate-friendly means of transport. Germany will encourage bank rehabilitation, modernisation of locks, replacement of ships and digital test fields. €1 billion will be provided to structures and innovation programmes such as the Maritime Research Programme, the Shore Power Funding Programme, the ""LNG Refuelling Vessel Funding Programme"", the ""Fleet Renewal Programme for Authority Ships"" and a new ""Clean Ship Immediate Programme"". Budget forecasted: €1 billion - Support to convert aircraft fleets to modern aircraft emitting up to 30% less CO² and noise. Budget forecasted: €1 billion",Undefined,18 March 2022,https://www.bundesfinanzministerium.de/Content/EN/Standardartikel/Topics/Public-Finances/Articles/2020-06-04-fiscal-package.html,Energy Efficiency|Electrification|Technology R&D and innovation,"Strategic plans|Payments, finance and taxation|Taxes, fees and charges|Payments and transfers|Targets|Framework legislation|Targets, plans and framework legislation|Finance",Transport|Road transport|Economy-wide (Multi-sector)|Rail transport|Air transport|Water transport,Undefined,Undefined,Germany,2020,In force,National,DEU
Programme for Climate Change - Sustainable Transport,https://www.iea.org/policies/12742-programme-for-climate-change-sustainable-transport,"The Programme for Climate Change encourages sustainable transport under several policies, including investment support for the installation of biogas plants to encourage the production of biomethane and include it in the transport sector. A number of subsidies are included, such as 1000 EUR for scrapping an old vehicle and buying a less polluting one. Additionally, a subsidy of 4000 EUR will be granted for individuals who purchase a new electric car and 2000 EUR for second-hand vehicles. Subsidies will also be given to businesses which build alternative fuels infrastructure stations and vehicle purchase.",IEA/IRENA Renewables Policies Database,19 July 2021,https://www.apva.lt/investicine-parama-biometano-duju-gamybai-ir-ar-bioduju-valymo-irenginiams-irengti/,Energy Efficiency|Renewable Energy,"Strategic plans|Payments, finance and taxation|Payments and transfers|Framework legislation|Targets, plans and framework legislation|Grants",Transport,Undefined,Undefined,Lithuania,2020,In force,National,LTU
Recovery and resilience plan / Green mobility and infrastructure/ Electric Vehicles,https://www.iea.org/policies/13415-recovery-and-resilience-plan-green-mobility-and-infrastructure-electric-vehicles,"As part of the French Resilience and Recovery plan, the French government allocated specific measures in order to foster green mobility. Among them, EUR 1.9 billion will be allocated from 2020 to 2022 in addition to previous expected budgets, to support the purchase of clean vehicles (bonus, PAC, recharge). It includes: new standards for polluting emissions, bonuses to convert light vehicles and heavy vehicles to electricity and hydrogen (up to EUR 7,000);Update 29 June 2022: The ecological bonus of EUR 6 000 for acquiring EVs, the EUR 1 000 bonus for plug-in hybrids, and the EUR 5 000 bonus for conversion are extended 6 months until 31 December 2022 are extended 6 months until 31 December 2022an increased usage of recharging stations for EVs, with the goal of receiving 100 000 station by the end 2021.EUR 180m will also be devoted to the replacement of vehicles belonging to the State only with electric or plug-in hybrid electric vehicles. This measure is articulated with the installation of charging points.",Undefined,19 July 2022,https://www.economie.gouv.fr/plan-de-relance/infrastructures-mobilites-vertes,Energy Efficiency|Electrification,"Payments, finance and taxation|Public procurement|Payments and transfers|Grants",Transport|Road transport,Drive train or engine|Battery electric|Hybrid|Transport technologies,Undefined,France,2020,In force,National,FRA
Recovery and resilience plan / Green mobility and infrastructure/ Heavy Vehicles,https://www.iea.org/policies/13417-recovery-and-resilience-plan-green-mobility-and-infrastructure-heavy-vehicles,"As part of the French Resilience and Recovery plan, the French government allocated specific measures in order to foster green mobility.  EUR 100 million will be dedicated to support heavy industrial vehicles (truck, bus, car) to switch from fossil fuels to electricity generation or hydrogen. The grant for the purchase of clean vehicles can range from EUR 30 000 for the purchase of buses to EUR 50 000 for the purchase of trucks, built up within the next two years.  From the Finance law 2021, there will also be stricter guidelines on CO2 emissions tied to registering, to encourage progressive environmental measures.  Special taxes on road vehicles and company vehicles ""taxe à l'essieu"" will be implemented in 2021.",Undefined,5 April 2022,https://www.economie.gouv.fr/plan-de-relance/infrastructures-mobilites-vertes,Electrification,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Passenger transport (Road)|Mass road transit|Freight transport (Road),Road vehicles|Heavy trucks|Buses and coaches|Drive train or engine|Internal combustion engine (ICE)|Battery electric|Transport technologies|Hydrogen and other alternative fuels|Vehicle type,Undefined,France,2020,In force,National,FRA
Regulation 65/2020 on the Conversion of Gasoline Motorcycles into Battery-Based Electric Motorcycles,https://www.iea.org/policies/16916-regulation-652020-on-the-conversion-of-gasoline-motorcycles-into-battery-based-electric-motorcycles,This regulation legalises the conversion of ICE motorcycles to electric in public repair shops that are authorised by the government. Regulation on conversion of ICE cars to electric cars (as well as for bus) is still planned to be enacted.,Undefined,5 December 2022,"https://peraturan.bpk.go.id/Home/Details/169075/permenhub-no-65-tahun-2020#:~:text=Permenhub%20No.%2065%20Tahun%202020,Berbasis%20Baterai%20%5BJDIH%20BPK%20RI%5D&text=BN.2020%2FNo.1124,go.id%20%3A%2018%20hlm.",Electrification,"Regulation|Payments, finance and taxation|Prescriptive requirements and standards",Transport|Road transport,Drive train or engine|Internal combustion engine (ICE)|Battery electric|Transport technologies,Undefined,Indonesia,2020,In force,National,IDN
Spain mobility stimulus - Program to promote electric and sustainable mobility (MOVES Plan),https://www.iea.org/policies/11564-spain-mobility-stimulus-program-to-promote-electric-and-sustainable-mobility-moves-plan,"As part of the mobility stimulus, Spain enacted a program to promote electric and sustainable mobility (MOVES Plan). The program will facilitate the continuity of investments in sustainable mobility, electrification of the vehicle fleet, deployment of charging infrastructure, and adapting value chains to cover the demand for electric and sustainable mobility. This plan is oriented in four actions:     1. Acquisition of alternative energy vehicles including electric vehicles and vehicles of heavy goods transport with natural gas2. Deployment of electric vehicle charging infrastructure, with a special incidence in job creation and the use of the industrial value chain. 3. Shared electric bicycle systems, intended for public use municipalities or metropolitan areas, or private uses in the field of companies, industrial estates, etc.  4. Measures for efficient mobility to work centres Every million euros destined to the MOVES plan is expected to involve the generation of between 3.6 and 4.1 million euros from the private sector. This program is endowed with 100 million euros, and its management will be carried out jointly with the Autonomous Communities in accordance with their powers. Update 9 April 2021: Under Spain's resilience and recovery plan submitted to the EU, Spain would allocate a budget of 400 million EUR for MOVES programme and 7000 EUR subsidy for the purchase of electric vehicles. The Programme includes subsidies for the purchase of electric vehicles (up to 7000 EUR), electric motorcycles (up to 1300 EUR) and electric vans (up to 9000 EUR). Scrapping old vehicles will be needed to access the full incentive. The plan will contribute to reach the goal of 100 000 charging points and 250 000 electric vehicles by 2023.  As of 7 October 2021, the Spanish government approved the EU RRP budget of 27,633 million EUR, whereby 40% of the resources would be used for the energy sector, of which 445 million EUR will be dedicated to the promotion of electric vehicles. As of 7 April 2022, the government allocated an additional budget of 125 million EUR from the Incentive Program for Efficient and Sustainable Mobility (MOVES III) to promote electric mobility in Catalonia, the Community of Madrid, Castilla y León and the Balearic Islands. These regions are the first to have committed the funds they originally received and have requested an extension.",IEA/IRENA Renewables Policies Database,25 April 2022,https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/transportes/Documents/2020/15062020_PlanAutomocion2.pdf,Energy Efficiency|Renewable Energy,"Information and education|Payments, finance and taxation|Investment in assets|Awards|Finance|Equity",Transport,Transport technologies,Undefined,Spain,2020,In force,National,ESP
Spain mobility stimulus - Vehicle Park renovation program (and car scrappage for efficient replacements),https://www.iea.org/policies/11565-spain-mobility-stimulus-vehicle-park-renovation-program-and-car-scrappage-for-efficient-replacements,"This measure aims to replace older vehicles with older models that are cleaner and safer, through a renovation program that incorporates environmental criteria. Applying the criterion of technological neutrality, this program encourages the replacement of polluting vehicles in circulation by zero or low emission vehicles. This program establishes an upper price limit for passenger cars of €35,000 (€45,000 in people with reduced mobility or vehicles with a “ZERO” label). In the case of passenger cars, the scrapping of a vehicle of at least 10 years old is compulsory, and the vehicle to be purchased must have an A or B energy label (45% more efficient supply) and emissions below 120 gCO2/km. Aid will vary depending on vehicle emissions, prioritizing the most efficient ones, and there will be additional aid for scrapping of vehicles over 20 years, beneficiaries with reduced mobility or those that belong to households with monthly income of less than 1,500 euros.",Undefined,19 July 2021,https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/transportes/Documents/2020/15062020_PlanAutomocion2.pdf,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road),Road vehicles|Commercial vehicles|Transport technologies,Undefined,Spain,2020,Ended,National,ESP
Subsidy Scheme for Electric Passenger Cars,https://www.iea.org/policies/11535-subsidy-scheme-for-electric-passenger-cars,"The Subsidy Scheme for Electric Passenger Cars is intended to incentivize new and used electric vehicle purchases. Purchase or lease agreements of these cars on or after June 4, 2020 are eligible for subsidy. Cars must be 100% electric, of at least 120 km, and the car must be produced as an electric passenger car and not converted into an electric car. For 2020 and 2021, the subsidy amounts for electric passenger cars are 2000 EUR for used electric passenger cars, and 4000 EUR for new electric passenger cars. Budget is spread over the period from 2020 to 2025, the total available budget is 252 million EUR (152 million for new electric passenger cars, and 100 million for used ones).",Undefined,23 March 2022,https://www.rvo.nl/subsidie-en-financieringswijzer/subsidieregeling-elektrische-personenauto%E2%80%99s-particulieren-sepp,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road),Road vehicles|Small and medium cars|Transport technologies,Undefined,Netherlands,2020,In force,National,NLD
Subsidy for industrial development of e-vehicles and for their purchases,https://www.iea.org/policies/11588-subsidy-for-industrial-development-of-e-vehicles-and-for-their-purchases,"The government intends to allocate PLN 70 million to enterprises in the area of developing the production of components, accompanying services and charging infrastructure for electric and hydrogen vehicles. Co-financing is to cover 300 companies introducing the so-called ""new product"". This program will be implemented in 2020-2025 and can be regarded as a supplement for National Plan of Electromobility Development, with a total value PLN 150 million.  Green car: assisting in purchasing electric vehicles for private use, purchase price of the vehicle must not exceed PLN 125,000, expected to finance the purchase of two thousand electric vehicles (total budget: PLN 37.5 million)  eVan programme: PLN 70 million to be directed towards business owners who have decided to purchase electric vehicles; expected to optimise purchase targets towards 1000 eVan. The subsidy cannot exceed 30% of the value and PLN 70 000.  Hummingbird: PLN 40 million allocated for the programme to support the purchase/leasing of 1000 electric taxes (M1 category)",IEA/IRENA Renewables Policies Database,23 March 2022,https://www.gov.pl/web/climate/the-national-fund-for-environmental-protection-and-water-management-will-co-finance-the-purchase-of-electric-vehicles,Energy Efficiency|Renewable Energy,"Codes and standards|Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,Road vehicles|Commercial vehicles|Transport technologies,Undefined,Poland,2020,In force,National,POL
Sustainable Transport - Motor vehicle tax for CO2 emitting vehicles; tax exemption for EV,https://www.iea.org/policies/11551-sustainable-transport-motor-vehicle-tax-for-co2-emitting-vehicles-tax-exemption-for-ev,"The motor vehicle tax will apply to new registrations from January 1, 2021.  This measure is more oriented towards CO2 emissions. Tax rates of 2 to 4 euros per gram per kilometre (km) are planned for first registrations, which should apply in the range of more than 95 to 195 grams of CO2 per km. This measure also strengthens electromobility, with a ten-year tax exemption (until 2030) for all electric vehicles registered in the next five years. In order to relieve the financial burden on small and medium-sized businesses, a burdensome special regulation will be abolished for certain light commercial vehicles up to 3.5 tons.",Undefined,28 October 2021,https://www.cdu.de/system/tdf/media/dokumente/2020_06_03_koalitionsausschuss.pdf?file=1&type=field_collection_item&id=20972,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Tax credits and exemptions",Transport|Road transport|Passenger transport (Road),Road vehicles|Transport technologies,Undefined,Germany,2020,In force,National,DEU
