index,country_code,Policy type,Sector,Policy,Description,Year/Date of decision,Source,cos_dup
11,FRA,Financial support,Transport,EV Infrastructure Charging Program (ADVENIR),"In 2016, the ADVENIR program was launched to allow the financing of private charging infrastructure in company car parks and in apartment buildings. The principle is to oblige the energy companies to finance energy savings by obtaining a certificate. These companies can carry out the energy saving measures themselves, purchase certificates from the non-obligated ones, or pay a surtax to the State. The initiative complements the 30 % tax credit on the acquisition of charging systems for individuals. It also complements the ADEME financing scheme targeting the installation of charging stations open to the public. As part of its renewal (Arrêté of February 8, 2018), in March 2018, the ADVENIR program aims to install 13,700 new charging points, including 3,000 installed on public roads, in order to support the deployment of local authorities' charging networks.",2016,IEA,NA
12,GBR,Financial support,Transport,ULEV delivery plan,"Transport for London’s July 2015 ULEV Delivery Plan committed to deliver 300 rapid charge points by 2020, with 150 by 2018, to meet the expected demand from taxis and commercial fleets. The government is supporting this ambition with a total of £12.6m of funding. Many chargepoints will be introduced by Local Authorities and the private market in England or London in the coming years.",2015,IEA,NA
13,EST,Financial support,Transport,EV support policy Estonia,"However, an analysis of the Estonian model shows that without subsidies, few people are prepared to make the change from internal combustion to electric. Estonia ended its financial aid program in August 2014. Until then, the government had subsidized up to half of the car’s price to a maximum of €17,000, putting the cost of Jehe’s Nissan Leaf cost at around €23,000 instead of nearly €40,000.",2014,IEA,NA
14,CHN,Financial support,Transport,Local subsidy funds from vehicle purchase tax revenue.,"The fund has been set up to facilitate the sustainable and continuous development of the transport industry by re-investing revenue from vehicle purchase taxes into local transport projects. Projects covered within the scope of expenditure for vehicle purchase tax funds include:    Key transport projects General road construction projects Distaster recovery and reconstruction projects in provinces Road damage repair and maintenance projects Retirement and renewal projects for old rural ferries Energy conservation and emission reduction projects in the transport sector (low-carbon transport options and technologies) Pilot projects for road transport and transporation  Inland river channel development projects Old car scrapping renewal projects Other transport projects approved by the State Council  For energy conservation projects, the level of subsidies is determined based on the impact of the projects in terms of energy conservation, emission reduction and wider social benefits.",2014,IEA,NA
15,JPN,Financial support,Transport,EVSE support for private sector,"EVSE subsidy for private sectors who invest chargers/stations. In 2013, the Japanese government announced a deal with auto industry leaders, Nissan, Honda, and Mitsubishi, to invest nearly USD 1.025 billion for building user-friendly electric vehicle charging infrastructure in key locations across the country. The partnership witnessed about 800% increase in the number of EV chargers nationwide, from 4,700 chargers in 2013 to 40,000 charging points in 2016. During the same year, the number of electric car charge points in Japan overtook the number of petrol stations, that is, 40,000 charging points in Japan as compared to 34,000 petrol stations. The government’s goal is to have fast charger every 9.3 miles (15 km) or within every 19-mile (30-km) radius. To support BEVs, operators can get subsidies of ¥5 million ($47,000) per charger and up to ¥45 million ($420,000) for construction costs. The subsidy established in 2013 was available from March 19, 2013 to February 27, 2015 http://www.cev-pc.or.jp/hojo/hosei_outline_h24.html. Not all of the budget was spend between 2013-2015, only JPN 30 billion (USD 250 million).And the subsidy established in 2015 was available from March 2, 2015 to December 28, 2015 http://www.cev-pc.or.jp/hojo/hosei_outline_h26.htmlThese subsidies aren’t available now.And after 2016, we provide subsidy scheme in each year. These budgets after 2016 are single-year-budget.The budget for 2016 was 2.5 billion yen.The budget for 2017 was 1.8 billion yen.The budget for 2018 was 1.5 billion yen.The draft budget for 2019 is 1.1 billion yen.",2013,IEA,NA
16,CHN,Financial support,Transport,Hong Kong - Tax Incentives for Environmentally Friendly Commercial Vehicles,"As of 1 April 2008, Hong Kongs Environmental Protection Department (EPD) has implemented an incentive scheme to encourage investment in environmentally friendly commercial vehicles meeting Euro V emission standards for heavy-duty and light-duty diesel vehicles.Owners of such vehicles are offered a reduction in their First Registration Tax (FRT).Under the tax concession scheme commercial vehicles include taxis, light-, medium- and heavy-goods vehicles, public and private light buses, public and private non-franchised buses and special purposes vehicles.The rates of reduction of the FRT for different vehicle classes are as follows:100% for taxis, light buses, non-franchised buses and special purpose vehicles;50% for goods vehicles (except van-type goods vehicles up to 1.9 tonnes permitted gross vehicle weight); and30% for van-type goods vehicles up to 1.9 tonnes permitted gross vehicle weight.The waivers will range from 3.7% of the vehicles market value for taxis to 35% for vans.The tax concessions will also be subject to caps ranging from HKD 8 500 to HKD 78 000 depending on the type of vehicle.The tax reduction can be claimed by authorised vehicle dealers, parallel importers or individuals.8Vehicles will need to be sold with ""Environment-Friendly Commercial Vehicle Certificates"" in order to qualify for the tax waiver.Currently, four models of Toyota vans and three Mercedes-Benz trucks are the only vehicles to receive the certificate. Qualification under the scheme is temporary, as it will be reviewed each year and should requirements be tightened, the vehicle will have to meet the new qualifying standards for the incentive to be received.",2008,IEA,NA
17,CHN,Financial support,Transport,Ethanol Production Subsidies/Tax Reductions,"Since 2002, bioethanol producers in China have benefitted from subsidies, as well as tax reductions or exemptions of VAT or import duties. These reductions and deductions have totalled approximately CNY 190 million, and the Ministry of Finance has provided CNY 2 billion in subsidies to cover losses.The subsidy in 2006 was CNY 1373 per MT of fuel ethanol produced. Starting in 2002, most fuel ethanol produced was grain-based. However, a moratorium on such ethanol plants was imposed as of December 2006 by the NDRC and Ministry of Finance, lasting for a year and a half.The government's policy was to substitute non-grain ethanol for grain ethanol, and not to compete with food requirements.In early 2008, a consultancy undertaken for the NDRC concluded that development ethanol refining capacity based sweet sorghun, cassava and sweet potato in Hubei, Hebei, Jiangsu, Jaingxi and Chongqing was promising. These provinces are now targeted by the NDRC for construction of sweet potato and cassava fuel ethanol plants.A major food organization in China profits from these subsidies and has grown tremendously.China National Cereals, Oils and Foodstuffs Corporation (COFCO), is one of the main companies that handles manufacturing and production in the Chinese ethanol industry.Timeline:1993: COFCO set up its first ethanol plant in Heilongjiang province with annual capacity of 30 000 tonnes and enlarged to 280 000 tonnes per annum.2007: China's first commercialized non-grain based ethanol project plant merged and reconstructed another ethanol plant in Anhui province with a capacity of 320 000 tonnes per annum. A third plant, in Guangxi province, began trial operations in December 2007 and was designed to produce 200 000 tonnes of ethanol per annum using only cassava as its feedstock. 23 July 2010: COFCO founded National Biofuel Research and Development Center in order to accelerate the cellulosic ethanol industrialisation.End of 2013: COFCO had a total ethanol production capacity of 960 000 tonnes accounting for 47 percent of domestic production.",2002,IEA,NA
18,AUS,Financial support,Transport,Australia's CEFC investment in Electric Vehicle smart charging infrastructure,"JET Charge, Australia’s leading specialist in electric vehicle (EV) charging infrastructure, has had a successful close of its Series A capital raise, which included a $3.5 million investment from the Clean Energy Finance Corporation (CEFC).  The $3.5 million CEFC equity investment, through the Clean Energy Innovation Fund, is part of the company’s latest capital raising round, of $4.5 million, which also drew co-investment from industry executives and private investors. The fundraise will support JET Charge in the deployment of smart charging hardware under a services-based model, to help drive down the cost of smart and connected EV charging stations and make them more user friendly for drivers.",2020,IEA,NA
19,COL,Financial support,Transport,Decree 829 of 2020 - Tax incentives for non-conventional renewable energies - streamlined procedure,"With the issuance of Decree 829 of 2020, the National Government facilitates the process of tax incentives defined in Law 1715 of 2014 by delegating the Mining and Energy Planning Unit (UPME) as the unique entity to evaluate and certify projects of non-conventional sources of energy. Companies will thus be able to access the tax benefits in 45 days instead of 3 months.   Through the National Development Plan 2018-2022 and Law 1715 of 2014, the National Government granted tax incentives for projects from Non-Conventional Sources of Energy (income deduction, VAT exclusion, exemption from tariff duties and depreciation accelerated) and energy efficiency (income deduction).      The updated regulations expand the investments that qualify as RES or EE investments, including activities such as plant expansion and process improvements.  The decree also adds required legal studies to the list of activities that are already considered as valid investments. The non-electrical uses of RES are now included within the scope of EE for purposes of the special deduction.",2020,IEA,NA
20,FIN,Financial support,Transport,Fourth supplementary 2020 budget - Support for Maritime Transport,"The Finnish government will provide funding to relieve strained shipping companies due to the  Covid-19 crisis with a budget of EUR 20.75  million. Companies receiving funding may be asked to provide environmental impact information to promote low-emission operations. The budget will also be disbursed to support innovative and advanced vessel or offshore solutions, while facilitating market entry for new innovations.",2020,IEA,NA
21,ITA,Financial support,Transport,Green mobility bonus,"A green mobility bonus was introduced under the Relaunch Decree (Decree-Law 19 May 2020, n. 34, article 229), for the purchase of bicycles, electric bicycles, and small electric mobility vehicles (Segway, monowheel, scooters, etc.).The subsidy entails a fiscal bonus worth 60% of the price, for up to EUR 500. Private citizens living in medium and large cities (>50 000 inhabitants) are eligible. The measure was valid from 4 May 2020 to 31 December 2021.",2020,IEA,NA
22,JPN,Financial support,Transport,National Budget 2021 - Electric vehicles and fuel cell vehicles,"Japan's Ministry of Environment is working on decarbonisation of lifestyles, especially in mobility, by subsidising electrified vehicles such as electric vehicles and fuel cell vehicles, storage batteries, promoting preferential treatments such as introducing charging and discharging facilities, and providing free parking slots for electric vehicles. The program provides subsidies to individuals, private businesses (small and medium-sized enterprises), local governments, and other entities that purchase electric vehicles, plug-in hybrid vehicles, and fuel cell vehicles, with the requirement that they procure 100% renewable electricity for their homes and offices.The amendment will increase the former subsidy of JPY 400,000 for the purchase of an EV to JPY 600,000 for a set of EV and charging/discharging equipment, and JPY 800,000 when the buyer's home or office is supplied with 100% renewable electricity.",2020,IEA,NA
23,CAN,Financial support,Transport,National Infrastructure Bank Growth Support,"Canada's Infrastructure Bank will implement a CAD 10 billion investment plan in major infrastructure initiatives to create jobs and strengthen economic growth. The Growth Plan, which will develop over the next 24 to 36 months, is expected to create 60 000 jobs, with a special focus on low-carbon economy.  - CAD 2.5 billion will be allocated to develop clean power generation, transmission, and storage over the next three years, with a medium term projection to spend  CAD 5 million.  - CAD 1.5 billion will be allocated for zero-emission buses. To overcome the financial barriers affecting this sector, the CIB will focus on providing adequate capital to transit authorities, municipalities, and school bus operators. 5000 zero-emission buses are expected within the next five years;  - CAD 2 billion for energy efficient buildings retrofits, working with large private and public sector real estate owners to modernise buildings. Energy to heat and cool buildings accounts for about 12% of Canada's GHG emissions.  - CAD 500 million will be allocated to project acceleration (e.g. Algoma Steel's action plan)",2020,IEA,NA
24,DEU,Financial support,Transport,Package for the future – Mobility,"Germany wants to strengthen mobility while ensuring greater sustainability and climate protection. To this end, the mobility part of the Package for the future will implement the following measures:  - Improve the vehicle tax (Kfz-Steuer für Pkw) for passenger cars in order to steer demand towards lower-emissions or emission-free vehicles. For new registrations since 1 January 2021, the vehicle tax will be based on CO2 emissions per km, and will be higher for vehicles above the 95g CO2/km threshold. The ten-year vehicle tax exemption for the purchase of electric vehicles will be granted and extended until the end of the year 2030.  - Implement an environmental premium to replace old motor vehicle fleet with electric vehicles. The already existing premium will be doubled thanks to the new ""innovation premium"". In addition, the measure on 0.25% taxation of purely electric company cars, the purchase price limit will be increased from €40 000 to €60 000.Budget forecasted: €2.2 billion - Create a bonus programme for 2020 and 2021 for car manufacturers and industry suppliers, to incite innovation thanks to new investments. Research and development for relevant technologies will receive a €1 billion fund in 2020 and 2021. Budget forecasted : €2 billion - Launch the ""Social & Mobile"" programme in 2020 and 2021 to promote electromobility and support non-profit users to convert their vehicle fleet. Budget forecasted: €200 million - Create a temporary fleet replacement programme for craftsmen and SMEs to encourage their transition to electric vehicles.Budget unknown - Develop modern and safe charging points, and expand existing charging point networks and infrastructures to make them more accessible (gas stations, hospitals, sports facilities, etc.)Budget forecasted: €2.5 billion - Continue to support the German railway company Deutsche Bahn to encourage the modernisation, expansion and electrification of the rail network. The Federal Government will contribute 1 billion euros of additional equity to Deutsche Bahn each year from 2020 to 2030. To compensate for the fall in revenues due to the Covid-19 pandemic, €5 billion of additional equity capital will be provided.  - Additional €150 million will be used to improve mobile radio reception along the 39,000 km of railway lines in Germany (conversion to GSM-R).Budget forecasted: €150 million - The ""Bus and Truck Fleet Modernisation Programme"" will promote alternative eco-friendly vehicles (e.g. e-buses). Funding for e-buses and their charging infrastructure will also be increased until the end of the year 2021. Budget forecasted: €1.2 billion  - The German government will demand the EU Commission to set up a temporary Europe-wide fleet renewal programme 2020-21. It will concern heavy-duty commercial vehicles for the purchase of trucks with the latest Euro 6 emissions standard. The government asks for a subsidy of 15,000 euros for the replacement of Euro 5 trucks and 10,000 euros for the replacement of Euro 3 or Euro 4 vehicles. Budget forecasted: unknown - Shipping will be modernised and digitalised as a climate-friendly means of transport. Germany will encourage bank rehabilitation, modernisation of locks, replacement of ships and digital test fields. €1 billion will be provided to structures and innovation programmes such as the Maritime Research Programme, the Shore Power Funding Programme, the ""LNG Refuelling Vessel Funding Programme"", the ""Fleet Renewal Programme for Authority Ships"" and a new ""Clean Ship Immediate Programme"". Budget forecasted: €1 billion - Support to convert aircraft fleets to modern aircraft emitting up to 30% less CO² and noise. Budget forecasted: €1 billion",2020,IEA,NA
25,DEU,Financial support,Transport,Renewed support for the automotive sector,"Germany earmarked 3 billion euros to support the development and production of climate-friendly vehicles as the auto industry grapples with challenges caused by the COVID-19 pandemic.  This support will be allocated to three programmes:  (1) ""Zukunftsfonds Automobilindustrie"" , (2) the extension of the innovation premium, and (3) the support programme for duty vehicles  1 billion euros will be allocated to the ""future fund for automotive industry"" (Zukunftsfonds Automobilindustrie) from 2021 to 2025.  By summer 2021, an expert committee will present recommendations for the allocation of the future fund to address medium and long term challenges of structural change in the automotive industry.  Another 1 billion euros will be allocated to extend a consumer rebate for buying electric cars that had been planned to end next year. Finally, 1 billion euro will be allocated to a fleet renewal scheme for more efficient and environmental-friendly heavy duty vehicles.",2020,IEA,NA
26,ESP,Financial support,Transport,Spain mobility stimulus -  Renovation of the vehicle fleet of the General State Administration with emission-free vehicles,"As part of Spain's mobility stimulus, the Renovation of the vehicle fleet of the General State Administration with emission-fee vehicles aims to aid in the transition to environmentally friendly vehicles. Under this plan electric or hydrogen powered vehicles could qualify for a 4000 EUR subsidy, and cars under 120 g of CO2 / km would be eligible for 1000 EUR. This is timely due to EU regulations aimed at curbing passenger car emissions came into effect at the end of 2020. Covid 19 at the time was expected to decrease Spain's GDP by 15%, and so aiding the automotive industry was seen as an important initiative.",2020,IEA,NA
27,ESP,Financial support,Transport,Spain mobility stimulus - Program to promote electric and sustainable mobility (MOVES Plan),"As part of the mobility stimulus, Spain enacted a program to promote electric and sustainable mobility (MOVES Plan). The program will facilitate the continuity of investments in sustainable mobility, electrification of the vehicle fleet, deployment of charging infrastructure, and adapting value chains to cover the demand for electric and sustainable mobility. This plan is oriented in four actions:     1. Acquisition of alternative energy vehicles including electric vehicles and vehicles of heavy goods transport with natural gas2. Deployment of electric vehicle charging infrastructure, with a special incidence in job creation and the use of the industrial value chain. 3. Shared electric bicycle systems, intended for public use municipalities or metropolitan areas, or private uses in the field of companies, industrial estates, etc.  4. Measures for efficient mobility to work centres Every million euros destined to the MOVES plan is expected to involve the generation of between 3.6 and 4.1 million euros from the private sector. This program is endowed with 100 million euros, and its management will be carried out jointly with the Autonomous Communities in accordance with their powers. Update 9 April 2021: Under Spain's resilience and recovery plan submitted to the EU, Spain would allocate a budget of 400 million EUR for MOVES programme and 7000 EUR subsidy for the purchase of electric vehicles. The Programme includes subsidies for the purchase of electric vehicles (up to 7000 EUR), electric motorcycles (up to 1300 EUR) and electric vans (up to 9000 EUR). Scrapping old vehicles will be needed to access the full incentive. The plan will contribute to reach the goal of 100 000 charging points and 250 000 electric vehicles by 2023.  As of 7 October 2021, the Spanish government approved the EU RRP budget of 27,633 million EUR, whereby 40% of the resources would be used for the energy sector, of which 445 million EUR will be dedicated to the promotion of electric vehicles. As of 7 April 2022, the government allocated an additional budget of 125 million EUR from the Incentive Program for Efficient and Sustainable Mobility (MOVES III) to promote electric mobility in Catalonia, the Community of Madrid, Castilla y León and the Balearic Islands. These regions are the first to have committed the funds they originally received and have requested an extension.",2020,IEA,NA
28,DEU,Financial support,Transport,Sustainable Transport - Environmental bonus low-emission vehicles,"In the context of the economic stimulus of June 2020, the German government decided to implement several measures to develop a more sustainable transport sector.  Among them, the German government will promote the exchange of the vehicle fleet for climate and environmentally friendly electric vehicles through an environmental bonus. In the existing system, it doubles the federal premiums as a new “innovation premium”. The manufacturer's premium will remain unaffected. This measure is limited up to the 31/12/2021, and is then superseded by an additional budget of EUR 2.5 billion from the German Development and Resilience Plan (DARP) over the 2021-22 period.  In order to accelerate the shift towards zero-emission vehicles, the federal government doubled its share in the buyer’s premium for electric vehicles (new “innovation bonus”) to EUR 2.2 billion.",2020,IEA,NA
29,ITA,Financial support,Transport,Climate decree,"In order to comply with the EU directive 2008/50/EC on air quality, Italy has adopted the ""climate decree"". It contains several different measures aiming at improving air quality, reducing waste and improving soil quality. Measures aimed at increasing urban air quality include: direct subsidies for cities to increase urban vegetation; a grant of 500€ for individuals to scrap inefficient cars or two wheelers that can be used towards the cost of purchase public transport and/or electric bikes; and support to increase the introduction of electric school buses.",2019,IEA,NA
30,AUT,Financial support,Transport,Subsidies for electric vehicles for private persons,"The Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation and Technology in cooperation with the Car Importers Association, Association of Bike Importers and Sports Article Industry are granting a subsidy for the purchase of electric vehicles (BEV, FCEV and PHEV). The application is open to private persons. The program is planned for the years 2019 and 2020.",2019,IEA,NA
31,SWE,Financial support,Transport,Ordinance (2015: 579) on support for promoting sustainable urban environments,"The Government has adopted a national plan for infrastructure for the period 2018–2029. It is a total investment of SEK 700 billion and the largest railway investment in modern times. The plan covers major investments in both new construction and restoration and modernisation of existing infrastructure. The decision also covers significant investments in maritime transport infrastructure and roads. This is made possible due to the Government investing SEK 100 billion more than in the previous plan period. The Government has set aside a total of SEK 12 billion during the plan period for urban environment agreements. This means that central government will co-finance municipal and regional investments in infrastructure for public transport and cycling. There is no fixed allocation between modes of transport. The aim of the initiative is to promote sustainable urban environments by providing support that leads to: - An increased proportion of passenger transport by public transport or bicycle traffic- Sustainable freight transport solutions. The measures are expected to lead to energy-efficient solutions with low greenhouse gas emissions and contribute to meeting the environmental quality objective ""Good built environment"".  In particular, the support should promote innovative, capacity-efficient and resource-efficient solutions for public or bicycle transport and efforts to coordinate and improve the efficiency of freight transport.",2018,IEA,NA
32,SWE,Financial support,Transport,"Ordinance (2017: 1317) on grants to private individuals for the purchase of electric bikes, mopeds, motorcycles and outboard motors","Currently suspended due to lack of funding (2019)  Subsidy for an electrically driven outboard engine may include that battery or, if the engine's function requires several batteries at the same time, the batteries needed for the engine to be used for the ship's progress from the engine being new until the battery or batteries have worn out. The grant may only be given to a private person who is registered in Sweden and if   1. the engine and the battery or batteries are new and purchased at the earliest on April 12, 2018,   2. the engine and the battery or batteries are CE marked,   3. the engine has a unique identification number or other information enabling it to be identified;   4. the engine has a power of at least one kilowatt;   5. the engine is intended to be used as the main engine for operating a vessel; and   6. the engine and battery or batteries have not been the basis for other public support.",2018,IEA,NA
33,AUT,Financial support,Transport,Company tax benefits,The in-kind benefits for the private usage of company cars is taxed with 0% (formerly 18%). PHEV's remain at 18%.Cars > 130 g/km were raised to 24% (the treshold comes down 3 g/km every year until 2020).,2017,IEA,NA
34,ITA,Financial support,Transport,Diffusion of electric vehicles Lombardia,"The Lombardia region issued 15 million EUR for the diffusion of electric vehiclesand their charging infrastructure in municipalities. Further, this region providesincentives on private charging points: 1,500 EUR per charging point in case ofcharging system with a single socket, 1,000 EUR per socket in case of chargingsystems with several sockets, until a maximum of 10,000 EUR per applicant.",2017,IEA,NA
35,ESP,Financial support,Transport,MOVALT Vehicles Plan/ Promotion of Alternative Vehicles,"In recent years, Spain has approved a number of initiatives intended to boost alternative-energy vehicles, both in industrial terms and to promote demand. These include infrastructure support. Noteworthy among the actions undertaken are the grants-in-aid for replacement of alternative-energy vehicles within the framework of the 2008–2012 Energy Savings and Efficiency Action Plan, the MOVELE pilot project and the subsequent MOVELE programmes, with the recent addition of the MOVEA plans.   Given the difficulties that still exist with regard to the market penetration of this type of vehicles, it is necessary to continue providing aid for their purchase by regulating the granting of direct subsidies. For this purpose, the aid programme for the purchase of alternative-energy vehicles was approved: the MOVALT Vehicles Plan. The initial funding for this programme was a maximum budget of €20 million, with a limit of €600,000 for electric motorbikes (L3e, L4e, L5e). The aid included will be managed by the IDAE (Institute for Energy Diversification and Saving) and will be allocated to incentivising the purchase of vehicles propelled by autogas (LPG), compressed natural gas (CNG) or liquefied natural gas (LNG), petrol-gas bifuel or fuel cell, as well as  pure electric vehicles (BEV), extended-range electric vehicles (EREV) and plug-in hybrid electric vehicles (PHEV).",2017,IEA,NA
36,LUX,Financial support,Transport,Ownership tax benefits,"In order to encourage private citizens to choose electromobility and active mobility, thereby achieving a cleaner and sustainable mobility, a new tax allowance is now available for the purchase of a new, fully electric vehicle, a new bicycle, a new electrically assisted pedal bicycle (pedelec) or a rechargeable hybrid electric passenger vehicle. Private citizens can apply for a tax allowance for sustainable forms of transport in the amount of:     EUR 5,000 for the purchase of a zero-emissions personal vehicle that is fully powered by electricity or a hydrogen fuel cell, and registered after 1 January 2017. The vehicle must seat no more than 9 people, including the driver;    EUR 2,500 for the purchase of a rechargeable hybrid electric passenger vehicle whose emissions do not exceed 50g CO2/km. The date of first registration of the vehicle must be after 31 December 2017;    EUR 300 for the purchase of an electrically assisted pedal bicycle with a DC power output of no more than 0.25 kW, with the power supply being progressively reduced as the vehicle gains speed, and cut off entirely when it reaches 25 km/h;    EUR 300 for the purchase of a bicycle.",2017,IEA,NA
37,GBR,Financial support,Transport,Tax benefits for Ultra Low Emission Vehicles,Ultra low emission vehicles (ULEVs) are usually defined as vehicles that emit less than 75g of carbon dioxide (CO2) for every kilometre travelled. They will typically include an electric powertrain. Both private and business users of ULEVs receive a number of tax benefits.,2017,IEA,97
38,ISL,Financial support,Transport,VAT exemption ISL,VAT exemption until 1440000 ISK for BEV and until 9600000 ISK for phev.,2017,IEA,NA
39,PRT,Financial support,Transport,Incentives for Bike sharing at Universities including electric Bikes (U-Bike),"The U-Bike Portugal Project aimed at promoting sustainable mobility, particularly cycling, in academic communities. The Institute for Mobility and Transport is the public agency that coordinated the project and defined the rules and monitoring procedures to assess the outcomes of it.  Public higher education institutions were able to apply for POSEUR financing (Programa Operacional Sustenibilidad e Eficiencia No Uso de Recursos) for the acquisition of a fleet of electric and conventional bicycles. The incentive did not cover other interventions, so public institutions had to apply for additional funding for those purposes. The applications were sorted out according to the following criteria:  Efficiency Suitability to Sectorial Strategy Efficiency, Sustainability and Innovation Integrated Approach  Maximum budget allocated by POSEUR: 530.000 euros",2016,IEA,NA
40,GBR,Financial support,Transport,On-street Residential Chargepoint Scheme,"The cost of charging infrastructure has come down significantly over the last few years, and the cost for many innovative new on-street solutions can be as low as £200-£500 per unit. The maximum amount OLEV will fund per chargepoint is £7,500, but OLEV anticipates costs to be much cheaper than this in most cases. Demonstrating value for money consideration in the application is crucial, and prices will be challenged to ensure that they are appropriate.",2016,IEA,NA
