index,country_code,Policy type,Sector,Policy,Description,Year/Date of decision,Source,cos_dup
11,MLT,Taxation,Transport,EV Registration Tax Benefits in Malta,"Registration Tax of vehicles is based on Lengh of vehicles, Emissions and Age. For Electric Vehicles Emission Tax is zero. Direct CO2 emission values are used to calculate the Vehicle Registration Tax (VRT) and annual Motor Tax bands for vehicles.Battery Electric Vehicles (BEV) have no tail pipe emissions of CO2Plugin Hybrid Electric Vehicles (PHEV) should have CO2 emissions circa 60g/km",2017,IEA,39
12,MLT,Financial support,Transport,Grants to Purchase Low CO2 Emission Cars and Remove Old Inefficient Cars from Roads,"The scrappage scheme, which this year has an allocation of €1.5 million. New M1 Vehicles or M1 Hybrid Vehicles are eligible for this scheme when de-registering and scrapping a vehicle from the same category. This grant varies from €800 to €2,000. The sum of €800 is given to applicants registering new M1 Category Vehicles with CO2 emissions between 101 and 130g/km while M1 Vehicles with CO2 emissions up to 100g/km are eligible for €900 or the sum equivalent to the amount paid for registration tax for the same vehicle up to a maximum of €1,500. When an applicant is registering an M1 Hybrid Vehicle with CO2 emissions between 40 and 65g/km, they are eligible for a grant up to €2,000",2017,IEA,NA
13,IRL,Taxation,Transport,Ireland EV Registration Tax Benefits,"EV's qualify for Vehicle Registration Tax (purchase tax) reliefs of up to €5,000. VRT is paid whenever a car is registered for the first time in Ireland. Electric Vehicles receive VRT relief separately to SEAI grant support. VRT relief for BEVs is in place until the end of 2021 and for PHEVs until end of 2020.",2017,IEA,NA
14,IRL,Financial support,Transport,Ireland Support to Electric Vehicles (EVs),"Supporting the uptake of electric vehicles is a key element of transport policy in Ireland. A wide range of supports are in place including:   Electric Vehicle Purchase Grant  of up to €5,000 towards the purchase of a new battery electric vehicle or plug-in hybrid electric vehicle (administered by SEAI);   Electric Vehicle Home Charger Grant  of up to €600 to support installation of home charger points for buyers of new and second-hand electric vehicles (administered by SEAI);Electric Vehicle Public Charge Point Grant - local authorities can apply for funding  to install charge points on public street or public car parks which provide overnight parking for local residents;  relief on Vehicle Registration Tax (VRT)  of up to €5,000 for new battery electric vehicles and up to €2,500 for plug-in hybrid electric vehicles (under the Tax Consolidation Act);   reduced motor tax for a battery electric vehicle  of €120 per annum and typically €170 per annum for a Plug-in Hybrid Electric Vehicle (need to check statute);   Accelerated Capital Allowance (ACA) Scheme  for business purchases of electric vehicles and charging infrastructure where costs can be written down in the year of purchase rather than the standard eight-year period (under the Tax Consolidation Act);   a grant  of up to €12,500 o stimulate take-up of electric vehicles in the taxi /hackney/limousine sector (administered by the National Transport Authority); and   Benefit-in-Kind  rate of 0% which applies to staff provided with electric vehicles by their employers (under the Tax Consolidation Act).",2017,IEA,NA
15,ITA,Taxation,Transport,Ownership tax benefits,"Electric vehicles are exempt from the annual circulation tax (ownership tax) for a period of five years from the date of their first registration. After this five-year period, they benefit from a 75% reduction of the tax rate applied to equivalent petrol vehicles in many regions.",2017,IEA,NA
16,DNK,Taxation,Transport,Purchase tax rebate vehicle Denmark,"New (2017-2021) BEV and PHEV purchase tax rebate of 225 USD/kWh(190 EUR/kWh) battery, max 45 kWh (10,000 USD; 8,458 EUR",2017,IEA,NA
17,DNK,Taxation,Transport,Reduction in vehicle registration tax for Evs,"Activated in 2017, as a consequence of drop of EV sales in 2016 after a previous tax break was phased out, this subsidy is provided in the form of a DKK 10000 reduction in vehicle registration tax for purchases of electric vehicles. It will be granted until the end of 2019.",2017,IEA,NA
18,ROU,Taxation,Transport,Registration tax,Electric and hybrid vehicles are exempt from the registration tax.,2017,IEA,NA
19,ESP,Taxation,Transport,Registration tax based on CO2 emissions,"Registration taxes in Spain are calculated according to the level of CO2 emissions.  0% for vehicles emitting less than 120 g/km 4,75% for vehicles emitting between 120 g/km and 160 g/km. 9,75% for vehicles emitting between 160 g/km and 200 g/km. 14,75% for vehicles emitting more than 200 g/km. As a consequence EV are exemptend from paying any registration tax.",2017,IEA,66
20,GRC,Taxation,Transport,Registration tax benefits,Electric and hybrid vehicles are exempt from the registration tax.,2017,IEA,NA
21,HUN,Taxation,Transport,Registration tax benefits,Electric vehicles are exempt from the registration tax.,2017,IEA,NA
22,LVA,Taxation,Transport,Registration tax benefits,Electric vehicles are exempt from the registration tax.,2017,IEA,NA
23,NLD,Taxation,Transport,Motor vehicle tax breaks for zero-emission vehicles and plug-in hybrids (Autobrief II),"To encourage the a switch to efficient, low-emission vehicles in the transport sector, the Netherlands has introduced a progressive vehicle taxation system, based on the emissions-intensity of vehicles. Zero emission vehicles (ZEVs) are exempt from paying registration tax.  PHEVs: PHEVs are exempt from paying the flat-rate registraion fee of €350. Then, the following rates apply: Level 1: 1- 30 grams of CO2/km: €20Level 2: 31-51 grams of CO2/km: €90Level 3: >50 grams of CO2/km: €300 Non-PHEVs: In addition to a flat-rate registration fee of €350, the following rates apply: Level 1: €2 per gram of CO2Level 2: €66 per gram of CO2 Level 3: €145 per gram of CO2  Level 4: €238 per gram of CO2  Level 5: €476 per gram of CO2    2019 Update from Business.gov.nl (https://business.gov.nl/regulation/motor-vehicle-tax/):  On Prinsjesdag (Budget Day) 2019, the Ministry of Finance announced that the motor vehicle tax exemption for fully electric vans and plug in hybrids will be extended until 2025. Tax rates for petrol and diesel-operated company vans will go up: from 2021, the motor vehicle tax will go up by an average of €24 per car. The precise amount depends on your vehicle's weight. These changes are due to come into effect on 1 January 2021. This is subject to its acceptance by the upper and lower houses of parliament.",2016,IEA,NA
24,DNK,Taxation,Transport,Differentiated registration tax,"Until the end of 2015, BEV cars were exempt from paying the (very significant) registration tax (VAT was still applied) (ACEA, 2017c). In 2016, the government decided to gradually phase in a vehicle registration tax for BEVs: 20% of the full registration tax in 2016, 40% in 2017, 65% in 2018, 90% in 2019 and 100% in 2020. The registration tax for cars has also decreased since 2015. These changes paralysed electric car sales. To re-boot the market, the Danish government introduced a deduction based on battery capacity in April 2017. At the same time it decided to maintain the registration tax for BEV cars at 20% for two additional years or until reaching the threshold of 5 000 new registrations (Government of Denmark, 2017). In October 2017, a new reduced registration tax for cars was enforced. This includes new incentives for electric and efficient cars (SKAT, 2018).",2015,IEA,64
25,CHN,Financial support,Transport,Local subsidy funds from vehicle purchase tax revenue.,"The fund has been set up to facilitate the sustainable and continuous development of the transport industry by re-investing revenue from vehicle purchase taxes into local transport projects. Projects covered within the scope of expenditure for vehicle purchase tax funds include:    Key transport projects General road construction projects Distaster recovery and reconstruction projects in provinces Road damage repair and maintenance projects Retirement and renewal projects for old rural ferries Energy conservation and emission reduction projects in the transport sector (low-carbon transport options and technologies) Pilot projects for road transport and transporation  Inland river channel development projects Old car scrapping renewal projects Other transport projects approved by the State Council  For energy conservation projects, the level of subsidies is determined based on the impact of the projects in terms of energy conservation, emission reduction and wider social benefits.",2014,IEA,NA
26,SWE,Taxation,Transport,Environmental vehicle premium,"As from 1 July 2009, new vehicles with lower emissions of carbon dioxide (green vehicles according to the old green vehicle definition) are exempt from annual vehicle tax for the first five years. On 1 January 2013, more stringent criteria for the five-year exemption, involving weight-based carbon dioxide emission requirements, were introduced. The tax exemption was also extended to include motorhomes, light goods vehicles and light buses. This means that passenger cars, motorhomes, light goods vehicles and light buses brought into use in Sweden for the first time on or after 1 January 2013 are exempt from annual vehicle tax for the first five years, provided that their carbon dioxide emissions (according to data in the Road Traffic Registry) do not exceed a maximum level calculated in relation to the vehicle weight (green vehicles according to the new definition). At the beginning of 2012, a super-green vehicle rebate of up to SEK 40,000 was introduced for new vehicles emitting a maximum of 50 g CO2/km (super-green vehicles).",2010,IEA,NA
27,AUS,Taxation,Transport,Lower vehicle taxes - NSW,In 2010 changes to vehicle tax were introduced for vehicles that have a lower impact on the environment.These ‘lower taxed vehicles’ include:manufacturer designated petrol-electric hybridsdiesel-electric hybridsplug-in hybridselectric vehicles with CO2 emissions no higher than 150 grams/kilometre (g/km) in the 'combined' driving cyclepreviously eligible lower taxed vehicles with a rating of 4½ or 5 stars.Private vehicles that have been modified for wheelchair transport are also eligible for the reduced vehicle tax rate.The reduced rate is applied when the vehicle is registered.,2010,IEA,NA
28,JPN,Taxation,Transport,Eco-Car Tax Break and Subsidies for Vehicles,"With the Eco-Car Tax Break, clean energy vehicles enjoy a tax reduction/exemption with respect to three vehicles taxes: motor vehicle tonnage tax, automobile acquisition tax and motor vehicle tax (ownership). Eligible vehicle types include high fuel efficiency internal combustion engine vehicles, electric vehicles, fuel-cell powered vehicles, plug-in hybrid vehicles, natural gas vehicles and clean diesel passenger vehicles.  Different levels of subsidy will also be provided to plug-in hybrid vehicle as follows:- Up to 400 thousand JPY for electric and fuel-cell powered vehicles;- Up to 200 thousand JPY for plug-in hybrid vehicles;- Up to 150 thousand JPY for clean diesel passenger vehicles; - Up to 2.3 million JPY for fuel cell vehicles.The scheme will also support the deployment of charging infrastructure.",2009,IEA,"29,59"
29,JPN,Taxation,Transport,Eco-Car Tax Break and Subsidies for Vehicles,"Eco-Car Tax BreakClean energy vehicles can enjoy tax reduction / exemption with respect to three vehicles tax, such as motor vehicle tonnage tax, automobile acquisition tax and motor vehicle tax (ownership). Eligible vehicle types depend on high fuel efficiency internal combustion engine vehicles or other technology power trains – such as electric vehicles, fuel-cell powered vehicles, plug-in hybrid vehicles, natural gas vehicles and clean diesel passenger vehicles. Since October 2019, automobile acquisition tax rate will be revised. New automobile acquisition tax rate will depend on fuel efficiency.The details of tax reduction rate with each vehicle taxies are explained below.Classification of tax reduction rate*Those eligible vehicles can enjoy the highest tax rate waiver. *In case of internal combustion engine vehicles, eligible ones’ fuel efficiency level should be higher than the efficiency standard (under the top-runner program). Incentives for such vehicles are determined according to fuel efficiency level. *Tax reduction rate are below.Within 20% to 100% of tax (depending on type of vehicle tax and fuel efficiency level)Subsidy for new clean energy vehicles (EV, FCV etc) Japanese government offers subsidy for new clean energy vehicles, such as electric vehicles, fuel-cell powered vehicles, plug-in hybrid vehicles and clean diesel passenger vehicles, in order to reduce fossil fuel and CO2 emissions from the transport sector. Calculations of subsidy are determined up by vehicle type. For example, electric vehicles’ subsidy is determined by vehicle mileage. On the other hand, fixed level of subsidy is provided to plug-in hybrid vehicle. The upper limit of subsidy amount by vehicle type are as follows.i- electric vehicles and fuel-cell powered vehiclesup to 400 thousand yenii- plug-in hybrid vehiclesup to 200 thousand yeniii- clean diesel passenger vehiclesup to 150 thousand yenAmount of expenditureFY2019, 16 billion yen (FY2018, 13 billion yen)",2009,IEA,"28,59"
30,DEU,Financial support,Transport,Support for electric mobility development,"The German government provides a range of incentives and funding support for electric mobility, including:  Purchase grant (environmental bonus): The Federal Government has earmarked a maximum of €600 million to support the purchase of at least 300,000 electric vehicles by 2019. The carmakers are contributing an equal amount. A bonus of €4,000 is paid for the purchase of a new all-electric vehicle. Buyers of plug-in hybrid vehicles receive a bonus of €3,000. Applications for the environmental bonus can be submitted directly to the Federal Office for Economic Affairs and Export Control (BAFA). Support for the roll-out of charging stations: The Federal Government is providing €300 million in funding to promote the roll-out of rapid and standard recharging points. The goal: many more rapid recharging points, which are particularly expensive, are to be available along the major transport routes and in the big cities by 2020. More electric vehicles in the public-sector vehicle fleet: The public sector will set a good example by increasing the number of electric vehicles in its fleet. The share of electric vehicles to be purchased by the Federal Government is to rise to at least 20% by 2019. €100 million has been earmarked for this. Extension of the vehicle tax exemption: from five to ten years.",2009,IEA,NA
31,FIN,Taxation,Transport,Amendment of Car Tax and Annual Vehicle Tax Regimes,"Car taxation was reformed in Finland in 2007 and the reform entered into force in 2008. The tax on passenger vehicles was differentiated according to vehicle-specific emissions (CO2/g/km). The lowest tax rate (5%) applies to cars with zero carbon dioxide emissions while the highest tax rate (50%) applies to cars with carbon dioxide emissions exceeding 360 g/km. The Vehicle Tax Act was also reformed at the end of 2007. In this reform, the basic part of the tax was differentiated according to carbon dioxide emissions of each vehicle just like in the car taxation reform. The basic part of the emission-based vehicle tax is EUR 43-606 per year, depending on the car specific carbon dioxide emissions. This taxation model benefits, irrespective of the technology used, all low-emission cars.",2008,IEA,NA
32,ESP,Taxation,Transport,Car registration tax linked to CO2 emissions,"Until late 2007, the passenger car registration tax was linked to the cylinder capacity of the vehicle. From 1st January 2008, Law 34/2007 on Air Quality and the Protection of Atmosphere establishes a new calculation method for the registration tax of passenger cars in Spain, linked to car CO2 emissions/fuel consumption. For this purpose, the Ministry of the Environment led an inter-ministerial working group with the participation of the Ministries of Industry, Development, Consumption and the IDAE, where the specifications of this new registration tax were studied and defined. A new rating for the vehicle registration tax will vary according to the cars CO2 emissions, with the least polluting vehicle being the least taxed. The new tax rates are as follows: - 0% on the vehicle market price for vehicles with emissions under or up to 120 gCO2/km. - 4.75% for vehicles with emissions over 120 and up to 160 gCO2/km. - 9.75% for vehicles with emissions over or equal to 160 and up to 200 gCO2/km. - 14.75% for vehicles with emissions over or equal to 200 gCO2/km. In December 2008, the new tax scheme was extended to two-wheeled vehicles such as motorcycles. The tax rates are as follows: - 0% on the vehicle market price for those with emissions under 80gCO2/km - 4.75% for vehicles with emissions over or equal to 80 and up to 100 gCO2/km - 9.75% for vehicles with emissions over or equal to 100 and up to 120 gCO2/km - 14.75% for vehicles with emissions over or equal to 120 gCO2/km, or those with over 100 horsepower (74kW).",2008,IEA,56
33,CHN,Taxation,Transport,Hong Kong - Tax Incentives for Environmentally Friendly Commercial Vehicles,"As of 1 April 2008, Hong Kongs Environmental Protection Department (EPD) has implemented an incentive scheme to encourage investment in environmentally friendly commercial vehicles meeting Euro V emission standards for heavy-duty and light-duty diesel vehicles.Owners of such vehicles are offered a reduction in their First Registration Tax (FRT).Under the tax concession scheme commercial vehicles include taxis, light-, medium- and heavy-goods vehicles, public and private light buses, public and private non-franchised buses and special purposes vehicles.The rates of reduction of the FRT for different vehicle classes are as follows:100% for taxis, light buses, non-franchised buses and special purpose vehicles;50% for goods vehicles (except van-type goods vehicles up to 1.9 tonnes permitted gross vehicle weight); and30% for van-type goods vehicles up to 1.9 tonnes permitted gross vehicle weight.The waivers will range from 3.7% of the vehicles market value for taxis to 35% for vans.The tax concessions will also be subject to caps ranging from HKD 8 500 to HKD 78 000 depending on the type of vehicle.The tax reduction can be claimed by authorised vehicle dealers, parallel importers or individuals.8Vehicles will need to be sold with ""Environment-Friendly Commercial Vehicle Certificates"" in order to qualify for the tax waiver.Currently, four models of Toyota vans and three Mercedes-Benz trucks are the only vehicles to receive the certificate. Qualification under the scheme is temporary, as it will be reviewed each year and should requirements be tightened, the vehicle will have to meet the new qualifying standards for the incentive to be received.",2008,IEA,NA
34,USA,Taxation,Transport,Plug-in Electric Drive Motor Vehicle Tax Credit,"The Plug-in Electric Drive Motor Vehicle Tax Credit is for the purchase of a new qualified plug-in electric drive motor vehicle that draws propulsion using a traction battery that has at least four kilowatt hours of capacity, uses an external source of energy to recharge the battery, has a gross vehicle weight rating of up to 14,000 pounds, and meets specified emission standards. The minimum credit amount is USD 2,500, and the credit may be up to USD 7,500, based on each vehicles traction battery capacity and the gross vehicle weight rating. The credit will begin to be phased out for each manufacturer in the second quarter following the calendar quarter in which a minimum of 200,000 qualified plug-in electric drive vehicles have been sold by that manufacturer for use in the US. This tax credit applies to vehicles acquired after December 31, 2009.As of January 1, 2016, 61,279 qualifying vehicles have been sold in the U.S.",2008,IEA,NA
35,FRA,Financial support,Transport,Super bonus: Vehicle scrappage scheme,"A temporary measure implemented as part of Frances economic stimulus plan, the EUR 300 bonus for scrapping a vehicle over 15 years old provided under the Bonus-Malus scheme has been expanded. From December 2008 to December 2009, the EUR 300 bonus has been increased to EUR 1000 and expanded to vehicles over 10 years old. New cars purchased must still meet maximum emissions limit of 160 gCO2/km. The scheme is also expanded to light commercial vehicles, applying when a new vehicle is purchased and an old one scrapped. No CO2 emissions requirements apply to the purchase of a new light commercial vehicle.",2008,IEA,NA
36,FRA,Taxation,Transport,Bonus-Malus: vehicle CO2 bonus and penalty system,"Implemented in France since January 2008, this is an incentive to purchase vehicles that emit the least CO2. On purchase, a bonus is paid to people acquiring vehicles that emit less than 105g CO2/km (threshold valid on 1st January 2013). Conversely, a purchase tax (""malus"") applies to cars that emit over 135g CO2/km (idem). The bonus ceiling for electric vehicles was raised from  €5,000 to  €7,000 in 2012, up to a limit of 30% of the total cost of the vehicle including tax; that relating to hybrid vehicles has been doubled to  €4,000, up to a limit of 10% of the total cost of the vehicle including tax, with a minimum subsidy of  €2,000.New decrees and order have been published in 2014, in order to strenghen the requirements to obtain the CO2 bonus.",2007,IEA,55
37,PRT,Taxation,Transport,Tax Incentives for Electric Vehicles,"VAT is deductible for the purchaise of electric vehicles with a certain amount of acquisition costs depending on the type of vehicles: pure battery electric vehicles (BEV) < 62,000 EUR; plug-in hybrids vehicles (PHEV) < 50,000 EUR.   In addition, electric vehicles are exempted from the registration tax (Imposta Sobre Vehiculos or ISV): BEVs are fully exempted and PHEVs are exempted up to 75% of the tax if their all -electric range mode goes up to 25km.",2007,IEA,NA
38,GBR,Taxation,Transport,Vehicle Excise Duty (VED): fuel type and CO2 emission vehicle bands,"The rate of vehicle tax for cars is based on engine size if registered before 2001, or on fuel type and carbon dioxide (CO2) emissions if registered after 2001. This is intended to send a stronger signal to the buyer about the environmental implications of their car purchase.",2001,IEA,NA
39,MLT,Taxation,Transport,EV Ownership Tax Benefits in Malta,Electric Vehicles only pay 10 Euros per year for a license fee as a symbolic contribution towards congestion.,2017,IEA,11
40,ISL,Taxation,Transport,Ownership tax,Weight <=3500 kg:  ISK 5000 for first 121 gCO2/km + ISK 120 per gCO2/km above 121. For weight >3500 kg: ISK 46880 +ISK 2 per kg of weight above 3500 kg. If emissions are not available the emissions are calculated as 50 gCO2/km+0.12 gCO2 for each kg of weight,2017,IEA,NA
41,ROU,Taxation,Transport,Ownership tax benefits,Tax reduction - CO2 based tax,2017,IEA,NA
42,LVA,Taxation,Transport,Ownership tax benefits,Tax exemption for BEV's,2017,IEA,NA
43,HUN,Taxation,Transport,Ownership tax benefits,Electric vehicles are exempt from the annual circulation tax.,2017,IEA,NA
44,LUX,Taxation,Transport,Ownership tax benefits,"In order to encourage private citizens to choose electromobility and active mobility, thereby achieving a cleaner and sustainable mobility, a new tax allowance is now available for the purchase of a new, fully electric vehicle, a new bicycle, a new electrically assisted pedal bicycle (pedelec) or a rechargeable hybrid electric passenger vehicle. Private citizens can apply for a tax allowance for sustainable forms of transport in the amount of:     EUR 5,000 for the purchase of a zero-emissions personal vehicle that is fully powered by electricity or a hydrogen fuel cell, and registered after 1 January 2017. The vehicle must seat no more than 9 people, including the driver;    EUR 2,500 for the purchase of a rechargeable hybrid electric passenger vehicle whose emissions do not exceed 50g CO2/km. The date of first registration of the vehicle must be after 31 December 2017;    EUR 300 for the purchase of an electrically assisted pedal bicycle with a DC power output of no more than 0.25 kW, with the power supply being progressively reduced as the vehicle gains speed, and cut off entirely when it reaches 25 km/h;    EUR 300 for the purchase of a bicycle.",2017,IEA,NA
45,CZE,Taxation,Transport,Ownership tax benefits,"Electric, hybrid and other alternative fuel vehicles are exempt from the road tax (this tax applies to cars used for business purposes only).",2017,IEA,NA
46,PRT,Taxation,Transport,Ownership tax benefits - EV,Tax reduction / exemption - CO2 based tax,2017,IEA,NA
47,LTU,Taxation,Transport,Registration tax benefits,Tax reduction - CO2 based tax,2017,IEA,NA
48,SVK,Taxation,Transport,Registration tax benefits EV,BEV pays the lowest (33€) rate of tax on motor vehicle .,2017,IEA,NA
49,MEX,Taxation,Transport,New Vehicle Tax Exemption for Electric Vehicles - Federal Law for Taxes over New Vehicles,"The Law enacted by the Mexican Government in 1996 defined the conditions for taxation of new vehicles, including who is required to pay, the type of vehicles sanctioned, importing rules and tax rates.  It also established that ""those vehicles which are propelled by electric batteries, or electric vehicles with integrated internal combustion or hydrogen-based engines"" are exempted to pay the tax defined in the law.  The law has been reformed several times modifiying the conditions and tax rates. The last published reform is DOF 30-11-2016.",2016,IEA,NA
50,DNK,Taxation,Transport,Ownership tax differentiation,"Not derogated for EVs. BEV pay minimum, as they have high efficiency. PHEV check",2015,IEA,NA
51,SVN,Taxation,Transport,Registration tax benefitsSVN,"BEV's pay the lowest (0,5%) rate of tax on motor vehicle.",2012,IEA,NA
52,SVN,Taxation,Transport,Ownership tax benefitsSVN,Exemption from the payment of annual fees for the use of roads for BEV.,2006,IEA,NA
53,GBR,taxation,Transport,Company Car Tax Reform,Legislative,2002,CPD,NA
54,FRA,taxation,Transport,Vehicle Pollution Tax,NA,2005,CPD,NA
55,FRA,"taxation, financial support",Transport,Bonus-Malus: vehicle CO2 bonus and penalty system,"Following the ""Grenelle of the Environment"", a bonus-malus scheme was implemented in order to promote the purchase of less polluting vehicles while curbing the number of polluting ones in use.",2007,CPD,36
56,ESP,taxation,Transport,Car Registration Tax Linked to CO2 Emissions,"Until late 2007, the passenger car registration tax was linked to the cylinder capacity of the vehicle. From 1st January 2008, Law 34/2007 on Air Quality and the Protection of Atmosphere establishes a new calculation method for the registration tax of passenger cars in Spain, linked to car CO2 emissions/fuel consumption. In December 2008, the new tax scheme was extended to two-wheeled vehicles such as motorcycles.(For more detail on rates, see reference below.) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",2008,CPD,32
57,NOR,taxation,Transport,Value Added Tax (VAT) Act No. 58/2009,Legislative,2009,CPD,NA
58,DEU,taxation,Transport,New vehicle car tax system,NA,2009,CPD,NA
