Country,Policy types,Sectors,Policy,Description,Year,country_code,Source,Comment
United Kingdom,"Payments, finance and taxation|Payments and transfers|Grants","Power, Heat and Utilities|Power generation|Electricity and heat generation",Offshore Wind Capital Grants Scheme,"DTIs Capital Grants Scheme seeks to stimulate early deployment of offshore wind. Support for these projects is targeted so as to help reduce both the costs and risks involved in offshore wind developments, and hence to maximise the contribution to the governments targets for renewable electricity supply. As such, the government will seek to ensure swift completion, making output from these projects available for electricity suppliers to respect their renewable obligation.The primary aim is to stimulate early development of a significant number of offshore wind farms providing a learning experience which will increase confidence and reduce future costs. All three rounds of the current scheme were completed in November 2003 and a total of 12 projects have been funded to a total value of GBP117m. The first of those projects North Hoyle, Wales was commissioned in December 2003. A second 60MW project at Scroby Sands, East England, was commissioned in December 2004.",2002,GBR,IEA,
United Kingdom,"Regulation|Codes and standards|Renewable / Non-fossil energy obligations|Information and education|Energy / CO2 performance labels|Comparison labels|Performance-based policies|Obligations on average types of sales / output|Payments and transfers|Framework legislation|Targets, plans and framework legislation|Consumer information","Power, Heat and Utilities|Power generation|Economy-wide (Multi-sector)|Electricity and heat generation",Renewables Obligation (RO),"The Renewables Obligation (RO) is currently the main support mechanism for renewable electricity projects in the UK. Smaller scale generation is mainly supported through the Feed-In Tariff scheme (FITs).The RO came into effect in 2002 in England and Wales, and Scotland, followed by Northern Ireland in 2005. It places an obligation on UK electricity suppliers to source an increasing proportion of the electricity they supply from renewable sources.Renewables Obligation Certificates (ROCs) are green certificates issued to operators of accredited renewable generating stations for the eligible renewable electricity they generate. Operators can trade ROCs with other parties. ROCs are ultimately used by suppliers to demonstrate that they have met their obligation. Entities unable to present required are obligated to pay the fine. Yearly obligation levels 2010/20112011/20122012/20132013/20142014/20152015/2016 ROCs per MWhEngland, Wales and Scotland0.1110.1240.1580.2060.2440.290Northern Ireland-0.050.0810.0.970.1070.119",2002,GBR,IEA,
United Kingdom,Obligation schemes,"Electricity and heat, Renewables",Renewables Obligation United Kingdom (2002),Legislative,2002,GBR,CPD,
United Kingdom,Grants and subsidies,"Electricity and heat, Renewables",Offshore Wind Capital Grants Scheme United Kingdom (2002),NA,2002,GBR,CPD,
United Kingdom,"Monitoring, Grants and subsidies, Demonstration project, Technology development, Auditing","Electricity and heat, Renewables",Large-scale PV Demonstration Project United Kingdom (2002),NA,2002,GBR,CPD,
United Kingdom,"Market-based instruments, GHG emission reduction crediting and offsetting mechanism, GHG emissions allowances","Industry, Electricity and heat",UK Emissions Trading Scheme United Kingdom (2002),NA,2002,GBR,CPD,
United Kingdom,Research & Development and Deployment (RD&D),"Electricity and heat, Renewables",Energy Technology Programme United Kingdom (2002),NA,2002,GBR,CPD,
United Kingdom,Grants and subsidies,"Electricity and heat, Renewables",Major PV Demonstration Programme United Kingdom (2002),NA,2002,GBR,CPD,
United Kingdom,Grants and subsidies,"Electricity and heat, Renewables",Bio-energy Capital Grants Scheme United Kingdom (2002),Executive,2002,GBR,CPD,
United Kingdom,"Regulation|Codes and standards|Information and education|Energy / CO2 performance labels|Comparison labels|Performance-based policies|Emission Trading Scheme|Framework legislation|Monitoring|Targets, plans and framework legislation|Consumer information","Power, Heat and Utilities|Power generation|Economy-wide (Multi-sector)|Electricity and heat generation",Renewable Energy Guarantees of Origin (REGOs),"Implemented in 2003, the Renewable Energy Guarantee of Origin (REGOs) electronic certificate system enables producers of renewable-sourced electricity that is eligible unsder the EU Renewables Directive to be issued with evidence (guarantees) that their electricity is indeed renewable.Generators will be able to prove their green credentials at home and abroad as the scheme is based around mutual recognition between EU Member States. Although the certificates have no actual monetary value in and of themselves, they will prove useful for smaller generators and those who wish to conduct trade across national boundaries.",2003,GBR,IEA,
United Kingdom,"Grants and subsidies, Information provision","Electricity and heat, Renewables, Buildings, Heating and cooling, Hot water and cooking",Clear Skies - Household and Small Community Renewable Energy Fund United Kingdom (2003),NA,2003,GBR,CPD,
United Kingdom,"Endorsement label, Monitoring, Codes and standards, GHG emission reduction crediting and offsetting mechanism","Electricity and heat, Renewables",Renewable Energy Guarantees of Origin (REGOs) United Kingdom (2003),NA,2003,GBR,CPD,
United Kingdom,Policy support,Electricity and heat,Energy White Paper United Kingdom (2003),NA,2003,GBR,CPD,
United Kingdom,Regulation,"Buildings|Power, Heat and Utilities|Power generation|Economy-wide (Multi-sector)|Electricity and heat generation",Energy Act 2004,"The Energy Act 2004 received Royal Assent 22 July 2004.      Regarding climate change mitigation, the Act is important in providing the framework for the development of offshore wind and other marine renewable energy sources outside territorial waters.     The Act implemented a range of commitments made in the 2003 Energy White Paper, including those relating to energy efficiency, such as raising building and product standards, and creating an Energy Efficiency Action Plan for the UK.      The Offshore Production of Energy part of the Energy Act 2004 puts in place a comprehensive legal framework for offshore renewable energy projects - wind, wave and tidal - beyond the UK's territorial waters.      The Act establishes a Renewable Energy Zone (REZ), adjacent to the UK's territorial waters, within which renewable energy installations can be established. The Act enables the Crown Estate to award licences for wind farm sites in the REZ on much the same basis as it currently leases sites within territorial waters. The Act gives the Government the additional powers it requires to regulate renewable energy projects in the REZ, principally by extending the requirement for consent under Section 36 of the Electricity Act 1989.      The Act also facilitates a streamlining of the consents process for projects within the REZ and in inshore waters by providing for navigation matters within Section 36. The legislation introduces two new features - a safety zone scheme and a statutory scheme for the decommissioning of offshore renewable energy installations and related electricity lines.",2004,GBR,IEA,
United Kingdom,"Payments, finance and taxation|Targets, plans and framework legislation","Transport|Power, Heat and Utilities|Economy-wide (Multi-sector)",Research Councils Energy Programme (RCEP),"The Research Councils Energy Programme (RCEP) brings together within one framework all the Research Council activities on energy research and training.  The Research Councils, funded from the Department for Business, Innovation and Skills Science  &  Research Budget, are the main UK government agencies responsible for funding basic, strategic and applied research and related postgraduate training in science, engineering and the arts in academia and research institutes.   The RCEP aims to position the UK to meet its energy and environmental targets and policy goals through world-class research and training. The Energy Programme is investing more than GBP 625 million in research and skills to pioneer a low-carbon future. This builds on an investment of GBP 839 million over the past eight years (December 2011).   Led by the Engineering and Physical Sciences Research Council (EPSRC), the Energy Programme brings together the work of EPSRC and that of the Biotechnology and Biological Sciences Research Council (BBSRC), the Economic and Social Research Council (ESRC), the Natural Environment Research Council (NERC), and the Science and Technology Facilities Council (STFC).",2004,GBR,IEA,
United Kingdom,"Negotiated agreements (public-private sector), Tax relief",Electricity and heat,Combined Heat and Power Strategy to 2010 United Kingdom (2004),NA,2004,GBR,CPD,
United Kingdom,"Fiscal or financial incentives, Infrastructure investments","Electricity and heat, Renewables",Bio-energy Infrastructure Scheme United Kingdom (2004),NA,2004,GBR,CPD,
United Kingdom,"Technology deployment and diffusion, Research & Development and Deployment (RD&D), Demonstration project, Research programme, Technology development","Electricity and heat, Renewables",Research Councils Energy Programme (RCEP) United Kingdom (2004),NA,2004,GBR,CPD,
United Kingdom,"Strategic planning, Regulatory Instruments","Electricity and heat, Renewables",Energy Act United Kingdom (2004),Legislative,2004,GBR,CPD,
United Kingdom,"Market-based instruments, GHG emissions allowances","Industry, Electricity and heat",UK National Allocation Plan 2005 - 2007 United Kingdom (2004),NA,2004,GBR,CPD,
United Kingdom,Grants and subsidies,Electricity and heat,Funding for Using Willow as a Renewable Energy Source United Kingdom (2004),NA,2004,GBR,CPD,
United Kingdom,"Other mandatory requirements, Policy support",Electricity and heat,Regional Approval for Renewable Energy Projects United Kingdom (2004),NA,2004,GBR,CPD,
United Kingdom,"Strategic plans|Targets, plans and framework legislation","Power, Heat and Utilities|Agriculture, Fisheries, Forestry and Hunting|Economy-wide (Multi-sector)|Forestry",Biomass Task Force Report,"The UK Governments Biomass Task Force was assembled in order to investigate and provide recommendation on importance, potentail and role of the biomass sector in reducing overall carbon emissions in the UK to the government. The Task Forces report, published in October 2005, proposed government funding for heat and power generated from a range of biomass feedstocks, including straw, wood chips, waste, energy crops and sewage sludge, and incentives to plant crops for energy generation.The report also urged the UK Government to reduce emissions from decomposing agricultural waste by converting it, via anaerobic digestion, into biogas for burning as a renewable fuel.On 27 April 2006, the Task Force published the Biomass Action Plan, outlining a five-year capital grant scheme for biomass boilers, with funding of 10 million to 15 million pounds over the first two years. The Action Plan put forth plans for a Biomass Energy Centre to provide expert information and advice. The plan also outlined support for energy crops under the Rural Development Programme for England, to have been introduced in 2007.",2005,GBR,IEA,
United Kingdom,"Payments, finance and taxation|Payments and transfers|Grants",Power|Heat and Utilities,Marine Research Development Fund (MRDF),"To fund the research and deployment of large-scale wave and tidal power generation, the UK government has in place a GBP 50m Marine Renewables Deployment Fund (MRDF) that will support the continued development of wave and tidal stream technologies.The MRDF provides a package of measures central to which is a GBP 42m ""Wave and Tidal Stream Energy Demonstration Scheme"". This provides capital grants and revenue support to multi-device early stage commercial generation facilities using technologies that have completed their R & D and are ready to move into a commercial environment.The MRDF also provides GBP 8m to support Infrastructure Projects and Environmental Research. The performance of devices supported by the scheme are monitored; the Department of Trade and Industry having published two protocols, one for wave and one for tidal current, for measuring the energy input and output of devices.",2005,GBR,IEA,
United Kingdom,Regulatory Instruments,"Electricity and heat, Buildings, Heating and cooling, Hot water and cooking, Appliances",Energy Efficiency Commitment United Kingdom (2005),NA,2005,GBR,CPD,
United Kingdom,"Demonstration project, Research & Development and Deployment (RD&D), Policy support, Infrastructure investments, RD&D funding","Electricity and heat, CCS",Carbon Abatement Technology Strategy United Kingdom (2005),NA,2005,GBR,CPD,
United Kingdom,"Fiscal or financial incentives, Advice or aid in implementation, Information provision, Institutional creation, Strategic planning, Research programme","Electricity and heat, Renewables",Biomass Task Force Report United Kingdom (2005),NA,2005,GBR,CPD,
United Kingdom,"Technology deployment and diffusion, Demonstration project","Electricity and heat, Renewables",Marine Research Development Fund (MRDF) United Kingdom (2005),NA,2005,GBR,CPD,
United Kingdom,"Market-based instruments, GHG emission reduction crediting and offsetting mechanism, GHG emissions allowances","Industry, Electricity and heat",UK Implements EU Linking Directive United Kingdom (2005),NA,2005,GBR,CPD,
United Kingdom,"Payments, finance and taxation|Payments and transfers|Grants","Buildings|Power, Heat and Utilities|Economy-wide (Multi-sector)",Low Carbon Buildings Programme,"The Low Carbon Buildings Programme (LCBP) was a UK government GBP 131 million grant programme for microgeneration technologies, launched in April 2006, offering capital grants but now closed.",2006,GBR,IEA,
United Kingdom,"Strategic plans|Payments, finance and taxation|Payments and transfers|Targets, plans and framework legislation|Grants","Buildings|Power, Heat and Utilities",Microgeneration Strategy 2006,"In 2005, the UK Department of Trade and Industry commissioned an independent report: ""Potential for Microgeneration Study and Analysis to scope the feasibility of the implementing policy using various generation technologies and estimate market development out to 2050"".     On 28 March 2006, the Government launched its Microgeneration Strategy, aiming to create conditions under which microgeneration becomes a realistic alternative or supplementary energy generation source for the householder, communities and small businesses.     The government provides grant funding for installation of microgeneration technologies under the Low Carbon Buildings Programme (LCBP). This replaces Clear Skies and the Major PV Demonstration Programme and is currently structured in two phases:     Phase 1 was launched in April 2006. GBP 29.5 million was made available to support projects in households, community organisations, housing associations, public sector and private businesses. This phase was opened for private sector applications under the Low Carbon Building Programme.  Phase 2 takes forward the Chancellor of the Exchequer's 2006 Budget commitment of an additional GBP 50m of capital grant funding for the installation of microgeneration technologies in the public and charity sectors (social housing, libraries, hospitals, schools etc).  The UK government has completed the majority of actions under the Microgeneration Strategy and reported on its implementation in June 2008. 21 out of 25 actions have been completed, three have been superseded by other activities and one has not been completed. It does not represent a picture of current government policy.",2006,GBR,IEA,
United Kingdom,"Payments, finance and taxation|Payments and transfers|Grants","Power, Heat and Utilities|Power generation|Combined heat and power|Heating and Cooling|Electricity and heat generation",Scottish Biomass Support Scheme,"The Scottish Biomass Support Scheme was launched in 2006, with GBP 7.5 million in funding over the financial years 2006-07 and 2007-08. The capital grant scheme is applicable to all formally constituted organisations in Scotland, both public and private, of varying sizes (micro-enterprises and SMEs).Barring exceptional circumstances, the maximum capital grant allowed is GBP 400 000.Funding is provided for two types of applications: Installations (including eligible kit/pipe work and boiler plant) and infrastructure directly related to developing the woodfuel/biomass supply chain (including combined heat and power installations).For installation, 40% of additional costs (50% for SMEs) compared with conventional system are eligible under the scheme. For supply side, this covers up to 40% of additional costs of entering the biomass supply chain, depending on circumstances and activity.Initial funding under the Biomass Support Scheme was disbursed by March 2008. In September 2008 the Scottish government announced GBP 2 million of new funding for the scheme.",2006,GBR,IEA,
United Kingdom,"Green certificates, Other mandatory requirements","Buildings, Electricity and heat",Climate Change and Sustainable Energy Act United Kingdom (2006),Legislative,2006,GBR,CPD,
United Kingdom,Funds to sub-national governments,Electricity and heat,Municipal Government/Energy Company Partnership to Promote Energy Efficiency United Kingdom (2006),NA,2006,GBR,CPD,
United Kingdom,"Grants and subsidies, Strategic planning, Technology development","Electricity and heat, Buildings",Microgeneration Strategy United Kingdom (2006),NA,2006,GBR,CPD,
United Kingdom,Grants and subsidies,"Electricity and heat, Renewables",Scottish Biomass Support Scheme United Kingdom (2006),"The Scottish Biomass Support Scheme was launched in 2006, with GBP 7.5 million in funding over the financial years 2006-07 and 2007-08. The capital grant scheme is applicable to all formally constituted organisations in Scotland, both public and private, of varying sizes (micro-enterprises and SMEs). Barring exceptional circumstances, the maximum capital grant allowed is GBP 400 000. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",2006,GBR,CPD,
United Kingdom,"Research & Development and Deployment (RD&D), Information provision, Grants and subsidies","Electricity and heat, Buildings",Low Carbon Buildings Programme United Kingdom (2006),NA,2006,GBR,CPD,
United Kingdom,"Payments, finance and taxation|Operational funding for institutions|Payments and transfers","Power, Heat and Utilities|Economy-wide (Multi-sector)",Energy Technologies Institute,"The ETI was a public-private partnership between global energy and engineering companies and the UK government established in 2007. Its role was to act as a conduit between academia, industry and the government to accelerate the development of low-carbon technologies. ETI brought together engineering projects that develop affordable, secure and sustainable technologies to help the UK address its long-term emissions reductions targets as well as delivering nearer term benefits. They made targeted commercial investments in nine technology programmes across heat, power, transport and the infrastructure that links them.",2007,GBR,IEA,
United Kingdom,"Payments, finance and taxation|Payments and transfers|Grants","Power, Heat and Utilities|Power generation|Combined heat and power|Economy-wide (Multi-sector)|Heating and Cooling|Electricity and heat generation",Environmental Transformation Fund (ETF),"The Stern Review of 2006 concluded that three elements of policy are required for an effective global response to the threat of dangerous climate change: The pricing of carbon, Support for innovation and deployment of low-carbon technologies, and Removing the barriers to energy efficiency.  The Environmental Transformation Fund (ETF) is part of the second element of the then government response, in the UK and internationally, to create a GBP 1.2 billion fund for the three years from April 2008 to March 2011. The international fund disbursed GBP 800 million over the three years, focusing on projects that supported development and poverty reduction through environmental protection, and will help poor countries to tackle climate change. The domestic element of the ETF had a budget of at least GBP 400 million over the period with spending on the demonstration and deployment of low-carbon, non-nuclear, energy and energy efficiency technologies. Programmes funded included:  Hydrogen Fuel Cell and Carbon Abatement Demonstration Programme  Marine Renewables Deployment Fund  Low Carbon Buildings Programmes  Bioenergy Capital Grants Programme  Offshore Wind Capital Grants programme  Near Zero Emissions from Coal project  Carbon Trusts innovation programme, including research accelerators, technology accelerators, and incubators  Carbon Trust funding for new low-carbon enterprises, including Partnership for Renewables  Carbon Trust investments in low carbon technology businesses  Carbon Trust energy efficiency loans scheme for small and medium sized enterprises  Salix Finance public sector revolving loan schemes and support for low carbon energy innovation",2007,GBR,IEA,
United Kingdom,Grants and subsidies,"Electricity and heat, Buildings",Environmental Transformation Fund (ETF) United Kingdom (2007),NA,2007,GBR,CPD,
United Kingdom,"Policy support, Institutional creation, Research & Development and Deployment (RD&D), Negotiated agreements (public-private sector)","Electricity and heat, Renewables",Energy Technologies Institute United Kingdom (2007),NA,2007,GBR,CPD,
United Kingdom,"Strategic plans|Targets, plans and framework legislation","Power, Heat and Utilities|Power generation|Combined heat and power|Economy-wide (Multi-sector)|Heating and Cooling|Electricity and heat generation",Energy Act 2008,"Introduced in January 2008, the Energy Bill became law on 26 November 2008. The Act contained the legislative provisions required to implement UK energy policy following the publication of the Energy Review 2006 and the Energy White Paper 2007.      This policy is driven by the two long-term energy challenges faced by the UK: tackling climate change by reducing carbon dioxide emissions, and ensuring secure, clean and affordable energy. Key areas:    Strengthens the regulatory framework for offshore gas supply infrastructure to enable private sector investment Creates a regulatory framework to enable private sector investment in Carbon Capture and Storage projects Strengthens the Renewables Obligation to drive greater and more rapid deployment of renewables in the UK Strengthens statutory decommissioning provisions for offshore renewables and oil and gas installations to minimise the risk of liabilities falling to the Government Improves the offshore oil and gas licensing regime in response to changes in the commercial environment and enable the Department for Business Enterprise and Regulatory Reform to carry out its regulatory functions more effectively Ensures the operators of new nuclear power stations accumulate funds to meet the full costs of decommissioning and their full share of waste management costs Introduces amending powers such that Ofgem is able to run the offshore electricity transmission licensing regime more effectively",2008,GBR,IEA,
United Kingdom,Feed-in tariffs or premiums,"Electricity and heat, Renewables",Energy Act United Kingdom (2008),Legislative,2008,GBR,CPD,
United Kingdom,"Other mandatory requirements, Obligation schemes","Electricity and heat, Buildings",Carbon Emissions Reduction Target (Energy Efficiency Commitment 3) United Kingdom (2008),NA,2008,GBR,CPD,
United Kingdom,"Strategic plans|Payments, finance and taxation|Targets, plans and framework legislation","Buildings|Industry|Transport|Power, Heat and Utilities|Economy-wide (Multi-sector)",Low Carbon Industrial Strategy (LCIS),"The UK's Low Carbon Industrial Strategy (LCIS) aimed to ensure that British businesses and workers are equipped to maximise the opportunities and limit the costs of transitioning to a low-carbon economy. It set out the areas of greatest opportunity for businesses, and a programme to assist them in seizing such opportunities.  High-opportunity sectors are:  - Offshore wind;  - Civil nuclear power;  - Carbon capture and storage (CCS);  - Ultra-low carbon vehicles;  - Low-carbon buildings and construction;  - Low-carbon aerospace;  - Chemicals and industrial biotechnology;  - Low-carbon electronics and ICT (Information and Communication Technologies);  - Business and financial services; and  - Carbon markets.  The Strategy included specific support for certain low-carbon sectors, including low-carbon energy sources. Measures include up to GBP 120 million for the development of an offshore wind industry, GBP 60 million for a package of measures to accelerate wave and tidal energy development and deployment, and capital investment of GBP 15 million for a Nuclear Advanced Manufacturing Research Centre to facilitate joint development and production of high quality nuclear components by around 30 companies.  Several funding initiatives also targeted electric vehicles, with GBP 230 million for consumer incentives to reduce the price of electric and plug-in hybrid cars from 2011, GBP 30 million for electric vehicle charging infrastructure development, and the establishment of a cross-Whitehall Office for Low Emission Vehicles (OLEV).  In addition GBP 6 million in funding supported the construction of 60 or more low-carbon affordable homes, GBP 12 million allocated for a new open access demonstrator facility for fermentation of up to 10 tonnes for industrial biotechnologies, and a fund of GBP 2.5million over the next two years will support SMEs in using the facility.  The Manufacturing Advisory Service was expanded, with GBP 4 million in funding, to provide specialist advice to manufacturers on competing for low carbon opportunities, including support for suppliers for the civil nuclear industry. General priorities for low-carbon development included greater energy efficiency, smarter low-carbon procurement and the construction or retrofit of low carbon buildings.   A suite of measures to facilitate the commercialisation of low-carbon innovation and research were also outlined in the LCIS. Budget 2009 allocated additional funding of GBP 450 million to support low-carbon industries and advanced green manufacturing, GBP 50 million for the Technology Strategy Board, and GBP 90 million for detailed design and development work for the CCS demonstration competition. The UK Innovation Investment Fund was also been created, with an initial GBP 150 million of government investment. The Fund will address the financing gap occurring just before new technologies reach the marketplace. The government hopes the Fund will reach GBP 1 billion over the next ten years. Government support for low-carbon innovation will also be co-ordinated and easily accessible. The Strategy is not current and does not represent current government policy.",2009,GBR,IEA,
United Kingdom,"Strategic plans|Targets, plans and framework legislation|Climate change strategies","Buildings|Transport|Power, Heat and Utilities|Economy-wide (Multi-sector)",Low Carbon Transition Plan,"The UK Low Carbon Transition Plan was a white paper outlining how the British economy will be transformed to ensure the UK meets its emission reduction targets, secures its energy supplies for the future, maximises the economic opportunities for jobs, skills and investment as well as ensuring policies are fair to protect the most vulnerable in society. It set out the then government's long-term strategy to radically cut the nation's carbon emissions by 2020 - 18% from 2008 levels (over one third from 1990 levels) and meet its first three carbon budgets. It Is not a statement of current Government policy.",2009,GBR,IEA,
United Kingdom,"Strategic plans|Targets, plans and framework legislation","Power, Heat and Utilities|Economy-wide (Multi-sector)",Renewable Energy Strategy 2009,"The UK Renewable Energy Strategy 2009 is a white paper outlining how the UK will meet its legally-binding target to ensure 15% of energy comes from renewable energy sources by 2020.Under the 2008 Climate Change Act, the UK must meet legally binding carbon ""budgets"", committing the UK to cuts its emissions by 34% by 2020 and 80% by 2050.The Strategy comprises three primary 2020 targets:Over 30% of electricity to be generated from renewable energy sources, mostly from wind power, with biomass, hydro, wave and tidal power playing important roles;12% of heat to be generated from renewable energy sources, from a large range of sources (biomass, biogas, solar, heat pumps);10% of transport energy to come from renewable energy sources.The key measures to achieve the targets are:An expansion and extension of the Renewables Obligation, requiring energy suppliers to sell larger amounts of renewable energy. New measures to increase financial support for offshore wind will also be considered.Introducing payment schemes to support the production of renewable heat and small-scale clean electricity generation by households, industry, businesses and communities.New guaranteed payments will be provided through feed-in tariff schemes from 2010 onwards, and a Renewable Heat Incentive from 2011 onwards. Before the schemes take effect, GBP 45 million in grants have been committed.The Renewable Transport Fuel Obligation will be amended or replaced, taking into account sustainability issues, to ensure transport fuels contain a rising amount of renewable biofuels.The Strategy also creates an Office for Renewable Energy Deployment (ORED) within the Department of Energy  &  Climate Change (DECC) to take forward the commitments outlined in the Strategy.In addition, the Strategy sets out areas for action in four areas.The first aims to improve planning processes to be swifter and more strategic.The second for measures to strengthen the UKs renewable energy industry, including through greater investment and work with the financial sector.The third targets improvements and investments in the electricity grid, including improved grid access, more strategic investments (including in an offshore grid and a smarter grid).Finally, the government outlines commitments for sustainable bioenergy development and use. This will act on the supply-side (woods management, energy crops, use of waste), focus on better sustainability criteria, and measures to facilitate use of biofuels and innovative bioenergy (for example, better fuel quality standards, injection of biogas into the grid, capacity of road and transport for greater biofuel use).The Strategy also commits to using part of GBP 405 million of funding for key emerging technologies for renewable energy technologies, such as wave and tidal generation, offshore wind, and advanced biofuels. The government estimates that the Strategy will provide cumulative savings of 755 MtCO2 between now and 2030, 535 MtCO2 of which will help the UK meet EU Emissions Trading System (EU-ETS) caps, and 220 MtCO2 will provide additional CO2 reductions. Within the additional savings, 73 MtCO2 will be saved over the third carbon budget period (2018 - 2022) and deliver about a sixth of the abatement needed to meet this third budget.",2009,GBR,IEA,
United Kingdom,"Green certificates, Product standards, Other mandatory requirements, Target, Renewable energy target, Formal & legally binding renewable energy target","Electricity and heat, Buildings, Industry, Transport, Renewables",Directive on the Promotion of Energy Produced from Renewable Energy Sources European Union United Kingdom (2009),"10% of energy used in transport by 2020.
20% of energy use from renewables.",2009,GBR,CPD,
United Kingdom,"Economic instruments, Advice or aid in implementation, Information provision, Grants and subsidies","Electricity and heat, Buildings",Community Energy Savings Programme (CESP) United Kingdom (2009),NA,2009,GBR,CPD,
