"Policy ID","Country ISO","Policy name","Policy Title",Jurisdiction,"Supranational region",Country,"Subnational region or state","City or local","Type of policy instrument","Sector name","Policy description","Policy type","Policy stringency","Implementation state","Date of decision","Start date of implementation","End date of implementation","High impact","Policy objective","Source or references","Last update","Impact indicators: comments","Impact indicators: name","Impact indicators: value","Impact indicators: base year","Impact indicators: target year"
211000259,GBR,"Bio-energy Infrastructure Scheme United Kingdom (2004)","Bio-energy Infrastructure Scheme",Country,,"United Kingdom",,,"Fiscal or financial incentives, Infrastructure investments","Electricity and heat, Renewables",,Renewables,,"In force",2004,,,Unknown,Mitigation,http://www.adlib.ac.uk/resources/000/091/330/infrastructure-booklet.pdf,,,,,,
211000891,GBR,"Energy Efficiency Commitment United Kingdom (2005)","Energy Efficiency Commitment",Country,,"United Kingdom",,,"Regulatory Instruments","Electricity and heat, Buildings, Heating and cooling, Hot water and cooking, Appliances",,"Energy efficiency",,Superseded,2005,,,Unknown,Mitigation,https://www.ofgem.gov.uk/ofgem-publications/58749/9520-eecjan05-pdf,,,,,,
211002539,KOR,"Renewable Power Generation Subsidy Republic of Korea (2002)","Renewable Power Generation Subsidy",Country,,"Republic of Korea",,,"Grants and subsidies","Electricity and heat, Renewables",,Renewables,,Superseded,2002,,,Unknown,Mitigation,https://www.iea.org/policies/3821-renewable-power-generation-subsidy?page=7&region=Asia%20Pacific&sector=Non-residential%2CBuildings%2CElectricity&type=Building%20codes%20and%20standards%2CFiscal%2Ffinancial%20incentives,,,,,,
211003320,IND,"Grid Connected Solar Power Rooftop Program India (2016)","Grid Connected Solar Power Rooftop Program",Country,,India,,,"Barrier removal, Fiscal or financial incentives, Grid access and priority for renewables","Electricity and heat, Renewables","The development objective of the Grid-Connected Rooftop Solar Program Project for India is to increase installed capacity of grid-connected rooftop solar photovoltaic (GRPV) and to strengthen the capacity of relevant institutions for GRPV. The program environmental objective (PEO) is to achieve reductions in greenhouse gas (GHG) emissions through the displacement of thermal energy with solar energy. The operation supports the government’s rooftop solar PV program. By increasing the availability of debt financing and improving the capacity of institutions, it will expand uptake of GRPV in the country. The program addresses the barriers to accelerated GRPV installation. It also allows the consumer to internalize the positive environmental externalities of solar power and thus encourages GRPV installation. Climate finance has been used in this operation to buy down the interest rate of rooftop PV loans to early movers in the market. The clean technology fund (CTF) committee has approved United States (U.S.) 125 million dollars to co-finance this GRPV program.",Renewables,,"In force",2016,2016,2022,High,Mitigation,https://projects.worldbank.org/en/projects-operations/project-detail/P155007#results,,,"Capacity of renewables (MW)",40000,2015,2022
211000414,ITA,"Carbon Tax Italy (1999)","Carbon Tax",Country,,Italy,,,"Energy and other taxes","Electricity and heat, General",,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,Ended,1999,,,Unknown,Mitigation,http://www.camera.it/parlam/leggi/98448l.htm,,,,,,
211000429,KOR,"Certification of NRE Systems Republic of Korea (2004)","Certification of NRE Systems",Country,,"Republic of Korea",,,"Performance label, Codes and standards","Electricity and heat, Renewables",,Renewables,,"In force",2004,,,Unknown,Mitigation,,,,,,,
211001377,USA,"Green the Capitol Initiative United States of America (2007)","Green the Capitol Initiative",Country,,"United States of America",,,"Procurement rules, Policy support, Institutional creation, Strategic planning","Electricity and heat, Buildings",,"Energy efficiency",,Ended,2007,,,Unknown,Mitigation,http://cao.house.gov/greenthecapitol/,,,,,,
211004470,TUV,"National Energy Policy Tuvalu (2009)","National Energy Policy",Country,,Tuvalu,,,"Renewable energy target, Political & non-binding renewable energy target","Electricity and heat, Renewables","Executive
100% electricity from renewables by 2020",Renewables,,Ended,2009,,2020,Unknown,Mitigation,http://prdrse4all.spc.int/system/files/final_version_of_tuvalu_policy_11.08.09.pdf,,,,,,
211001938,IDN,"National Electricity Plan (RUKN) Indonesia (2015)","National Electricity Plan (RUKN)",Country,,Indonesia,,,"Renewable energy target, Political & non-binding renewable energy target","Electricity and heat",,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,"In force",2015,2015,2034,High,Mitigation,"http://www.djk.esdm.go.id/pdf/Draft%20RUKN/Draft%20RUKN%202015%20-%202034.pdf
http://www.cseindia.org/userfiles/ilham.pdf
http://www.adb.org/sites/default/files/publication/178039/ino-paper-09-2015.pdf
http://www.pwc.com/id/en/publications/assets/eumpublications/newsflash/2016/PwC%20Indonesia-eum-newsflash-2016-59.pdf",,"Target presented as share of non fossil electricity. Including nuclear -Targets","Share of renewables (%)",23,,2025
211002210,FRA,"Order Establishing the Conditions of the Compensation Mechanism for Electricity Generated from Hydro Power Plants France (2017)","Order Establishing the Conditions of the Compensation Mechanism for Electricity Generated from Hydro Power Plants",Country,,France,,,"Feed-in tariffs or premiums, Regulatory Instruments","Electricity and heat, Renewables","This order sets technology-specific conditions regarding the eligibility of hydro power plants to the compensation mechanism and the amount of the allocated premium. Its overall goal is to promote hydro power through market premium. The eligibility is limited in time; for hydro, duration of payment is 20 years.",Renewables,4,"In force",2017,,,Unknown,Mitigation,"http://www.res-legal.eu/search-by-country/france/sources/t/source/src/arrete-du-1er-mars-2007-hydro/
http://www.res-legal.eu/search-by-country/france/single/s/res-e/t/promotion/aid/feed-in-tariff-tarif-dachat/lastp/131/",,,,,,
211002979,IND,"Uttar Pradesh Mini-Grid Policy India (2016)","Uttar Pradesh Mini-Grid Policy","Subnational region",,India,,,"Grants and subsidies","Electricity and heat, Renewables","The mini-grids supported and regulated by the policy are to be installed in un-electrified areas (mostly rural) with no access to the national grid or in areas with low levels of electricity supply. The maximum size of the mini-grid project is 500 kW. (For details about modalities, see reference below.) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Renewables,,"In force",2016,,,Unknown,Mitigation,https://www.iea.org/policies/6374-uttar-pradesh-mini-grid-policy-2016?country=India&page=2&qs=indi,,,,,,
211001588,DEU,"KfW Programme Offshore Wind Energy Germany (2011)","KfW Programme Offshore Wind Energy",Country,,Germany,,,"Loans, Grants and subsidies","Electricity and heat, Renewables",,Renewables,,"In force",2011,,,Unknown,Mitigation,https://www.kfw.de/inlandsfoerderung/Unternehmen/Energie-Umwelt/index-2.html,,,,,,
211000737,DEU,"Eco-Tax Reform - First Stage Germany (1999)","Eco-Tax Reform - First Stage",Country,,Germany,,,"Energy and other taxes","Industry, Electricity and heat, Transport, Oil, Gas",,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,"In force",1999,,,Unknown,Mitigation,http://www.bmwi.de,,,,,,
211005282,FRA,"Ordinance 2021-167 relating to hydrogen France (2021)","Ordinance 2021-167 relating to hydrogen",Country,,France,,,"Policy support, Institutional creation, Regulatory Instruments","Electricity and heat, Industry, Transport","This order provides the legal certainty necessary to promote investment in future renewable and low-carbon hydrogen technologies in the country. France considers hydrogen paramount to decarbonise the industrial sector, so with this ordinance the legal groundwork has been established to legally safeguard the development of hydrogen technologies.","Other low-carbon technologies and fuel switch, Renewables",,"In force",2021,2021,,Unknown,Mitigation,"https://www.pinsentmasons.com/out-law/analysis/hydrogen-sector-gets-new-legal-framework-boost-in-france
https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000043148001",01/05/2021,,,,,
211001356,DEU,"Green Power Germany (1996)","Green Power",Country,,Germany,,,"Regulatory Instruments, Procurement rules, Monitoring, Other mandatory requirements","Electricity and heat, Renewables",,Renewables,,"In force",1996,,,Unknown,Mitigation,https://www.iea.org/policies/4061-green-power?country=Germany&page=6&qs=turkey,,,,,,
211001524,ZAF,"Integrated Resource Plan South Africa (2019)","Integrated Resource Plan",Country,,"South Africa",,,"Strategic planning, Renewable energy target, Political & non-binding renewable energy target","Electricity and heat, Coal, Gas, Nuclear, Renewables","Integrated Resource Plan (2019) is the first update of the original IRP2011.
Integrated Resource Plan (2019) aims to decommission over 35 GW (of 42 GW currently operating) of Eskom’s coal generation capacity by 2050, with 5.4 GW already by 2022 and 10.5 GW by 2030. The plan outlines 7.2 GW of new coal capacity will be built (5.7 GW already under construction and 1.5 GW to be commissioned by 2030) and renewables-based power generation capacity to increase with an additional 15.8 GW for wind and 7.4 GW for solar by 2030.
Lastly, there is no new nuclear capacity procurement actual capacity planning until 2030, but operational lifetime of the Koeberg power plant by 20 years suggested.","Energy efficiency, Renewables",,"In force",2019,2020,2030,High,"Energy access, Mitigation","https://www.egsa.org.za/wp-content/uploads/2019/10/IRP-2019_corrected-as-gazetted-18-October-2019-No.-42784.pdf
https://newclimate.org/wp-content/uploads/2020/10/NewClimate_PBL-CLIMA_2020OctUpdate.pdf",,,,,,
211001332,ITA,"Grant for Solar Thermal Research Italy (2001)","Grant for Solar Thermal Research",Country,,Italy,,,"Technology deployment and diffusion","Electricity and heat, Renewables",,Renewables,,Ended,2001,,2003,Unknown,Mitigation,https://www.iea.org/policies/3810-grant-for-solar-thermal-research?country=Italy&sector=Electricity,,,,,,
211000017,CHN,"12th Five Year Plan for National Strategic Emerging Industries China (2012)","12th Five Year Plan for National Strategic Emerging Industries",Country,,China,,,"Strategic planning, Technology development, Renewable energy target","Electricity and heat, Nuclear, Renewables",,"Renewables, Other low-carbon technologies and fuel switch",,Ended,2012,,2017,Unknown,Mitigation,https://www.iea.org/policies/5474-12th-five-year-plan-for-national-strategic-emerging-industries?q=12th%20Five%20Year%20Plan%20for%20National%20Strategic%20Emerging%20Industries&s=1,,,,,,
211002932,CAN,"Transition Principles for Emission Reduction Investments in Coal-fired Power Stations - Alberta Canada (2004)","Transition Principles for Emission Reduction Investments in Coal-fired Power Stations - Alberta","Subnational region",,Canada,,,"Policy support","Electricity and heat",,"Energy efficiency, Other low-carbon technologies and fuel switch",,"In force",2004,,,Unknown,Mitigation,,,,,,,
211003950,IRN,"General Policies on Energy decreed by the Supreme Leader Iran (2001)","General Policies on Energy decreed by the Supreme Leader",Country,,Iran,,,"Strategic planning","Electricity and heat, Renewables, Gas",Executive,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,"In force",2001,,,,Mitigation,http://www.lse.ac.uk/GranthamInstitute/law/general-policies-on-energy-decreed-by-the-supreme-leader/,,,,,,
211002500,FRA,"Renewable Energy Feed-in Tariffs (III) France (2006)","Renewable Energy Feed-in Tariffs (III)",Country,,France,,,"Feed-in tariffs or premiums","Electricity and heat, Renewables",,Renewables,,"In force",2006,,,Unknown,Mitigation,http://www.developpement-durable.gouv.fr/Les-tarifs-d-achat-de-l;12195.html,,,,,,
211001565,JPN,"Methane to Markets Partnership Japan (2004)","Methane to Markets Partnership",Country,,Japan,,,"Policy support","Industry, Electricity and heat, Agriculture and forestry, Agricultural CH4, Fossil fuel exploration and production, Waste CH4","""Japan joined the Methane to Markets Partnership in 2004. An international initiative to advance cost-effective, near-term reductions of methane emissions, the Partnership compels signatory nations to collaborate with other governments and the private sector to reduce global methane emissions and enhance economic growth, promote energy security, and improve the environment. Other Partnership aims include improving mine safety, reducing waste, and improving local air quality. The Partnership initially targets three major methane sources: landfills, underground coal mines, and natural gas and oil systems.""(IEA, 2015 - see link below) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,Superseded,2004,,,Unknown,Mitigation,https://www.iea.org/policies/4329-japan-methane-to-markets-partnership,,,,,,
211002680,USA,"Solar America United States of America (2006)","Solar America",Country,,"United States of America",,,"Information and education, Advice or aid in implementation, Policy support, Strategic planning, Research & Development and Deployment (RD&D)","Electricity and heat, Renewables",,Renewables,,Superseded,2006,,,Unknown,Mitigation,http://www1.eere.energy.gov/solar/solar_america/index.html,,,,,,
211002180,CHN,"Offshore Wind developmnet plan China (2009)","Offshore Wind developmnet plan",Country,,China,,,"Strategic planning, Direct investment, RD&D funding","Electricity and heat, Renewables",,Renewables,,"In force",2009,,,Unknown,Mitigation,http://en.ndrc.gov.cn/,,,,,,
211001990,MEX,"National Infrastructure Program Mexico (2014)","National Infrastructure Program",Country,,Mexico,,,"Strategic planning","Buildings, Electricity and heat, Industry, Transport","Overarching Infrastructure investments plan for 2014-2018, including the following priorities:
- Enhanced communication networks
- Inter-urban and trans-peninsular rail line construction and upgrades
- Electricity generation, transmission and distribution projects
- Drainage/sewage works and protection for flood prevention","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Non-energy use",,Ended,2014,2014,2018,Unknown,Mitigation,"http://bakerxchange.com/cv/612d5a4cf851a2dfa24d03d88395ad6d334713f5/p=5628422
https://www.pwc.com/mx/es/industrias/archivo/2014-05-analysis-pni.pdf",,,,,,
211003351,THA,"Alternative Energy Development Plan (2015-2036) Thailand (2015)","Alternative Energy Development Plan (2015-2036)",Country,,Thailand,,,"Strategic planning, Research & Development and Deployment (RD&D), Renewable energy target, Political & non-binding renewable energy target","Buildings, Heating and cooling, Hot water and cooking, Electricity and heat, General, Transport","The AEDP 2015-2036, which succeeded the AEDP2012-2021, aims to increase the share of renewable energy in total final energy consumption to 30% by 2036. The following sectoral targets are also set: Electricity: 20% Heat: 35% Transport fuels: 25%",Renewables,,Superseded,2015,2015,2036,Unknown,"Energy access, Mitigation","https://www.mtec.or.th/files/chanpen/1_DEDE.pdf
http://www4.unfccc.int/submissions/INDC/Published%20Documents/Thailand/1/Thailand_INDC.pdf",,"Share of renewables in final energy (%), Share of renewables in heating (%), Share of renewables in transport (%)","Share of renewables (%), Share of renewables (%), Share of renewables (%)","30, 35, 25","2010, 2010, 2010","2036, 2036, 2036"
211005255,DEU,"Fuel Emissions Trading Act (BEHG) Germany (2019)","Fuel Emissions Trading Act (BEHG)",Country,,Germany,,,"Economic instruments, Market-based instruments, GHG emissions allowances","Electricity and heat, Transport","The purpose of this law is to create the basis for trading in certificates for emissions from fuels and to ensure the overall goal that is to these emissions be priced helping to reach the carbon neutrality by 2050. This law introduces emissions trading for the heating and transport sectors from 2021 onward and the 2020 amendment established the fixed price of certificates starting in 25 euros in 2021 and achieving 55 in 2025. From 2026 onwards it will be sold at fixed priced and auctioned by the competent authority. ","Energy efficiency, Energy service demand reduction and resource efficiency",,"In force",2019,2021,,Unknown,Mitigation,https://climate-laws.org/geographies/germany/laws/fuel-emissions-trading-act-behg,01/05/2021,,,,,
211004307,KAZ,"Law on the electric power industry, No 588-II Kazakhstan (2004)","Law on the electric power industry, No 588-II",Country,,Kazakhstan,,,"Strategic planning","Electricity and heat","Legislative. Amended 2009.","Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,"In force",2004,,,,Mitigation,"http://faolex.fao.org/docs/pdf/kaz67596E.pdf
http://www.mondaq.com/x/365796/Oil+Gas+Electricity/Legal+Framework+Of+Investing+In+Power+Industry+Of+Kazakhstan",,,,,,
211001870,FRA,"Multi Annual Energy Plan France (2015)","Multi Annual Energy Plan",Country,,France,,,"Formal & legally binding climate strategy, Strategic planning, Energy efficiency target, Renewable energy target, Formal & legally binding renewable energy target","Buildings, Electricity and heat, Renewables, General","The Multi Annual Energy Plan (MAEP) is a tool to help France reach carbon neutrality by 2050. It was created through the implementation of the Law on Energy Transition for Green Growth (2015). The document focuses on 2 successive five-year plans (2019-2023; 2024-2028). It will be reviewed and updated before the second phase is implemented. The goals presented in the document are as follow:
By 2023: renovation of 2.5 million homes; replacement of fossil fuel heating systems by renewable ones or high performance gaz boilers; 1,2 million personal EVs; 20,000 gas-fueld lorries; 9,5 million homes heated with certified wood burners; 3,4 million homes connected to district heating systems.
By 2028: Reducing 14% of final energy consumption (all sectors, baseline 2012); reducing fossil fuel primary consumption by 35% (baseline 2012); doubling production of electricity through renewable energies; increasing the production of renewable heat by 40%.","Energy efficiency, Renewables",4,"In force",2015,2019,2028,High,Mitigation,"https://www.ecologique-solidaire.gouv.fr/sites/default/files/2018.11.27_A4_PPE_SNBC.pdf
https://www.ecologique-solidaire.gouv.fr/sites/default/files/14.%20PPE%20-English%20Executive%20summary%20for%20public%20consultation.pdf",,,,,,
211004008,ESP,"ICO-IDAE Financing Line Spain (2002)","ICO-IDAE Financing Line",Country,,Spain,,,Loans,"Electricity and heat, Renewables","In 2002 - under the Renewable Energy Plan 2000-2010 - a financing line has been provided by the Official Credit Institute (ICO) and the Institute for Diversification and Energy Saving (IDAE) for renewable energies and improving efficiency projects (saving and fuel switching in industry, energy efficiency in buildings, etc.). The maximum that can be financed in a project is 70% of the investment by means of loans at low interest rates, between 2-5%. The programmes total budget for 2001 was €9.62 million. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Renewables,,Ended,2002,,,Unknown,Mitigation,"https://www.iea.org/policies/3851-ico-idae-ficing-line?country=Spain&page=5&qs=spai
https://www.iea.org/policies/2298-financing-for-renewables-and-energy-efficiency?country=Spain&page=5&qs=spai",,,,,,
211002723,CHN,"Standard for Air Pollutants from Coal-burning, Oil-burning, and Gas-fired Boilers China (2001)","Standard for Air Pollutants from Coal-burning, Oil-burning, and Gas-fired Boilers",Country,,China,,,"Regulatory Instruments","Electricity and heat, Coal, Gas, Oil",GB13271-2001,"Non-energy use",,"In force",2001,,,Unknown,"Air pollution",http://www.iea-coal.org.uk/documents/82539/9516/China,,,,,,
211003380,THA,"Oil Plan 2015-2036 Thailand (2015)","Oil Plan 2015-2036",Country,,Thailand,,,"Strategic planning","Electricity and heat, Gas, Oil","The Thailand Oil Plan 2015 -2036 is a long-term plan to support fossil fuel management in line with the goals of the Energy efficiency plan and Alternative energy development plan (AEDP 2015), while taking into account the environment and potential risks to the country's energy security. The Plan, which also covers natural gas management, sets five key management principles and details each with proposed measures: 1) Support measures to save fuel in the transportation sector; 2) Promote optimal type of fuel according to uses; 3) Restructuring prices of fuel to reflect cost of pollution, road damage and other externalities; 4) Enhance ethanol and biodiesel consumption; 5) Encourage investment in the fuel infrastructure.","Energy efficiency, Other low-carbon technologies and fuel switch",,"In force",2015,,,Unknown,Mitigation,"http://www.eppo.go.th/images/POLICY/ENG/oil_plan2558.pdf
https://climate-laws.org/cclow/geographies/179/policies/2051",,,,,,
211003002,MEX,"Resolution on grid connections for small scale solar generators Mexico (2007)","Resolution on grid connections for small scale solar generators",Country,,Mexico,,,"Grid access and priority for renewables","Electricity and heat","The resolution issues grid connection rules for small scale (",Renewables,4,"In force",2007,,,Unknown,Mitigation,https://www.iea.org/policies/5814-resolution-on-grid-connections-for-small-scale-solar-generators?country=Mexico&page=,,,,,,
211004955,NOR,"Strategy for Small-scale Hydropower Norway (2003)","Strategy for Small-scale Hydropower",Country,,Norway,,,"Tax relief","Electricity and heat, Renewables","Hydropower plants less than 5 MW are exempt from natural resource and ground rent taxes. All new renewable energy (including small scale hydro power) is covered by the electricity certificate scheme. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Renewables,,"In force",2003,,,Unknown,Mitigation,https://www.iea.org/policies/4042-strategy-for-small-scale-hydropower?country=Norway&page=2&qs=norway,,,,,,
211001783,CAN,"Manitoba Hydro Lowers Interest Rate on Power Smart Loans Canada (2003)","Manitoba Hydro Lowers Interest Rate on Power Smart Loans","Subnational region",,Canada,,,"Fiscal or financial incentives","Electricity and heat",,Renewables,,"In force",2003,,,Unknown,Mitigation,http://www.gov.mb.ca/chc/press/top/2003/09/2003-09-16-01.html,,,,,,
211004099,COL,"Implementation of Mechanisms of Electricity Demand Response (Decree 2492/2014) Colombia (2014)","Implementation of Mechanisms of Electricity Demand Response (Decree 2492/2014)",Country,,Colombia,,,"Strategic planning, Regulatory Instruments","Electricity and heat, Renewables","The decree 2492 of 2014 explains how the protocol will be developed in terms of implementation so that non-conventional sources, mainly renewable, give a timely response to demand when conventional ones cannot meet it. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Renewables,,"In force",2014,,,Unknown,Mitigation,https://www.iea.org/policies/6417-implementation-of-mechanisms-of-electricity-demand-response-decree-2492-of-2014?country=Colombia&qs=colombi,,,,,,
211004919,URY,"Solar Photovoltaic Dispatch Uruguay (2013)","Solar Photovoltaic Dispatch",Country,,Uruguay,,,"Regulatory Instruments, Codes and standards, Other mandatory requirements","Electricity and heat, Renewables","The law stipulates the conditions for grid dispatch of solar PV. It states that solar PV based electricity will be considered to have zero marginal cost. The solar PV generation will be dispatched if the plants and the solar resource are available and there are no technical restrictions. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Renewables,,"In force",2013,,,Unknown,Mitigation,https://www.iea.org/policies/5537-solar-photovoltaic-dispatch?country=Uruguay&qs=urugu,,,,,,
211000697,USA,"Duncan Hunter National Defense Authorisation Act for Fiscal Year 2009 Energy Provisions United States of America (2008)","Duncan Hunter National Defense Authorisation Act for Fiscal Year 2009",Country,,"United States of America",,,"Obligation schemes","Electricity and heat, Oil, Renewables, General, Transport","Legislative. Concerns use of energy and fuel in the armed forces.","Energy efficiency, Other low-carbon technologies and fuel switch, Renewables",,"In force",2008,,,Unknown,Mitigation,https://www.congress.gov/bill/110th-congress/house-bill/5658/text,,,,,,
211000848,GBR,"Energy Act United Kingdom (2010)","Energy Act",Country,,"United Kingdom",,,"Fiscal or financial incentives","Electricity and heat, CCS",Legislative,"Other low-carbon technologies and fuel switch",,"In force",2010,,,Unknown,Mitigation,http://www.lse.ac.uk/GranthamInstitute/law/energy-act-2010/,,,,,,
211003124,USA,"Wind Powering America United States of America (1999)","Wind Powering America",Country,,"United States of America",,,"Fiscal or financial incentives, Advice or aid in implementation, Technology deployment and diffusion, Negotiated agreements (public-private sector)","Electricity and heat, Renewables",,Renewables,,"In force",1999,,,Unknown,Mitigation,https://www.nrel.gov/docs/fy00osti/27705.pdf,,,,,,
