Policy,URL,Description,Source,Last updated,Learn more,Topics,Policy types,Sectors,Technologies,End uses,Country,Year,Status,Jurisdiction,country_code
Programme for energy renovation of buildings owned by the central government (PREPAC),https://www.iea.org/policies/745-programme-for-energy-renovation-of-buildings-owned-by-the-central-government-prepac,"The Interministerial Decree 16/9/2016 defines the implementing requirements of the Programme for energy renovation of buildings owned by the central government (PREPAC). The following Interministerial Decree (5/12/2016) approves the programme for the years 2014 and 2015, including the financing of 68 projects for a total investment of EUR 73 million.",Undefined,26 September 2019,https://www.mise.gov.it/index.php/it/normativa/decreti-interministeriali/2035552-decreto-interministeriale-del-16-settembre-2016-programma-di-riqualificazione-energetica-della-pubblica-amministrazione-centrale,Energy Efficiency,Payments|finance and taxation,Buildings|Existing buildings and retrofits,Undefined,Undefined,Italy,2016,In force,National,ITA
Renovation of street lighting (Phase I funding),https://www.iea.org/policies/2645-renovation-of-street-lighting-phase-i-funding,"The purpose of allocating grants is to increase the efficiency of consumption of electrical energy in street lighting. As a result of the support, the consumption of electrical energy in street lighting will decrease as a result of the use of more efficient LED-lighting technology. The project contributes to achieving the following output figures of the activities under the measure: decreased consumption of electrical energy in street lighting; increased number of renovated street lighting points; calculated annual decrease of CO2. Older lamps are changed for LED and smart technology.  Grants are available covering 35 to 80% of eligible project costs In the first round of funding, 22 street lighting renovation projects were supported, with a total cost of EUR 9,952,992, to which the project proponents will add EUR 5,384,540 in self-financing.",Undefined,18 October 2019,https://www.kik.ee/en/supported-activity/renovation-street-lighting-infrastructure,Cities|Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Buildings,Lighting technologies|Exterior lighting (incl. street),Undefined,Estonia,2016,Ended,National,EST
Support for retrofits and energy efficiency in certain areas,https://www.iea.org/policies/8742-support-for-retrofits-and-energy-efficiency-in-certain-areas,"Since October 2016, the government has supported investment to stimulate renovation and greater energy efficiency of rental housing in areas with socio-economic challenges. The government allocated SEK 800 million for the aid in 2016 and has proposed SEK 1 billion annually for 2017-20. The aid consists of two parts that relate to renovation and energy efficiency measures. Support is only provided to projects that achieve at least a 20% improved energy performance and provide renovations that improve the quality of the building. The energy efficiency improvements need to be reported in an energy review. The aid for energy efficiency measures is up to 5% of the total renovation cost and goes to the property owner. The renovation aid provides 20% of the cost of renovation, which goes directly to the tenants through a rent reduction over a seven-year period.",Undefined,4 November 2019,https://www.riksdagen.se/sv/dokument-lagar/dokument/svensk-forfattningssamling/forordning-2016837-om-stod-for-renovering-och_sfs-2016-837,Energy Efficiency|Energy Poverty,"Payments, finance and taxation|Payments and transfers|Grants",Buildings|Residential,Undefined,Undefined,Sweden,2016,In force,National,SWE
Canada Mortgage and Housing Corporation (CMHC) Mortgage Loan Insurance Refund (Home Purchase/Construction/Renovation),https://www.iea.org/policies/445-canada-mortgage-and-housing-corporation-cmhc-mortgage-loan-insurance-refund-home-purchaseconstructionrenovation,"Canada Mortgage and Housing Corporation (CMHC) offers a 10% premium refund on its mortgage loan insurance premiums, as well as extended amortization to a maximum of 35 years (subject to lender availability), to individuals who use CMHC-insured financing to purchase an energy efficient home, purchase a home and make energy-saving renovations, or renovate their existing home to make it more energy efficient. The refund is a one-time payment. The refund is also available for CMHC-insured refinance mortgages for the purpose of making energy-saving renovations to houses with an EnerGuide for Houses rating of less than 82. The renovations must increase the house's rating by at least five points and to a value of at least 40.",Undefined,5 November 2017,https://www.cmhc-schl.gc.ca/en/finance-and-investing/mortgage-loan-insurance/the-resource/energy-efficient-housing-made-more-affordable-with-mortgage-loan-insurance#,Energy Efficiency,"Payments, finance and taxation|Payments and transfers",Buildings|Residential|Existing buildings and retrofits,Undefined,Undefined,Canada,2015,In force,National,CAN
Energy-saving fund for loans in the rented sector (FEH),https://www.iea.org/policies/7726-energy-saving-fund-for-loans-in-the-rented-sector-feh,"Energy-saving Fund rented housing sector (FEH), landlords who are planning an energy efficient renovation for at least 5 of their dwellings, may be eligible for an Energy-saving Fund loan.",Undefined,14 September 2020,https://www.rvo.nl/subsidies-regelingen/fonds-energiebesparing-huursector,Energy Efficiency,"Payments, finance and taxation|Loans / debt finance|Finance",Buildings|Residential,Undefined,Undefined,Netherlands,2014,Ended,National,NLD
Integrated Regional Operational Programme,https://www.iea.org/policies/7705-integrated-regional-operational-programme,IROP aims at the renovation of multiapartment buildings and replacement of inefficient public transport vehicles,Undefined,5 November 2017,https://irop.mmr.cz/cs/,Energy Efficiency,"Payments, finance and taxation|Payments and transfers",Buildings|Transport|Economy-wide (Multi-sector),Transport technologies,Undefined,Czech Republic,2014,Ended,National,CZE
JESSICA-F.I.D.A.E Fund (Energy Saving and Diversification Investment Fund),https://www.iea.org/policies/427-jessica-fidae-fund-energy-saving-and-diversification-investment-fund,"The aim of this fund is to finance urban sustainable development projects to improve energy efficiency, use renewable energies and be developed by energy services companies (ESCOs) or other private enterprises. This fund is to finance all the investments directly bound to the issue of energy efficiency and the use of renewable energies in urban environments, and it is compatible with other public or private funding sources, as well as with subsidies either co-funded or not by the FEDER. Priority issues:  Energy efficiency and energy management (existing and new buildings)  Renewable energy projects (solar thermal, solar PV, biomass)  Projects related to clean transport, contributing to improvement of energy efficiency and the use of renewable energies  These are the conditions that a project must meet to be fundable:  Being located in one of the Spanish Regions included in F.I.D.A.E. - Andalusia, the Canary Islands, Castile & Leon, Castile-La Mancha, Ceuta, Valencia, Galicia, Melilla & Murcia Region.  Being included in one of the following sectors:  Building: public and private buildings  Industry: firms of any size  Transport: infrastructures, equipment and both public and private transport fleet (for public use).  Public services infrastructures related to energy:  Outdoor public lighting and traffic lights.  Local infrastructures, inclusive of intelligent networks, information technology and communications (TIC) related to priority issues.  Take part in one of the priority issues:  Energy Efficiency Projects and energy management:  Renovation of existing buildings, with actions on the thermal envelope, heating installations, cooling, lighting, etc.  New buildings with energy rating A or B.  Renovation or enlargement of the heat/cool existing networks.  Renewable Energy Projects:  Solar thermal.  Solar PV if integrated in an energy efficiency project.  Biomass  Projects related to clean transport, contributing to improvement of energy efficiency and the use of renewable energies (electric recharge infrastructures for electric or plug-in hybrid vehicles, braking energy recovery from electric public transport, fleet management, electric or hybrid buses, etc.)  Ensuring an acceptable return of the investment.  Being included in an integrated plan for sustainable urban development  Not being finished on receiving the funding.  The management and marketing of JESSICA-F.I.D.A.E. Fund was entrusted by the EIB to BBVA through public tender",IEA/IRENA Renewables Policies Database,5 November 2017,https://www.idae.es/uploads/documentos/documentos_Guia_elegiblidad_v16_56e2ca80.pdf,Energy Efficiency|Renewable Energy,"Payments, finance and taxation|Payments and transfers|Grants","Buildings|Services|Industry|Transport|Power, Heat and Utilities|Power generation|Economy-wide (Multi-sector)|Electricity and heat generation",Solar PV|Solar thermal heaters|Solar,Undefined,Spain,2014,Ended,National,ESP
The STEP subsidy (Incentive scheme for energy performance in the rental sector),https://www.iea.org/policies/7733-the-step-subsidy-incentive-scheme-for-energy-performance-in-the-rental-sector,"The government is providing landlords in the social rental sector with a subsidy of € 400 million for investments in energy-efficiency in the 2014-2017 period with the aim of contributing to the objectives of the agreement on energy saving in the rental sector. The STEP subsidy encourages short-term investments to make residential rental properties energy-efficient. The scheme has been relaxed as of 1 July 2016 with the following changes,- the subsidy sums have been raised. This increase applies to new applications and with retroactive force for subsidies already awarded.- in order to encourage extremely energy efficiency renovation, a subsidy is now also awarded for renovations that exceed the Energy Index (EI) of 1.20. This means that extremely energy efficient renovations such as nearly zero energy homes or energy-neutral homes receive a greater subsidy than previously. The minimum improvement under the Energy Index is, for a number of specific cases, lowered from class 3 to class 2. This means that more houses will be eligible for a subsidy. The link to the Energy Agreement does however remain in place (in 2020 average label B in the social rental sector and a minimum label C for 80% of private rental properties).",Undefined,8 November 2019,"https,//www.rvo.nl/subsidies-regelingen/stimuleringsregeling-energieprestatie-huursector-step",Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Buildings|Residential,Undefined,Undefined,Netherlands,2014,Ended,National,NLD
Financial aid programme for energy savings and renewable energy in housing 2013,https://www.iea.org/policies/1599-financial-aid-programme-for-energy-savings-and-renewable-energy-in-housing-2013,"The regulation of 12 December 2012 sets up a new financial aid scheme called  ""PRIMe House €. The regulation went into force on 1 January 2013 superseding regulation in force between  2008 and 2012.Scheme provides financial support in form of grants for projects aiming to improve energy savings and usage of renewable energy sources in the building sector.  The scheme focus is on renovation and improvement of already existing households and enactment of new households with high energy efficiency indicators and substantial usage of renewable energy sources.Only private homeowners can benefit from the scheme.Levels of the support possible:Individual homeowners can benefit from up to EUR 15000 for households with low energy consumption;Less energy efficient households for renovation and installations or energy efficient and renewable energy technologies can receive up to EUR 40000 in grants.  Individuals installing following renewable installations can benefit from the support:Solar thermal installations;Solar PV;Heat pumps;Wood boilers;",IEA/IRENA Renewables Policies Database,5 November 2017,http://www.legilux.public.lu/leg/a/archives/2012/0264/a264.pdf#page=2,Energy Efficiency|Renewable Energy,"Payments, finance and taxation|Payments and transfers|Grants","Buildings|Residential|Power, Heat and Utilities|Power generation|Heating and Cooling|New buildings|Existing buildings and retrofits|Electricity and heat generation","Space, water and process heating technologies|Solar PV|Solar thermal heaters|Solar|Heat pumps",Undefined,Luxembourg,2013,In force,National,LUX
Legislative Decree 4 June 2013 (DL 4/6/2013) - Transposition of the European Directive 2010/31/UE on the energy performance of buildings,https://www.iea.org/policies/1355-legislative-decree-4-june-2013-dl-462013-transposition-of-the-european-directive-201031ue-on-the-energy-performance-of-buildings,"Law of 3 August 2013, n. 90, recently published in the official gazette, converted into law (with amendments) the Decree- Law no. 63 of 2013 on  ""Urgent measures for the transposition of Directive 2010/31/EU of the European Parliament and of the Council of 19 May 2010 on the energy performance of buildings . It supersedes the Legislative Decree 192/2005 about the transposition of the Directive 2002/91/CE on the energy performance of buildings. Objectives of the Decree are as followings: -encourage improvements in the energy performance of buildings;-encourage the development , enhancement and integration of renewable energy sources in buildings;-to support energy diversification;-promote the competitiveness of the domestic industry through technological development ;achieve the national targets for energy and the environment;-extend and enhance the system of tax deductions (""detrazione"") from 55 % to 65% (10 equal yearly amounts) for the redevelopment of Buildings (Eco- bonus), building renovations, the installation of RES-H technologies (e.g. 60% for heat pumps, solar thermal collectors, 50% for biomass-fueled heat generators (since 2017(-Art. 3, par. 4 L 205/17)) . In the case of private individuals, this disposition is valid for works undertaken up to 31 December 2018 and in the case of common buildings the disposition is valid up to 31 December 2021. For energetic requalification works aimed at improving the winter and summer energy performance of common buildings, the tax deduction will amount to 70% or 75% and works can be undertaken between 1st January 2017 and 31 December 2021 (Art. 1.2, par. a.3 L 232/16). The maximum amounts for the tax deduction scheme are:-Aerothermal and Geothermal: € 30,000, to be distributed over three years with three quotas of equal amount (Art. 1, c. 347, l. 296/06 in conjunction with Art. 1, c. 286, l. 244/07). -Solar Thermal plants: € 60,000, to be distributed over ten years with ten quotas of equal amount (Art. 1, c. 346, l. 296/06 in conjunction with Art. 1, c. 48, l. 220/10). -Energetic requalification works aimed at improving the winter and summer energy performance of common buildings : €40,000, to be distributed over ten years with ten quotas of equal amount (Art. 1.2-quarter L 232/16).  The tax deduction (“detrazione”) is conceded only if installation is validated by a certified technician (Art. 1, c. 348, l. 296/06) (except for solar thermal)  In order to implement the Directive on the energy performance 2010/3/UE, the decree: - adopts at the national level a methodology for calculating the energy performance of buildings, taking into account, among other things, the thermal characteristics of the building and of air-conditioning and hot water supply;- provides minimum energy efficiency requirements to achieve levels of optimal cost. The requirements to be applied to new buildings and those undergoing major renovation or upgrading the energy efficiency are reviewed every 5 years;- defines ""nearly zero energy buildings"" and is drawn up a strategy for their growth through the implementation of a national plan, to be determined by 30.06.2014, which includes an indication of the way in which it applies this definition, intermediate targets for improving the energy performance of new buildings by 2015, information on the policies and financial measures or other measures taken to promote the improvement of the energy performance of buildings.",IEA/IRENA Renewables Policies Database,3 December 2019,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legge:2013-06-04;63!vig=,Energy Efficiency|Renewable Energy,"Regulation|Audits and inspections|Codes and standards|Building codes and standards|Payments, finance and taxation|Taxes, fees and charges|Payments and transfers|Tax credits and exemptions|Prescriptive requirements and standards",Buildings|Heating and Cooling,Solar thermal heaters|Geothermal electricity|Electric air-source heat pumps|Geothermal|Biomass and renewable waste,Undefined,Italy,2013,In force,National,ITA
Plan for Promoting Energy Rehabilitation of Hotel Sector,https://www.iea.org/policies/1062-plan-for-promoting-energy-rehabilitation-of-hotel-sector,"The Plan to Promote the Environment in the hotel sector, PIMA SOL, approved in Cabinet Meeting on 2 August 2013, was an initiative devoted to reducing greenhouse gas emissions (GHG) in the Spanish tourism sector through the energy renovation of hotel installations. The Ministry of Agriculture, Food and the Environment purchased the greenhouse gas emission reductions that were generated in hotels through renovation projects, with a financial aid package allocation of M€5.21. The Plan will also counted on the financing of the European Investment Bank (EIB), which approved on 29 July 2013 a line worth M€ 200 through Spanish banks. The latter would in turn, contribute another M€ 200 with very advantageous interest rates and repayment periods. The beneficiaries of PIMA SOL were hotel facilities with energy renovation projects meeting the minimum conditions set out in the Plan. Renovation projects were to reach a minimum energy improvement rate that would translate in, at least, two letters higher on the energy rating or else, reach letter B. Some of the measures included in the Plan are the insulation improvement actions for façades, windows and roofs; the inclusion of control systems for heating & cooling, and lighting; plate water-heating systems; passive heating and cooling systems attained with smarter architecture; more efficient heat-cool equipment; geothermal energy and biomass in heating & cooling; and water-efficient management systems.  Royal Decree 635/2013, of 2 August, developing the “Plan to Promote the Environment in the hotel sector PIMA SOL"", for the energy renovation of its installations, and regulating the further acquisition of carbon credits by the Carbon Fund for a sustainable economy.",Undefined,5 November 2017,Undefined,Energy Efficiency,"Payments, finance and taxation|Investment in assets|Performance-based payments|Payments and transfers|Feed-in tariffs/premiums|Finance",Buildings|Services|Industry|Existing buildings and retrofits,Industry sector-specific processes and technologies|Manufacuturing technologies and systems,Undefined,Spain,2013,Ended,National,ESP
