Policy,URL,Description,Source,Last updated,Learn more,Topics,Policy types,Sectors,Technologies,End uses,Country,Year,Status,Jurisdiction,country_code
Grants to Purchase Low CO2 Emission Cars and Remove Old Inefficient Cars from Roads,https://www.iea.org/policies/6755-grants-to-purchase-low-co2-emission-cars-and-remove-old-inefficient-cars-from-roads,"The scrappage scheme, which this year has an allocation of €1.5 million. New M1 Vehicles or M1 Hybrid Vehicles are eligible for this scheme when de-registering and scrapping a vehicle from the same category. This grant varies from €800 to €2,000. The sum of €800 is given to applicants registering new M1 Category Vehicles with CO2 emissions between 101 and 130g/km while M1 Vehicles with CO2 emissions up to 100g/km are eligible for €900 or the sum equivalent to the amount paid for registration tax for the same vehicle up to a maximum of €1,500. When an applicant is registering an M1 Hybrid Vehicle with CO2 emissions between 40 and 65g/km, they are eligible for a grant up to €2,000",Undefined,5 November 2017,https://www.transport.gov.mt/news/transport-schemes-2019-2772,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Malta,2017,In force,National,MLT
Malta - Purchase Subsidies for individuals and NGOs,https://www.iea.org/policies/6630-malta-purchase-subsidies-for-individuals-and-ngos,"Maximum grant of 14,000 but capped as follows per car: Option A - 7,000 grant on the purchase of a new full electric vehicle in conjunction with an over ten year old ICE conventional vehicle. Option B - 4,000 grant on the purchase of a new electric vehicle without scrapping an older ICE vehicle. Option C - 4,000 grant for the purchase of a second hand electric vehicle which is not older than 12 months and not in conjunction with scrappig electric vehicles. Option D - 3,000 for the purchase of hybrid electric vehicle Option E - 2,000 grant for the purchase of an electric quadricycle. Other grants according to CO2 emission values and in association with scrapping an older ICE vehicle.",Undefined,28 November 2019,https://www.eafo.eu/countries/malta/1744/incentives,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Malta,2017,In force,National,MLT
PIMA Transporte/ Renewal of Road Vehicles,https://www.iea.org/policies/2596-pima-transporte-renewal-of-road-vehicles,"The Plan to Promote the Environment (PIMA Transporte), approved on December 19, 2014 by the Council of Ministers on the proposal of the Ministry of Agriculture, Food and the Environment was intended to withdraw old heavy vehicles for the transport of goods and buses through scrapping. The current state of ageing of the professional heavy fleet for the transport of goods and passengers makes it recommendable to establish aid in order to withdraw the oldest vehicles. The withdrawal of the less efficient vehicles is considered to be one of the most efficient measures for the reduction of energy consumption. For this purpose, a budget of €4.7 million was approved for the renovation of buses and heavy transport of goods vehicles through the concession of aid intended for scrapping buses, as well as vehicles for the transport of goods with their own traction capacity greater than 3.5 tons of maximum mass authorised, (MMA) registered for the first time before January 1, 2007. Royal Decree 1081/2014, of December 19. (Official State Gazette of 20 December, 2014)",Undefined,26 September 2019,Undefined,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Buses and minibuses - Local and urban service|Freight transport (Road),"Road vehicles|Medium duty vehicles, small trucks and minibuses|Heavy trucks|Buses and coaches|Transport technologies",Undefined,Spain,2015,Ended,National,ESP
Local subsidy funds from vehicle purchase tax revenue.,https://www.iea.org/policies/2633-local-subsidy-funds-from-vehicle-purchase-tax-revenue,"The fund has been set up to facilitate the sustainable and continuous development of the transport industry by re-investing revenue from vehicle purchase taxes into local transport projects. Projects covered within the scope of expenditure for vehicle purchase tax funds include:    Key transport projects General road construction projects Distaster recovery and reconstruction projects in provinces Road damage repair and maintenance projects Retirement and renewal projects for old rural ferries Energy conservation and emission reduction projects in the transport sector (low-carbon transport options and technologies) Pilot projects for road transport and transporation  Inland river channel development projects Old car scrapping renewal projects Other transport projects approved by the State Council  For energy conservation projects, the level of subsidies is determined based on the impact of the projects in terms of energy conservation, emission reduction and wider social benefits.",Undefined,21 October 2019,http://www.mof.gov.cn/gp/xxgkml/jjjss/201412/t20141205_2512130.html,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Water transport,Road vehicles|Vessels|Transport technologies|Other transport infrastructure,Undefined,People's Republic Of China,2014,In force,National,CHN
PIMA Air Program,https://www.iea.org/policies/3167-pima-air-program,"Another program launched by national government was “Plan PIMA Air”, a carscrapping program for commercial vehicles which has been running from February2013.There are incentives of 1,000 EUR for the acquisition of vans up to 2,500 kgweight and of vans over 2,500 kg, the incentives are 2,000 EUR per van. SinceOctober 25th, 2013, electric motorcycles, scooters, and bikes were also included tothis incentives program (“Plan PIMA Air 2”), with incentives up to 400 EUR, 250EUR, and 200 EUR respectively per category.Incentives of Plan PIMA Air can be added to the MOVELE Program incentives,but not to the PIVE Program.During 2014, the third edition of the PIMA Air program (“PIMA Air 3”) wasrunning, funded with a budget of 5.5 million EUR, and a number of 2,671commercial vehicles were renewed and a number of 2,468 electric bicycles wereacquired in this frame.",Undefined,5 November 2017,http://www.ieahev.org/assets/1/7/Report2015_WEB.pdf p. 236,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,Road vehicles|Commercial vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Spain,2013,Ended,National,ESP
PIVE Program,https://www.iea.org/policies/3169-pive-program,"The PIVE Program is an incentive program, launched by the Spanish NationalGovernment for purchasing efficient vehicles, including EVs/PHEVs. Theseincentives can be combined with buyer incentives provided by the MOVELEProgram, up to a total incentive of 8,000 EUR for the purchase of a vehicle.The PIVE Program is a car scrapping program, oriented at replacing old vehiclesby new and more efficient vehicles, including passenger vehicles (M1 category)that are more than 12 years old and light duty vehicles (N1 category) that are morethan 7 years old. Buyers receive 1,000 EUR per vehicle, which could be increasedby a 1,000 EUR additional discount realized by car manufacturers.The PIVE program started in October 2012 and has been running on differentstages, during 2014:Plan PIVE5: approved on January 24th, 2014, funded with 175 million EUR.Plan PIVE6: approved on June 26th, 2014, funded with 175 million EUR.Within the framework of this PIVE Program (from Plan PIVE 1 to Plan PIVE 6) ithas been acquired a total of 7,458 HEVs and 304 EVs/PHEVs from a total numberof 696.105 conventional vehicles (provisional data at 12/02/2015). Final estimatedresults of these plans are the replacement of around 711,000 vehicles with a totalbudget of 715 million EUR",Undefined,5 November 2017,http://www.ieahev.org/assets/1/7/Report2015_WEB.pdf p. 236,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Spain,2012,Ended,National,ESP
Cleaner vehicle purchase incentives,https://www.iea.org/policies/1029-cleaner-vehicle-purchase-incentives,"In February 2009, as part of measures aimed at supporting industrial sectors in crisis, Italys Council of Ministers launched a temporary incentive scheme for consumers to replace their old vehicles with new ones meeting certain environmental criteria. The scheme applies to cars, light commercial vehicles, as well as motorcycles and scooters. The incentives are provided in the form of a discount obtained by consumers directly from the dealers, who in turn receive this as a tax credit. A bonus of EUR 1500 is provided when a car older than 9 years meeting Euro 0, 1 or 2 standards is exchanged for a new vehicle meeting Euro 4 or 5 standards and that emits a maximum of 130gCO2/km for diesel cars or 140gCO2/km for others. The exchanged vehicle must have been registered by March 2010. This can be combined with a purchase incentive of EUR 1500 should the new vehicle run on electricity, hydrogen or methane. This purchase incentive rises to EUR 3000 if the vehicle emits 120gCO2/km, and to EUR 3500 if it emits less than that. For liquefied petroleum gas (LPG) vehicles, a purchase incentive of EUR 1500 increases to EUR 2000 if the vehicle emits less than 120gCO2/km. For lightweight commercial vehicles, a bonus of EUR 2500 is provided for scrapping a vehicle meeting Euro 0, 1 or 2 standards and registered before 31 December 1999, and purchasing a new one. In addition, EUR 4000 is provided for the purchase of a new ""innovative vehicle"", running on gas, LPG, hydrogen. The latter incentive can be combined with the scrapping bonus. For motorcycles, scooters and other two-wheel vehicles, a EUR 500 bonus is provided when purchasing a new 400cc Euro 3 vehicle when combined with the scrapping of a Euro 0 or 1 category vehicle. Under the scheme, incentives are also provided for converting existing cars to run on LPG (EUR 500) and methane (EUR 600).",Undefined,5 November 2017,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legge:2009-02-10;5!vig=,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Payments and transfers|Tax credits and exemptions|Grants",Transport|Road transport|Passenger transport (Road)|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Transport technologies",Undefined,Italy,2009,In force,National,ITA
Bonus-malusFRA,https://www.iea.org/policies/6613-bonus-malusfra,"purchase incentive of 6,300€ for BEVs and 1000€ for PHEVs (bonus/malus) (calculated from gCO2/km) + scrapping of an old diesel gives 10,000€ (total du cumul avec bonus écologique) for BEV purchase and 3,500€ (total du cumul avec bonus écologique) for PHEV purchase. In 2015, the French government has spent 114 million Euros for BEV purchase subsidies and 14 million Euros on PHEV purchase subsidies.",Undefined,5 November 2017,https://www.ecologique-solidaire.gouv.fr/bonus-malus-ecologique-prime-conversion-et-bonus-velo,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Feebate|Externality taxation|GHG taxation",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,France,2008,In force,National,FRA
Super bonus: Vehicle scrappage scheme,https://www.iea.org/policies/1315-super-bonus-vehicle-scrappage-scheme,"A temporary measure implemented as part of Frances economic stimulus plan, the EUR 300 bonus for scrapping a vehicle over 15 years old provided under the Bonus-Malus scheme has been expanded. From December 2008 to December 2009, the EUR 300 bonus has been increased to EUR 1000 and expanded to vehicles over 10 years old. New cars purchased must still meet maximum emissions limit of 160 gCO2/km. The scheme is also expanded to light commercial vehicles, applying when a new vehicle is purchased and an old one scrapped. No CO2 emissions requirements apply to the purchase of a new light commercial vehicle.",Undefined,5 November 2017,http://www.developpement-durable.gouv.fr/article.php3?id_article=2825,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road)|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Transport technologies",Undefined,France,2008,In force,National,FRA
Purchase subsidies Scrappage,https://www.iea.org/policies/6752-purchase-subsidies-scrappage,Romania's Social Deomcratic Party plans to extend the existing Rabla program of EV incentives to 2020 and increase the avlue of the purchase incentives to 10 000 euros per electric car.,Undefined,5 November 2017,http://www.ziare.com/auto/masini-electrice/ce-face-guvernul-pentru-a-stimula-vanzarile-de-masini-nepoluante-programul-rabla-in-linie-dreapta-1418158,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Romania,2017,Ended,National,ROU
