Policy,URL,Description,Source,Last updated,Learn more,Topics,Policy types,Sectors,Technologies,End uses,Country,Year,Status,Jurisdiction,country_code
Company Car Tax Benefits for EV and Hybrid Vehicles,https://www.iea.org/policies/2883-company-car-tax-benefits-for-ev-and-hybrid-vehicles,"The TVS Tax (Taxe sur les véhicules de société) is applicable to company (passenger) cars. It is made of two components. The first component is based on CO2 Emissions (or Horse Power for older vehicles), and is calculated using a staggered approach and is exempted for vehicles <60g CO2 / km. The second component is based on environmental impact and is also staggered, and much higher for (older) diesel vehicles.  The straggered approach was aimed at encouraging companies to renew their fleet in favor of less polluting vehicles. The tax exemption was originally valid for a period of 24 months after registration.  Electric vehicles are fully exempt from the company vehicle tax (TVS). This exemption only applies to vehicles emitting less than 60g/km of CO2. Since January 1, 2018, hybrid vehicles that use both gasoline and natural gas fuel or liquefied petroleum gas are exempted permanently (if the CO2 emission rate is less than or equal to 60 grams / km) or temporarily (if CO² emission between 60 and 100 grams / km) of the first component of the TVS rate.",Undefined,2 December 2019,https://www.service-public.fr/professionnels-entreprises/vosdroits/F22203,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Company car tax|Product taxation",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,France,2017,In force,National,FRA
Company tax benefits for Electric Vehicles,https://www.iea.org/policies/6626-company-tax-benefits-for-electric-vehicles,"The Government says that company car drivers choosing a pure electric vehicle will pay no benefit-in-kind (BIK) tax in 2020/21.In its response to its review of WLTP and vehicle taxes, to which Fleet News is listed as a respondent, HM Treasury has binned the previously published BIK rates for 2020/21.The Government says that existing vehicle excise duty (VED) rates – also not part of this review – will stay the same from April 6, 2020, despite the introduction of WLTP values for tax purposes from this date.",Undefined,5 November 2017,https://www.fleetnews.co.uk/news/fleet-industry-news/2019/07/09/no-company-car-tax-on-electric-vehicles-says-government,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Company car tax|Product taxation",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,United Kingdom,2017,In force,National,GBR
EV Registration Tax Benefits in Malta,https://www.iea.org/policies/6773-ev-registration-tax-benefits-in-malta,"Registration Tax of vehicles is based on Lengh of vehicles, Emissions and Age. For Electric Vehicles Emission Tax is zero. Direct CO2 emission values are used to calculate the Vehicle Registration Tax (VRT) and annual Motor Tax bands for vehicles.Battery Electric Vehicles (BEV) have no tail pipe emissions of CO2Plugin Hybrid Electric Vehicles (PHEV) should have CO2 emissions circa 60g/km",Undefined,5 November 2017,https://www.seai.ie/grants/electric-vehicle-grants/grant-amounts/,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Malta,2017,In force,National,MLT
Grants to Purchase Low CO2 Emission Cars and Remove Old Inefficient Cars from Roads,https://www.iea.org/policies/6755-grants-to-purchase-low-co2-emission-cars-and-remove-old-inefficient-cars-from-roads,"The scrappage scheme, which this year has an allocation of €1.5 million. New M1 Vehicles or M1 Hybrid Vehicles are eligible for this scheme when de-registering and scrapping a vehicle from the same category. This grant varies from €800 to €2,000. The sum of €800 is given to applicants registering new M1 Category Vehicles with CO2 emissions between 101 and 130g/km while M1 Vehicles with CO2 emissions up to 100g/km are eligible for €900 or the sum equivalent to the amount paid for registration tax for the same vehicle up to a maximum of €1,500. When an applicant is registering an M1 Hybrid Vehicle with CO2 emissions between 40 and 65g/km, they are eligible for a grant up to €2,000",Undefined,5 November 2017,https://www.transport.gov.mt/news/transport-schemes-2019-2772,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Malta,2017,In force,National,MLT
Ireland EV Registration Tax Benefits,https://www.iea.org/policies/6770-ireland-ev-registration-tax-benefits,"EV's qualify for Vehicle Registration Tax (purchase tax) reliefs of up to €5,000. VRT is paid whenever a car is registered for the first time in Ireland. Electric Vehicles receive VRT relief separately to SEAI grant support. VRT relief for BEVs is in place until the end of 2021 and for PHEVs until end of 2020.",Undefined,5 November 2017,https://www.seai.ie/grants/electric-vehicle-grants/grant-amounts/,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies|Battery technologies",Undefined,Ireland,2017,In force,National,IRL
Ireland Support to Electric Vehicles (EVs),https://www.iea.org/policies/6538-ireland-support-to-electric-vehicles-evs,"Supporting the uptake of electric vehicles is a key element of transport policy in Ireland. A wide range of supports are in place including:   Electric Vehicle Purchase Grant  of up to €5,000 towards the purchase of a new battery electric vehicle or plug-in hybrid electric vehicle (administered by SEAI);   Electric Vehicle Home Charger Grant  of up to €600 to support installation of home charger points for buyers of new and second-hand electric vehicles (administered by SEAI);Electric Vehicle Public Charge Point Grant - local authorities can apply for funding  to install charge points on public street or public car parks which provide overnight parking for local residents;  relief on Vehicle Registration Tax (VRT)  of up to €5,000 for new battery electric vehicles and up to €2,500 for plug-in hybrid electric vehicles (under the Tax Consolidation Act);   reduced motor tax for a battery electric vehicle  of €120 per annum and typically €170 per annum for a Plug-in Hybrid Electric Vehicle (need to check statute);   Accelerated Capital Allowance (ACA) Scheme  for business purchases of electric vehicles and charging infrastructure where costs can be written down in the year of purchase rather than the standard eight-year period (under the Tax Consolidation Act);   a grant  of up to €12,500 o stimulate take-up of electric vehicles in the taxi /hackney/limousine sector (administered by the National Transport Authority); and   Benefit-in-Kind  rate of 0% which applies to staff provided with electric vehicles by their employers (under the Tax Consolidation Act).",IEA/IRENA Renewables Policies Database,14 September 2020,https://www.seai.ie/grants/electric-vehicle-grants/,Renewable Energy,"Payments, finance and taxation|Taxes, fees and charges|Payments and transfers|Tax credits and exemptions","Transport|Power, Heat and Utilities|Power generation|Electricity and heat generation",Transport technologies,Undefined,Ireland,2017,In force,National,IRL
Ownership tax benefits,https://www.iea.org/policies/6706-ownership-tax-benefits,"Electric vehicles are exempt from the annual circulation tax (ownership tax) for a period of five years from the date of their first registration. After this five-year period, they benefit from a 75% reduction of the tax rate applied to equivalent petrol vehicles in many regions.",Undefined,4 October 2019,https://cives.ceinorme.it/it/cives-legislazione-nazionale.html,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Congestion charge|Use and activity charges",Transport|Road transport|Passenger transport (Road),Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Italy,2017,In force,National,ITA
Purchase tax rebate vehicle Denmark,https://www.iea.org/policies/6986-purchase-tax-rebate-vehicle-denmark,"New (2017-2021) BEV and PHEV purchase tax rebate of 225 USD/kWh(190 EUR/kWh) battery, max 45 kWh (10,000 USD; 8,458 EUR",Undefined,5 November 2017,http://www.ieahev.org/assets/1/7/HEV_TCP_Report2018-web.pdf,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Tax credits and exemptions",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Denmark,2017,In force,National,DNK
Reduction in vehicle registration tax for Evs,https://www.iea.org/policies/2897-reduction-in-vehicle-registration-tax-for-evs,"Activated in 2017, as a consequence of drop of EV sales in 2016 after a previous tax break was phased out, this subsidy is provided in the form of a DKK 10000 reduction in vehicle registration tax for purchases of electric vehicles. It will be granted until the end of 2019.",Undefined,6 December 2019,https://electrek.co/2017/04/19/denmark-electric-vehicle-incentive/,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Payments and transfers|Tax credits and exemptions|Product taxation|Grants",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Denmark,2017,Ended,National,DNK
Registration tax,https://www.iea.org/policies/3226-registration-tax,Electric and hybrid vehicles are exempt from the registration tax.,Undefined,5 November 2017,https://www.eafo.eu/countries/romania/1750/incentives,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Romania,2017,In force,National,ROU
Registration tax based on CO2 emissions,https://www.iea.org/policies/6766-registration-tax-based-on-co2-emissions,"Registration taxes in Spain are calculated according to the level of CO2 emissions.  0% for vehicles emitting less than 120 g/km 4,75% for vehicles emitting between 120 g/km and 160 g/km. 9,75% for vehicles emitting between 160 g/km and 200 g/km. 14,75% for vehicles emitting more than 200 g/km. As a consequence EV are exemptend from paying any registration tax.",Undefined,14 October 2019,https://www.agenciatributaria.es/AEAT.internet/Inicio/La_Agencia_Tributaria/Campanas/Impuesto_Especial_sobre_Determinados_Medios_de_Transporte/Informacion_sobre_matriculacion_de_vehiculos/Fiscalidad_de_la_primera_matriculacion_de_vehiculos.shtml,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Spain,2017,In force,National,ESP
Registration tax benefits,https://www.iea.org/policies/6768-registration-tax-benefits,Electric and hybrid vehicles are exempt from the registration tax.,Undefined,5 November 2017,https://www.eafo.eu/countries/greece/1735/incentives,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Greece,2017,In force,National,GRC
Registration tax benefits,https://www.iea.org/policies/6769-registration-tax-benefits,Electric vehicles are exempt from the registration tax.,Undefined,5 November 2017,https://www.eafo.eu/countries/hungary/1736/incentives,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Hungary,2017,In force,National,HUN
Registration tax benefits,https://www.iea.org/policies/6772-registration-tax-benefits,Electric vehicles are exempt from the registration tax.,Undefined,5 November 2017,https://www.eafo.eu/countries/latvia/1741/incentives,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Latvia,2017,In force,National,LVA
Motor vehicle tax breaks for zero-emission vehicles and plug-in hybrids (Autobrief II),https://www.iea.org/policies/6774-motor-vehicle-tax-breaks-for-zero-emission-vehicles-and-plug-in-hybrids-autobrief-ii,"To encourage the a switch to efficient, low-emission vehicles in the transport sector, the Netherlands has introduced a progressive vehicle taxation system, based on the emissions-intensity of vehicles. Zero emission vehicles (ZEVs) are exempt from paying registration tax.  PHEVs: PHEVs are exempt from paying the flat-rate registraion fee of €350. Then, the following rates apply: Level 1: 1- 30 grams of CO2/km: €20Level 2: 31-51 grams of CO2/km: €90Level 3: >50 grams of CO2/km: €300 Non-PHEVs: In addition to a flat-rate registration fee of €350, the following rates apply: Level 1: €2 per gram of CO2Level 2: €66 per gram of CO2 Level 3: €145 per gram of CO2  Level 4: €238 per gram of CO2  Level 5: €476 per gram of CO2    2019 Update from Business.gov.nl (https://business.gov.nl/regulation/motor-vehicle-tax/):  On Prinsjesdag (Budget Day) 2019, the Ministry of Finance announced that the motor vehicle tax exemption for fully electric vans and plug in hybrids will be extended until 2025. Tax rates for petrol and diesel-operated company vans will go up: from 2021, the motor vehicle tax will go up by an average of €24 per car. The precise amount depends on your vehicle's weight. These changes are due to come into effect on 1 January 2021. This is subject to its acceptance by the upper and lower houses of parliament.",Undefined,18 November 2019,https://www.rijksoverheid.nl/onderwerpen/inkomstenbelasting/documenten/kamerstukken/2015/06/19/autobrief-ii,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Netherlands,2016,Ended,National,NLD
Differentiated registration tax,https://www.iea.org/policies/2896-differentiated-registration-tax,"Until the end of 2015, BEV cars were exempt from paying the (very significant) registration tax (VAT was still applied) (ACEA, 2017c). In 2016, the government decided to gradually phase in a vehicle registration tax for BEVs: 20% of the full registration tax in 2016, 40% in 2017, 65% in 2018, 90% in 2019 and 100% in 2020. The registration tax for cars has also decreased since 2015. These changes paralysed electric car sales. To re-boot the market, the Danish government introduced a deduction based on battery capacity in April 2017. At the same time it decided to maintain the registration tax for BEV cars at 20% for two additional years or until reaching the threshold of 5 000 new registrations (Government of Denmark, 2017). In October 2017, a new reduced registration tax for cars was enforced. This includes new incentives for electric and efficient cars (SKAT, 2018).",Undefined,5 November 2017,http://skat.dk/skat.aspx?oid=2234529,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Denmark,2015,Ended,National,DNK
Local subsidy funds from vehicle purchase tax revenue.,https://www.iea.org/policies/2633-local-subsidy-funds-from-vehicle-purchase-tax-revenue,"The fund has been set up to facilitate the sustainable and continuous development of the transport industry by re-investing revenue from vehicle purchase taxes into local transport projects. Projects covered within the scope of expenditure for vehicle purchase tax funds include:    Key transport projects General road construction projects Distaster recovery and reconstruction projects in provinces Road damage repair and maintenance projects Retirement and renewal projects for old rural ferries Energy conservation and emission reduction projects in the transport sector (low-carbon transport options and technologies) Pilot projects for road transport and transporation  Inland river channel development projects Old car scrapping renewal projects Other transport projects approved by the State Council  For energy conservation projects, the level of subsidies is determined based on the impact of the projects in terms of energy conservation, emission reduction and wider social benefits.",Undefined,21 October 2019,http://www.mof.gov.cn/gp/xxgkml/jjjss/201412/t20141205_2512130.html,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Water transport,Road vehicles|Vessels|Transport technologies|Other transport infrastructure,Undefined,People's Republic Of China,2014,In force,National,CHN
